<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
7200.HK,5,20250709,033000,5.35,5.35,5.27,5.28,1201500,0
7200.HK,5,20250709,033500,5.28,5.28,5.26,5.26,1700400,0
7200.HK,5,20250709,034000,5.27,5.27,5.24,5.24,1406100,0
7200.HK,5,20250709,034500,5.23,5.23,5.21,5.22,1472900,0
7200.HK,5,20250709,035000,5.22,5.24,5.22,5.24,550600,0
7200.HK,5,20250709,035500,5.23,5.25,5.23,5.25,511700,0
7200.HK,5,20250709,040000,5.25,5.26,5.25,5.26,807900,0
7200.HK,5,20250709,040500,5.26,5.26,5.24,5.24,706600,0
7200.HK,5,20250709,041000,5.25,5.26,5.25,5.26,294900,0
7200.HK,5,20250709,041500,5.25,5.26,5.24,5.24,255500,0
7200.HK,5,20250709,042000,5.24,5.27,5.24,5.27,135500,0
7200.HK,5,20250709,042500,5.27,5.28,5.27,5.27,585700,0
7200.HK,5,20250709,043000,5.28,5.29,5.27,5.29,974200,0
7200.HK,5,20250709,043500,5.29,5.29,5.27,5.28,133600,0
7200.HK,5,20250709,044000,5.28,5.28,5.28,5.28,623900,0
7200.HK,5,20250709,044500,5.28,5.28,5.26,5.27,245900,0
7200.HK,5,20250709,045000,5.27,5.28,5.27,5.28,545400,0
7200.HK,5,20250709,045500,5.27,5.27,5.26,5.26,986100,0
7200.HK,5,20250709,050000,5.25,5.25,5.24,5.24,631800,0
7200.HK,5,20250709,050500,5.24,5.26,5.23,5.25,795700,0
7200.HK,5,20250709,051000,5.25,5.26,5.25,5.26,681000,0
7200.HK,5,20250709,051500,5.25,5.25,5.25,5.25,39500,0
7200.HK,5,20250709,052000,5.25,5.26,5.25,5.26,36000,0
7200.HK,5,20250709,052500,5.26,5.26,5.26,5.26,23600,0
7200.HK,5,20250709,053000,5.26,5.27,5.26,5.27,135600,0
7200.HK,5,20250709,053500,5.27,5.27,5.25,5.26,75700,0
7200.HK,5,20250709,054000,5.26,5.26,5.25,5.25,81700,0
7200.HK,5,20250709,054500,5.25,5.25,5.25,5.25,93200,0
7200.HK,5,20250709,055000,5.25,5.26,5.25,5.26,52300,0
7200.HK,5,20250709,055500,5.26,5.26,5.26,5.26,36000,0
7200.HK,5,20250709,070000,5.26,5.27,5.26,5.27,561100,0
7200.HK,5,20250709,070500,5.27,5.28,5.27,5.27,324700,0
7200.HK,5,20250709,071000,5.27,5.27,5.26,5.26,96600,0
7200.HK,5,20250709,071500,5.26,5.26,5.25,5.25,459900,0
7200.HK,5,20250709,072000,5.25,5.26,5.25,5.25,248600,0
7200.HK,5,20250709,072500,5.26,5.26,5.24,5.24,263100,0
7200.HK,5,20250709,073000,5.25,5.26,5.25,5.25,114300,0
7200.HK,5,20250709,073500,5.24,5.25,5.24,5.24,465400,0
7200.HK,5,20250709,074000,5.24,5.24,5.23,5.24,233800,0
7200.HK,5,20250709,074500,5.23,5.24,5.23,5.24,477100,0
7200.HK,5,20250709,075000,5.24,5.24,5.24,5.24,131000,0
7200.HK,5,20250709,075500,5.24,5.24,5.24,5.24,211100,0
7200.HK,5,20250709,080000,5.24,5.24,5.23,5.23,550600,0
7200.HK,5,20250709,080500,5.23,5.23,5.22,5.22,969300,0
7200.HK,5,20250709,081000,5.22,5.22,5.20,5.22,2950700,0
7200.HK,5,20250709,081500,5.22,5.23,5.22,5.23,350100,0
7200.HK,5,20250709,082000,5.23,5.23,5.22,5.22,146100,0
7200.HK,5,20250709,082500,5.22,5.22,5.22,5.22,118500,0
7200.HK,5,20250709,083000,5.22,5.22,5.21,5.22,141500,0
7200.HK,5,20250709,083500,5.22,5.22,5.20,5.21,188000,0
7200.HK,5,20250709,084000,5.21,5.21,5.20,5.20,882200,0
7200.HK,5,20250709,084500,5.20,5.21,5.20,5.21,190800,0
7200.HK,5,20250709,085000,5.21,5.22,5.21,5.22,722700,0
7200.HK,5,20250709,085500,5.22,5.23,5.22,5.23,200100,0
7200.HK,5,20250709,090000,5.22,5.23,5.22,5.22,462500,0
7200.HK,5,20250709,090500,5.22,5.22,5.22,5.22,54000,0
7200.HK,5,20250709,091000,5.22,5.22,5.21,5.21,91500,0
7200.HK,5,20250709,091500,5.21,5.22,5.21,5.22,55800,0
7200.HK,5,20250709,092000,5.22,5.22,5.22,5.22,106000,0
7200.HK,5,20250709,092500,5.22,5.22,5.22,5.22,246300,0
7200.HK,5,20250709,093000,5.22,5.23,5.22,5.23,320400,0
7200.HK,5,20250709,093500,5.23,5.23,5.22,5.22,174400,0
7200.HK,5,20250709,094000,5.23,5.23,5.22,5.23,140700,0
7200.HK,5,20250709,094500,5.23,5.23,5.22,5.22,202900,0
7200.HK,5,20250709,095000,5.22,5.22,5.21,5.21,519900,0
7200.HK,5,20250709,095500,5.22,5.22,5.22,5.22,2006300,0
7200.HK,5,20250710,033000,5.20,5.23,5.19,5.23,1206800,0
7200.HK,5,20250710,033500,5.23,5.24,5.20,5.20,986800,0
7200.HK,5,20250710,034000,5.20,5.24,5.20,5.24,683200,0
7200.HK,5,20250710,034500,5.24,5.25,5.24,5.24,477400,0
7200.HK,5,20250710,035000,5.24,5.25,5.24,5.25,786600,0
7200.HK,5,20250710,035500,5.25,5.25,5.22,5.22,1018700,0
7200.HK,5,20250710,040000,5.22,5.23,5.22,5.22,880300,0
7200.HK,5,20250710,040500,5.23,5.24,5.22,5.23,797400,0
7200.HK,5,20250710,041000,5.24,5.24,5.23,5.23,179900,0
7200.HK,5,20250710,041500,5.23,5.24,5.23,5.23,46700,0
7200.HK,5,20250710,042000,5.23,5.24,5.23,5.23,408300,0
7200.HK,5,20250710,042500,5.23,5.24,5.23,5.24,337600,0
7200.HK,5,20250710,043000,5.24,5.26,5.24,5.25,828400,0
7200.HK,5,20250710,043500,5.25,5.26,5.25,5.25,464400,0
7200.HK,5,20250710,044000,5.25,5.25,5.24,5.24,431800,0
7200.HK,5,20250710,044500,5.24,5.24,5.21,5.21,934600,0
7200.HK,5,20250710,045000,5.22,5.23,5.21,5.23,330600,0
7200.HK,5,20250710,045500,5.23,5.24,5.23,5.24,278800,0
7200.HK,5,20250710,050000,5.23,5.25,5.23,5.25,765000,0
7200.HK,5,20250710,050500,5.25,5.25,5.23,5.23,153600,0
7200.HK,5,20250710,051000,5.24,5.24,5.22,5.24,172000,0
7200.HK,5,20250710,051500,5.24,5.25,5.24,5.25,238800,0
7200.HK,5,20250710,052000,5.24,5.24,5.24,5.24,32600,0
7200.HK,5,20250710,052500,5.24,5.24,5.24,5.24,62000,0
7200.HK,5,20250710,053000,5.24,5.24,5.23,5.23,60700,0
7200.HK,5,20250710,054000,5.24,5.24,5.23,5.23,9600,0
7200.HK,5,20250710,054500,5.23,5.23,5.23,5.23,12200,0
7200.HK,5,20250710,055000,5.24,5.24,5.23,5.23,8000,0
7200.HK,5,20250710,055500,5.23,5.24,5.23,5.24,13600,0
7200.HK,5,20250710,070000,5.24,5.25,5.23,5.25,493400,0
7200.HK,5,20250710,070500,5.25,5.26,5.25,5.26,1177300,0
7200.HK,5,20250710,071000,5.26,5.27,5.26,5.27,429800,0
7200.HK,5,20250710,071500,5.26,5.26,5.25,5.25,504000,0
7200.HK,5,20250710,072000,5.24,5.25,5.24,5.25,156600,0
7200.HK,5,20250710,072500,5.25,5.26,5.25,5.26,184200,0
7200.HK,5,20250710,073000,5.26,5.26,5.26,5.26,423500,0
7200.HK,5,20250710,073500,5.26,5.27,5.26,5.26,96300,0
7200.HK,5,20250710,074000,5.26,5.27,5.26,5.27,124300,0
7200.HK,5,20250710,074500,5.26,5.27,5.26,5.27,189700,0
7200.HK,5,20250710,075000,5.27,5.28,5.27,5.27,518600,0
7200.HK,5,20250710,075500,5.27,5.27,5.26,5.27,81100,0
7200.HK,5,20250710,080000,5.27,5.28,5.26,5.27,318800,0
7200.HK,5,20250710,080500,5.27,5.28,5.27,5.27,176900,0
7200.HK,5,20250710,081000,5.28,5.29,5.28,5.29,1171900,0
7200.HK,5,20250710,081500,5.29,5.30,5.29,5.30,720000,0
7200.HK,5,20250710,082000,5.30,5.30,5.29,5.30,212400,0
7200.HK,5,20250710,082500,5.30,5.30,5.28,5.28,196600,0
7200.HK,5,20250710,083000,5.28,5.28,5.28,5.28,231000,0
7200.HK,5,20250710,083500,5.28,5.28,5.27,5.28,275700,0
7200.HK,5,20250710,084000,5.28,5.28,5.27,5.28,77700,0
7200.HK,5,20250710,084500,5.28,5.28,5.27,5.28,119000,0
7200.HK,5,20250710,085000,5.28,5.29,5.28,5.29,87700,0
7200.HK,5,20250710,085500,5.29,5.30,5.29,5.30,733300,0
7200.HK,5,20250710,090000,5.30,5.31,5.29,5.29,827700,0
7200.HK,5,20250710,090500,5.29,5.30,5.29,5.30,561700,0
7200.HK,5,20250710,091000,5.29,5.29,5.29,5.29,64200,0
7200.HK,5,20250710,091500,5.29,5.30,5.29,5.30,52200,0
7200.HK,5,20250710,092000,5.30,5.30,5.30,5.30,196300,0
7200.HK,5,20250710,092500,5.30,5.31,5.30,5.30,376300,0
7200.HK,5,20250710,093000,5.30,5.30,5.29,5.29,520900,0
7200.HK,5,20250710,093500,5.29,5.30,5.29,5.29,97100,0
7200.HK,5,20250710,094000,5.29,5.29,5.29,5.29,75100,0
7200.HK,5,20250710,094500,5.29,5.30,5.29,5.30,270600,0
7200.HK,5,20250710,095000,5.29,5.30,5.29,5.29,585100,0
7200.HK,5,20250710,095500,5.29,5.29,5.28,5.28,1286400,0
7200.HK,5,20250711,033000,5.28,5.36,5.28,5.35,4193000,0
7200.HK,5,20250711,033500,5.34,5.39,5.34,5.39,1691900,0
7200.HK,5,20250711,034000,5.38,5.40,5.38,5.39,1263000,0
7200.HK,5,20250711,034500,5.39,5.40,5.37,5.40,1614700,0
7200.HK,5,20250711,035000,5.40,5.41,5.39,5.41,2039200,0
7200.HK,5,20250711,035500,5.41,5.43,5.40,5.43,2139600,0
7200.HK,5,20250711,040000,5.43,5.44,5.42,5.44,2328000,0
7200.HK,5,20250711,040500,5.44,5.45,5.44,5.44,1026300,0
7200.HK,5,20250711,041000,5.45,5.46,5.45,5.45,1814500,0
7200.HK,5,20250711,041500,5.45,5.46,5.45,5.45,1541300,0
7200.HK,5,20250711,042000,5.45,5.45,5.44,5.45,860500,0
7200.HK,5,20250711,042500,5.45,5.47,5.45,5.47,1361400,0
7200.HK,5,20250711,043000,5.47,5.48,5.46,5.46,570500,0
7200.HK,5,20250711,043500,5.46,5.48,5.46,5.47,769100,0
7200.HK,5,20250711,044000,5.47,5.48,5.47,5.48,667200,0
7200.HK,5,20250711,044500,5.48,5.48,5.46,5.46,618800,0
7200.HK,5,20250711,045000,5.46,5.46,5.44,5.45,1349400,0
7200.HK,5,20250711,045500,5.45,5.45,5.44,5.44,165600,0
7200.HK,5,20250711,050000,5.44,5.44,5.42,5.42,1462100,0
7200.HK,5,20250711,050500,5.42,5.44,5.42,5.43,671500,0
7200.HK,5,20250711,051000,5.43,5.43,5.42,5.43,1580300,0
7200.HK,5,20250711,051500,5.42,5.44,5.42,5.43,1083000,0
7200.HK,5,20250711,052000,5.44,5.45,5.43,5.45,1204000,0
7200.HK,5,20250711,052500,5.45,5.46,5.45,5.46,749100,0
7200.HK,5,20250711,053000,5.46,5.47,5.46,5.47,991400,0
7200.HK,5,20250711,053500,5.47,5.48,5.47,5.48,1543500,0
7200.HK,5,20250711,054000,5.48,5.49,5.48,5.48,720100,0
7200.HK,5,20250711,054500,5.48,5.49,5.48,5.48,699300,0
7200.HK,5,20250711,055000,5.48,5.49,5.48,5.49,440500,0
7200.HK,5,20250711,055500,5.49,5.50,5.49,5.49,609300,0
7200.HK,5,20250711,070000,5.49,5.50,5.49,5.49,4583800,0
7200.HK,5,20250711,070500,5.49,5.49,5.47,5.47,536100,0
7200.HK,5,20250711,071000,5.47,5.47,5.46,5.46,472200,0
7200.HK,5,20250711,071500,5.46,5.47,5.46,5.47,566000,0
7200.HK,5,20250711,072000,5.47,5.48,5.47,5.47,304300,0
7200.HK,5,20250711,072500,5.47,5.47,5.46,5.46,398800,0
7200.HK,5,20250711,073000,5.47,5.48,5.47,5.48,692300,0
7200.HK,5,20250711,073500,5.48,5.48,5.46,5.46,352500,0
7200.HK,5,20250711,074000,5.45,5.48,5.45,5.48,689700,0
7200.HK,5,20250711,074500,5.48,5.51,5.48,5.50,1908000,0
7200.HK,5,20250711,075000,5.50,5.50,5.48,5.48,286100,0
7200.HK,5,20250711,075500,5.48,5.48,5.47,5.47,838900,0
7200.HK,5,20250711,080000,5.47,5.48,5.47,5.47,231400,0
7200.HK,5,20250711,080500,5.48,5.48,5.46,5.48,156000,0
7200.HK,5,20250711,081000,5.47,5.47,5.47,5.47,1411600,0
7200.HK,5,20250711,081500,5.47,5.48,5.47,5.48,165500,0
7200.HK,5,20250711,082000,5.48,5.48,5.47,5.47,32600,0
7200.HK,5,20250711,082500,5.47,5.48,5.47,5.48,82400,0
7200.HK,5,20250711,083000,5.47,5.47,5.46,5.46,565700,0
7200.HK,5,20250711,083500,5.46,5.46,5.44,5.44,977600,0
7200.HK,5,20250711,084000,5.44,5.44,5.43,5.43,726100,0
7200.HK,5,20250711,084500,5.43,5.44,5.43,5.44,164000,0
7200.HK,5,20250711,085000,5.44,5.44,5.43,5.43,222900,0
7200.HK,5,20250711,085500,5.43,5.43,5.40,5.40,1248600,0
7200.HK,5,20250711,090000,5.40,5.41,5.38,5.39,769400,0
7200.HK,5,20250711,090500,5.39,5.39,5.39,5.39,244700,0
7200.HK,5,20250711,091000,5.39,5.40,5.38,5.38,890900,0
7200.HK,5,20250711,091500,5.38,5.38,5.37,5.37,964600,0
7200.HK,5,20250711,092000,5.37,5.37,5.36,5.37,915800,0
7200.HK,5,20250711,092500,5.37,5.38,5.37,5.38,671000,0
7200.HK,5,20250711,093000,5.38,5.38,5.37,5.37,1639800,0
7200.HK,5,20250711,093500,5.37,5.38,5.36,5.38,233300,0
7200.HK,5,20250711,094000,5.38,5.38,5.37,5.37,706800,0
7200.HK,5,20250711,094500,5.37,5.37,5.35,5.36,625900,0
7200.HK,5,20250711,095000,5.35,5.36,5.35,5.35,1071500,0
7200.HK,5,20250711,095500,5.35,5.35,5.34,5.34,1494900,0
7200.HK,5,20250714,033000,5.32,5.36,5.32,5.36,1563700,0
7200.HK,5,20250714,033500,5.36,5.37,5.35,5.35,1185300,0
7200.HK,5,20250714,034000,5.36,5.36,5.34,5.34,1326900,0
7200.HK,5,20250714,034500,5.34,5.34,5.32,5.34,518600,0
7200.HK,5,20250714,035000,5.34,5.35,5.34,5.35,562700,0
7200.HK,5,20250714,035500,5.35,5.35,5.33,5.33,933000,0
7200.HK,5,20250714,040000,5.33,5.35,5.33,5.33,483000,0
7200.HK,5,20250714,040500,5.33,5.34,5.33,5.34,338700,0
7200.HK,5,20250714,041000,5.34,5.34,5.34,5.34,272300,0
7200.HK,5,20250714,041500,5.35,5.35,5.35,5.35,611700,0
7200.HK,5,20250714,042000,5.34,5.34,5.34,5.34,432300,0
7200.HK,5,20250714,042500,5.35,5.36,5.35,5.35,761400,0
7200.HK,5,20250714,043000,5.35,5.35,5.33,5.34,479200,0
7200.HK,5,20250714,043500,5.34,5.35,5.34,5.35,164700,0
7200.HK,5,20250714,044000,5.35,5.35,5.34,5.34,64300,0
7200.HK,5,20250714,044500,5.35,5.35,5.34,5.34,162900,0
7200.HK,5,20250714,045000,5.34,5.34,5.33,5.33,1129200,0
7200.HK,5,20250714,045500,5.32,5.33,5.32,5.33,592000,0
7200.HK,5,20250714,050000,5.33,5.33,5.31,5.31,1437200,0
7200.HK,5,20250714,050500,5.32,5.32,5.31,5.32,194400,0
7200.HK,5,20250714,051000,5.32,5.33,5.32,5.33,125300,0
7200.HK,5,20250714,051500,5.33,5.34,5.33,5.34,181300,0
7200.HK,5,20250714,052000,5.33,5.34,5.33,5.33,299200,0
7200.HK,5,20250714,052500,5.34,5.34,5.33,5.34,221900,0
7200.HK,5,20250714,053000,5.34,5.34,5.33,5.33,186700,0
7200.HK,5,20250714,053500,5.33,5.33,5.33,5.33,14100,0
7200.HK,5,20250714,054000,5.33,5.33,5.33,5.33,5100,0
7200.HK,5,20250714,054500,5.34,5.34,5.34,5.34,242400,0
7200.HK,5,20250714,055000,5.34,5.34,5.34,5.34,98800,0
7200.HK,5,20250714,055500,5.34,5.34,5.34,5.34,352700,0
7200.HK,5,20250714,070000,5.35,5.36,5.35,5.36,1832000,0
7200.HK,5,20250714,070500,5.36,5.36,5.36,5.36,449500,0
7200.HK,5,20250714,071000,5.36,5.37,5.35,5.36,349000,0
7200.HK,5,20250714,071500,5.36,5.36,5.35,5.35,196800,0
7200.HK,5,20250714,072000,5.35,5.35,5.35,5.35,503900,0
7200.HK,5,20250714,072500,5.36,5.36,5.36,5.36,205900,0
7200.HK,5,20250714,073000,5.37,5.38,5.37,5.38,443400,0
7200.HK,5,20250714,073500,5.38,5.38,5.37,5.37,310900,0
7200.HK,5,20250714,074000,5.37,5.38,5.37,5.37,102900,0
7200.HK,5,20250714,074500,5.37,5.37,5.37,5.37,190400,0
7200.HK,5,20250714,075000,5.37,5.37,5.37,5.37,143600,0
7200.HK,5,20250714,075500,5.36,5.38,5.36,5.38,267300,0
7200.HK,5,20250714,080000,5.38,5.39,5.38,5.38,1293300,0
7200.HK,5,20250714,080500,5.38,5.39,5.38,5.38,83300,0
7200.HK,5,20250714,081000,5.38,5.38,5.38,5.38,406000,0
7200.HK,5,20250714,081500,5.38,5.38,5.37,5.37,39000,0
7200.HK,5,20250714,082000,5.37,5.37,5.37,5.37,13100,0
7200.HK,5,20250714,082500,5.38,5.38,5.37,5.38,101200,0
7200.HK,5,20250714,083000,5.38,5.38,5.38,5.38,2600,0
7200.HK,5,20250714,083500,5.37,5.37,5.36,5.36,854100,0
7200.HK,5,20250714,084000,5.36,5.37,5.36,5.36,420000,0
7200.HK,5,20250714,084500,5.36,5.36,5.36,5.36,141700,0
7200.HK,5,20250714,085000,5.36,5.36,5.35,5.35,429100,0
7200.HK,5,20250714,085500,5.36,5.36,5.36,5.36,26100,0
7200.HK,5,20250714,090000,5.36,5.36,5.36,5.36,10800,0
7200.HK,5,20250714,090500,5.36,5.36,5.36,5.36,26900,0
7200.HK,5,20250714,091000,5.37,5.38,5.37,5.37,67000,0
7200.HK,5,20250714,091500,5.37,5.38,5.37,5.38,246000,0
7200.HK,5,20250714,092000,5.38,5.38,5.37,5.38,372100,0
7200.HK,5,20250714,092500,5.38,5.38,5.38,5.38,159900,0
7200.HK,5,20250714,093000,5.38,5.38,5.37,5.37,458400,0
7200.HK,5,20250714,093500,5.37,5.37,5.37,5.37,12800,0
7200.HK,5,20250714,094000,5.37,5.37,5.37,5.37,133800,0
7200.HK,5,20250714,094500,5.37,5.38,5.37,5.37,59400,0
7200.HK,5,20250714,095000,5.37,5.37,5.37,5.37,233500,0
7200.HK,5,20250714,095500,5.37,5.37,5.36,5.36,566300,0
7200.HK,5,20250715,033000,5.41,5.46,5.40,5.43,2751500,0
7200.HK,5,20250715,033500,5.43,5.48,5.43,5.47,2424500,0
7200.HK,5,20250715,034000,5.47,5.49,5.47,5.48,1901200,0
7200.HK,5,20250715,034500,5.49,5.49,5.48,5.48,1497100,0
7200.HK,5,20250715,035000,5.49,5.51,5.49,5.51,1947200,0
7200.HK,5,20250715,035500,5.51,5.52,5.50,5.51,1125300,0
