<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OTP.HU,5,20250610,090000,27180,27180,27030,27080,16847,0
OTP.HU,5,20250610,090500,27070,27070,26880,26880,23516,0
OTP.HU,5,20250610,091000,26950,26970,26890,26970,2726,0
OTP.HU,5,20250610,091500,26970,26970,26970,26970,3251,0
OTP.HU,5,20250610,092000,26970,27010,26970,26980,11691,0
OTP.HU,5,20250610,092500,26980,26990,26930,26990,1874,0
OTP.HU,5,20250610,093000,26990,26990,26990,26990,427,0
OTP.HU,5,20250610,093500,26970,26970,26950,26970,263,0
OTP.HU,5,20250610,094000,26940,26940,26930,26940,1175,0
OTP.HU,5,20250610,094500,26950,26950,26920,26920,1333,0
OTP.HU,5,20250610,095000,26950,26950,26900,26900,3119,0
OTP.HU,5,20250610,095500,26850,26880,26850,26880,2858,0
OTP.HU,5,20250610,100000,26880,26880,26860,26860,85,0
OTP.HU,5,20250610,100500,26860,26900,26830,26890,4002,0
OTP.HU,5,20250610,101000,26900,26900,26900,26900,1002,0
OTP.HU,5,20250610,101500,26900,26900,26880,26880,123,0
OTP.HU,5,20250610,102000,26860,26890,26860,26890,10,0
OTP.HU,5,20250610,102500,26890,26900,26890,26900,566,0
OTP.HU,5,20250610,103000,26890,26890,26890,26890,336,0
OTP.HU,5,20250610,103500,26890,26890,26890,26890,778,0
OTP.HU,5,20250610,104000,26890,26900,26880,26880,743,0
OTP.HU,5,20250610,104500,26880,26900,26880,26900,849,0
OTP.HU,5,20250610,105000,26890,26890,26890,26890,1716,0
OTP.HU,5,20250610,105500,26890,26890,26890,26890,312,0
OTP.HU,5,20250610,110000,26880,26880,26880,26880,101,0
OTP.HU,5,20250610,110500,26880,26890,26880,26880,1682,0
OTP.HU,5,20250610,111000,26890,26890,26850,26870,1477,0
OTP.HU,5,20250610,111500,26850,26880,26850,26860,1726,0
OTP.HU,5,20250610,112000,26880,26900,26860,26900,2143,0
OTP.HU,5,20250610,112500,26870,26890,26870,26890,412,0
OTP.HU,5,20250610,113000,26890,26890,26880,26880,189,0
OTP.HU,5,20250610,113500,26890,26890,26870,26870,111,0
OTP.HU,5,20250610,114000,26890,26890,26890,26890,295,0
OTP.HU,5,20250610,114500,26890,26910,26870,26910,2452,0
OTP.HU,5,20250610,115000,26900,26900,26880,26880,457,0
OTP.HU,5,20250610,115500,26890,26930,26870,26870,2967,0
OTP.HU,5,20250610,120000,26870,26920,26870,26920,826,0
OTP.HU,5,20250610,120500,26900,26940,26900,26940,1439,0
OTP.HU,5,20250610,121000,26940,26950,26910,26950,2472,0
OTP.HU,5,20250610,121500,26950,26950,26950,26950,759,0
OTP.HU,5,20250610,122000,26960,26970,26950,26960,1330,0
OTP.HU,5,20250610,122500,26970,26970,26900,26920,4682,0
OTP.HU,5,20250610,123000,26850,26910,26850,26910,949,0
OTP.HU,5,20250610,123500,26860,26920,26860,26920,1419,0
OTP.HU,5,20250610,124000,26920,26920,26920,26920,18,0
OTP.HU,5,20250610,124500,26940,26940,26940,26940,500,0
OTP.HU,5,20250610,125500,26950,26980,26950,26980,3592,0
OTP.HU,5,20250610,130000,26970,26980,26940,26980,729,0
OTP.HU,5,20250610,130500,26980,26980,26980,26980,2,0
OTP.HU,5,20250610,131000,26970,26970,26970,26970,4,0
OTP.HU,5,20250610,131500,26970,26970,26940,26940,635,0
OTP.HU,5,20250610,132000,26960,26960,26960,26960,26,0
OTP.HU,5,20250610,132500,26930,26950,26930,26940,568,0
OTP.HU,5,20250610,133500,26910,26910,26910,26910,107,0
OTP.HU,5,20250610,134000,26910,26910,26910,26910,108,0
OTP.HU,5,20250610,134500,26910,26910,26880,26880,1726,0
OTP.HU,5,20250610,135000,26890,26900,26890,26900,3535,0
OTP.HU,5,20250610,135500,26920,26930,26900,26900,1517,0
OTP.HU,5,20250610,140000,26940,26940,26930,26930,1793,0
OTP.HU,5,20250610,140500,26940,26940,26880,26880,1790,0
OTP.HU,5,20250610,141000,26870,26890,26870,26890,3242,0
