<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPLUS.HU,D,20231121,000000,11,12,11,12,1478,0
SPLUS.HU,D,20231122,000000,12,12,11,11,658,0
SPLUS.HU,D,20231124,000000,11,11,11,11,13900,0
SPLUS.HU,D,20231127,000000,11,12,11,12,1055,0
SPLUS.HU,D,20231130,000000,10.9,10.9,10.9,10.9,21253,0
SPLUS.HU,D,20231205,000000,11,11,11,11,2000,0
SPLUS.HU,D,20231206,000000,11,11,11,11,534,0
SPLUS.HU,D,20231211,000000,11.1,11.1,11,11,172,0
SPLUS.HU,D,20231212,000000,11,11.4,10.8,11.4,5749,0
SPLUS.HU,D,20231214,000000,11,11.3,10.9,11.3,264,0
SPLUS.HU,D,20231218,000000,11.3,11.3,11.3,11.3,161876321,0
SPLUS.HU,D,20231219,000000,11.2,11.2,11,11,387,0
SPLUS.HU,D,20231220,000000,10.9,11,10.9,11,2949,0
SPLUS.HU,D,20231221,000000,11.4,11.4,11.4,11.4,52864,0
SPLUS.HU,D,20231228,000000,11.4,11.4,11.4,11.4,80,0
SPLUS.HU,D,20240102,000000,11.6,11.6,11,11,1446,0
SPLUS.HU,D,20240103,000000,11.5,11.5,11.5,11.5,315,0
SPLUS.HU,D,20240104,000000,11.5,11.5,11.5,11.5,30,0
SPLUS.HU,D,20240110,000000,11.5,11.6,11.5,11.6,625,0
SPLUS.HU,D,20240111,000000,11.6,11.6,11.6,11.6,47,0
SPLUS.HU,D,20240115,000000,11.6,11.6,11.6,11.6,426,0
SPLUS.HU,D,20240118,000000,11.6,11.6,11.2,11.2,520,0
SPLUS.HU,D,20240131,000000,11.6,11.8,11.2,11.7,1331,0
SPLUS.HU,D,20240201,000000,11.7,11.7,11.7,11.7,11,0
SPLUS.HU,D,20240202,000000,11.7,11.8,11.7,11.8,95,0
SPLUS.HU,D,20240205,000000,11.8,11.8,11.6,11.6,510,0
SPLUS.HU,D,20240206,000000,11.6,11.6,11.6,11.6,254,0
SPLUS.HU,D,20240207,000000,11.5,11.5,11.5,11.5,338,0
SPLUS.HU,D,20240213,000000,11.6,11.6,11.6,11.6,157,0
SPLUS.HU,D,20240220,000000,11.6,11.6,11.6,11.6,48630,0
SPLUS.HU,D,20240221,000000,11.6,11.6,11.6,11.6,872,0
SPLUS.HU,D,20240228,000000,11.9,11.9,11.6,11.6,1029,0
SPLUS.HU,D,20240307,000000,11.9,11.9,11.9,11.9,9,0
SPLUS.HU,D,20240312,000000,11.6,11.6,11.6,11.6,93378,0
SPLUS.HU,D,20240313,000000,11.6,11.6,11.6,11.6,90,0
SPLUS.HU,D,20240314,000000,11.6,11.6,11.6,11.6,128,0
SPLUS.HU,D,20240319,000000,11.6,11.6,11.6,11.6,359,0
SPLUS.HU,D,20240322,000000,11.5,11.6,11.5,11.6,493,0
SPLUS.HU,D,20240328,000000,11.9,11.9,11.6,11.6,583,0
SPLUS.HU,D,20240402,000000,11.6,12,11.6,11.6,365,0
SPLUS.HU,D,20240404,000000,12,12,12,12,200,0
SPLUS.HU,D,20240408,000000,11.6,12,11.6,12,447,0
SPLUS.HU,D,20240409,000000,12,12,12,12,385,0
SPLUS.HU,D,20240410,000000,12,12,11.7,11.7,664,0
SPLUS.HU,D,20240415,000000,11.6,11.6,11.6,11.6,2285,0
SPLUS.HU,D,20240416,000000,11.6,11.6,11.6,11.6,965,0
SPLUS.HU,D,20240418,000000,12,12,12,12,209,0
SPLUS.HU,D,20240419,000000,12,12,12,12,8,0
SPLUS.HU,D,20240424,000000,11.8,11.8,11.6,11.6,750,0
SPLUS.HU,D,20240426,000000,11.6,11.6,11.5,11.5,2145,0
SPLUS.HU,D,20240430,000000,11.6,11.6,11.6,11.6,766,0
SPLUS.HU,D,20240502,000000,11.8,11.8,11.5,11.5,1733,0
SPLUS.HU,D,20240510,000000,11.6,11.6,11.6,11.6,600,0
SPLUS.HU,D,20240513,000000,11.6,11.6,11.5,11.5,1283,0
SPLUS.HU,D,20240514,000000,11.6,11.6,11.6,11.6,260,0
SPLUS.HU,D,20240515,000000,11.8,11.8,11.8,11.8,1000,0
SPLUS.HU,D,20240517,000000,11.7,11.7,11.7,11.7,200,0
SPLUS.HU,D,20240521,000000,11.6,11.6,11.3,11.3,2643,0
SPLUS.HU,D,20240522,000000,11.6,11.6,11.6,11.6,620,0
SPLUS.HU,D,20240524,000000,11.5,11.5,11.5,11.5,1792,0
SPLUS.HU,D,20240527,000000,11.5,11.5,11.5,11.5,53,0
SPLUS.HU,D,20240528,000000,11.3,11.5,11.3,11.5,657,0
SPLUS.HU,D,20240529,000000,11.5,11.6,11.5,11.5,5133,0
SPLUS.HU,D,20240530,000000,11.5,11.5,11.4,11.4,3799,0
SPLUS.HU,D,20240531,000000,11.3,11.3,11,11,4441,0
SPLUS.HU,D,20240603,000000,11,11,11,11,124,0
SPLUS.HU,D,20240604,000000,11,11.1,11,11,285,0
SPLUS.HU,D,20240607,000000,11,11,11,11,591,0
SPLUS.HU,D,20240610,000000,11,11,11,11,46,0
SPLUS.HU,D,20240611,000000,10.8,10.8,10.8,10.8,143,0
SPLUS.HU,D,20240612,000000,11,11,11,11,10493,0
SPLUS.HU,D,20240613,000000,11.2,11.2,11.2,11.2,292,0
SPLUS.HU,D,20240614,000000,11.4,11.4,11,11,1400,0
SPLUS.HU,D,20240617,000000,11.4,11.5,11.4,11.5,242,0
SPLUS.HU,D,20240618,000000,11.6,11.6,11.6,11.6,19,0
SPLUS.HU,D,20240619,000000,11.2,11.2,11.2,11.2,200,0
SPLUS.HU,D,20240620,000000,11.2,11.2,11,11,1068,0
SPLUS.HU,D,20240621,000000,11.2,11.2,11.2,11.2,600,0
SPLUS.HU,D,20240624,000000,11,11,11,11,3150,0
SPLUS.HU,D,20240625,000000,11.2,11.2,11.2,11.2,115,0
SPLUS.HU,D,20240626,000000,11.2,11.2,11,11,1326,0
SPLUS.HU,D,20240628,000000,11,11,11,11,317,0
SPLUS.HU,D,20240702,000000,11.2,11.2,11,11,1543,0
SPLUS.HU,D,20240703,000000,11,11,11,11,405,0
SPLUS.HU,D,20240704,000000,11,11,11,11,473,0
SPLUS.HU,D,20240705,000000,11,11,11,11,845,0
SPLUS.HU,D,20240709,000000,11,11,11,11,173,0
SPLUS.HU,D,20240711,000000,11,11,11,11,266,0
SPLUS.HU,D,20240712,000000,11,11,11,11,27,0
SPLUS.HU,D,20240715,000000,10.8,11,10.8,11,1221,0
