<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETFCETOPOTP.HU,60,20240411,100000,10.2,10.228,10.186,10.228,12797,0
ETFCETOPOTP.HU,60,20240411,110000,10.2,10.2,10.15,10.178,20711,0
ETFCETOPOTP.HU,60,20240411,120000,10.174,10.174,10.172,10.172,1180,0
ETFCETOPOTP.HU,60,20240411,130000,10.164,10.164,10.164,10.164,2820,0
ETFCETOPOTP.HU,60,20240411,140000,10.17,10.17,10.17,10.17,9814,0
ETFCETOPOTP.HU,60,20240411,150000,10.176,10.176,10.164,10.164,520,0
ETFCETOPOTP.HU,60,20240411,160000,10.172,10.18,10.128,10.18,25048,0
ETFCETOPOTP.HU,60,20240411,170000,10.25,10.25,10.1,10.1,3905,0
ETFCETOPOTP.HU,60,20240412,100000,10.2,10.2,10.2,10.2,329,0
ETFCETOPOTP.HU,60,20240412,110000,10.146,10.198,10.146,10.198,5834,0
ETFCETOPOTP.HU,60,20240412,120000,10.19,10.196,10.18,10.188,2188,0
ETFCETOPOTP.HU,60,20240412,130000,10.1,10.1,10.1,10.1,295,0
ETFCETOPOTP.HU,60,20240412,140000,10.19,10.19,10.19,10.19,120,0
ETFCETOPOTP.HU,60,20240412,150000,10.172,10.172,10.172,10.172,380,0
ETFCETOPOTP.HU,60,20240412,160000,10.12,10.134,10.12,10.134,4721,0
ETFCETOPOTP.HU,60,20240412,170000,10.1,10.1,10.1,10.1,578,0
ETFCETOPOTP.HU,60,20240415,100000,10.2,10.2,10.18,10.18,155,0
ETFCETOPOTP.HU,60,20240415,120000,10.1,10.1,10.1,10.1,4110,0
ETFCETOPOTP.HU,60,20240415,160000,10.136,10.136,10.128,10.128,295,0
ETFCETOPOTP.HU,60,20240416,100000,10.13,10.13,9.949,9.954,5518,0
ETFCETOPOTP.HU,60,20240416,130000,9.12,9.95,9.12,9.95,3129,0
ETFCETOPOTP.HU,60,20240416,140000,9.965,9.965,9.965,9.965,2600,0
ETFCETOPOTP.HU,60,20240416,150000,9.973,9.973,9.973,9.973,1000,0
ETFCETOPOTP.HU,60,20240417,100000,10,10,9.95,9.95,72,0
ETFCETOPOTP.HU,60,20240417,120000,10.018,10.018,10.006,10.006,154,0
ETFCETOPOTP.HU,60,20240417,130000,10.034,10.034,10.034,10.034,7,0
ETFCETOPOTP.HU,60,20240417,160000,10.05,10.05,10.05,10.05,630,0
ETFCETOPOTP.HU,60,20240418,100000,10.05,10.05,10.05,10.05,1200,0
ETFCETOPOTP.HU,60,20240418,110000,10.048,10.048,10,10,65,0
ETFCETOPOTP.HU,60,20240418,130000,10.012,10.012,10.012,10.012,1500,0
ETFCETOPOTP.HU,60,20240418,140000,10.018,10.018,10.018,10.018,100,0
ETFCETOPOTP.HU,60,20240418,170000,10,10,10,10,6,0
ETFCETOPOTP.HU,60,20240419,100000,10.11,10.11,10.11,10.11,10,0
ETFCETOPOTP.HU,60,20240419,120000,9.989,9.989,9.989,9.989,900,0
ETFCETOPOTP.HU,60,20240419,130000,10,10,9.99,9.99,148,0
ETFCETOPOTP.HU,60,20240422,120000,10.132,10.132,10.132,10.132,1962,0
ETFCETOPOTP.HU,60,20240422,130000,10.13,10.13,10.13,10.13,3,0
ETFCETOPOTP.HU,60,20240422,140000,10.126,10.134,10.126,10.134,1591,0
ETFCETOPOTP.HU,60,20240423,100000,10.3,10.3,10.156,10.156,370,0
ETFCETOPOTP.HU,60,20240423,110000,10.158,10.158,10.15,10.15,542,0
ETFCETOPOTP.HU,60,20240423,130000,10.1,10.2,10.1,10.2,953,0
ETFCETOPOTP.HU,60,20240423,150000,10.234,10.24,10.234,10.24,175,0
ETFCETOPOTP.HU,60,20240423,160000,10.232,10.3,10.232,10.3,352,0
ETFCETOPOTP.HU,60,20240424,100000,10.3,10.3,10.3,10.3,10,0
ETFCETOPOTP.HU,60,20240424,110000,10.234,10.234,10.21,10.21,1021,0
ETFCETOPOTP.HU,60,20240424,120000,10.212,10.212,10.212,10.212,330,0
ETFCETOPOTP.HU,60,20240424,130000,10.15,10.208,10.15,10.196,1338,0
ETFCETOPOTP.HU,60,20240424,150000,10.22,10.22,10.2,10.2,22429,0
ETFCETOPOTP.HU,60,20240424,160000,10.204,10.222,10.204,10.222,2636,0
ETFCETOPOTP.HU,60,20240425,100000,10.3,10.3,10.208,10.212,20732,0
ETFCETOPOTP.HU,60,20240425,120000,10.214,10.214,10.214,10.214,370,0
ETFCETOPOTP.HU,60,20240425,130000,9.201,9.201,9.201,9.201,183,0
ETFCETOPOTP.HU,60,20240425,150000,10.2,10.2,10.2,10.2,13850,0
ETFCETOPOTP.HU,60,20240425,160000,10.154,10.154,10.154,10.154,979,0
ETFCETOPOTP.HU,60,20240426,110000,10.252,10.252,10.248,10.248,52,0
ETFCETOPOTP.HU,60,20240426,130000,10.248,10.248,10.248,10.248,16,0
ETFCETOPOTP.HU,60,20240426,150000,10.23,10.244,10.23,10.244,41,0
ETFCETOPOTP.HU,60,20240426,170000,10.336,10.336,10.318,10.318,295,0
ETFCETOPOTP.HU,60,20240429,110000,10.268,10.268,10.268,10.268,52,0
