<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NORDGENERAL.HU,60,20240429,170000,13.25,13.25,13.25,13.25,500,0
NORDGENERAL.HU,60,20240503,110000,13.9,13.9,13.9,13.9,100,0
NORDGENERAL.HU,60,20240503,120000,13.9,13.9,13.9,13.9,18000,0
NORDGENERAL.HU,60,20240503,140000,13.9,13.9,13.9,13.9,100,0
NORDGENERAL.HU,60,20240506,100000,13.45,13.45,13.1,13.1,8737,0
NORDGENERAL.HU,60,20240506,110000,13.7,13.7,13.7,13.7,1000,0
NORDGENERAL.HU,60,20240506,130000,13.2,13.2,13.2,13.2,4777,0
NORDGENERAL.HU,60,20240506,140000,13.1,13.1,13,13,11334,0
NORDGENERAL.HU,60,20240506,150000,13,13,13,13,4763,0
NORDGENERAL.HU,60,20240506,160000,13,13,13,13,237,0
NORDGENERAL.HU,60,20240507,100000,14,14.5,14,14.15,115312,0
NORDGENERAL.HU,60,20240507,120000,14.15,14.15,14.15,14.15,6000,0
NORDGENERAL.HU,60,20240507,140000,14,14,14,14,22123,0
NORDGENERAL.HU,60,20240507,150000,14.4,14.6,14.4,14.6,52025,0
NORDGENERAL.HU,60,20240508,100000,14.5,14.5,14.4,14.4,30500,0
NORDGENERAL.HU,60,20240508,110000,14.4,14.4,14.4,14.4,6000,0
NORDGENERAL.HU,60,20240508,130000,14,14,14,14,216000,0
NORDGENERAL.HU,60,20240508,140000,14,14,14,14,18905,0
NORDGENERAL.HU,60,20240509,130000,14,14,14,14,5000,0
NORDGENERAL.HU,60,20240509,140000,13.5,13.5,13.5,13.5,4237,0
NORDGENERAL.HU,60,20240509,160000,13.5,13.5,13.5,13.5,6000,0
NORDGENERAL.HU,60,20240510,150000,13.5,13.5,13.5,13.5,1000,0
NORDGENERAL.HU,60,20240510,170000,13.5,13.5,13.5,13.5,8200,0
NORDGENERAL.HU,60,20240513,100000,13.1,13.1,13,13,9800,0
NORDGENERAL.HU,60,20240513,110000,14,14,14,14,10000,0
NORDGENERAL.HU,60,20240514,120000,14,14,14,14,1000,0
NORDGENERAL.HU,60,20240514,160000,13.2,13.2,13.2,13.2,27000,0
NORDGENERAL.HU,60,20240515,150000,13.5,14.1,13.5,14.1,10200,0
NORDGENERAL.HU,60,20240515,160000,14.1,14.1,14.1,14.1,2000,0
NORDGENERAL.HU,60,20240515,170000,14.15,14.15,14.15,14.15,10000,0
NORDGENERAL.HU,60,20240516,100000,13.5,13.5,13.5,13.5,2500,0
NORDGENERAL.HU,60,20240516,120000,13.4,13.4,13.4,13.4,9000,0
NORDGENERAL.HU,60,20240516,130000,13.4,13.4,12.7,12.7,103034,0
NORDGENERAL.HU,60,20240516,140000,12.5,12.5,12.5,12.5,80000,0
NORDGENERAL.HU,60,20240516,150000,12.8,13,12.8,13,20000,0
NORDGENERAL.HU,60,20240516,170000,13.5,13.5,13.5,13.5,10000,0
NORDGENERAL.HU,60,20240517,130000,13.25,13.25,13.25,13.25,20,0
NORDGENERAL.HU,60,20240517,160000,12.8,13.45,12.8,13.45,3290,0
NORDGENERAL.HU,60,20240517,170000,13.9,13.9,12.7,12.7,11000,0
NORDGENERAL.HU,60,20240521,120000,13,13.5,13,13.5,20000,0
NORDGENERAL.HU,60,20240521,130000,13.5,13.5,13.5,13.5,100,0
NORDGENERAL.HU,60,20240521,140000,13.5,13.5,13.5,13.5,8000,0
NORDGENERAL.HU,60,20240521,150000,13.5,13.5,13.5,13.5,3000,0
NORDGENERAL.HU,60,20240521,160000,13,13,12.8,12.8,28000,0
NORDGENERAL.HU,60,20240521,170000,13,13,13,13,3600,0
NORDGENERAL.HU,60,20240522,100000,12.8,13.5,12.1,12.1,94240,0
NORDGENERAL.HU,60,20240522,120000,13.15,13.15,13.15,13.15,9200,0
NORDGENERAL.HU,60,20240522,140000,13.25,13.25,13.25,13.25,17000,0
NORDGENERAL.HU,60,20240522,150000,13.4,13.4,13.4,13.4,15000,0
NORDGENERAL.HU,60,20240522,160000,13.25,13.25,13.25,13.25,7000,0
NORDGENERAL.HU,60,20240522,170000,13.6,13.6,13.6,13.6,5000,0
NORDGENERAL.HU,60,20240523,100000,13.5,13.6,12.65,12.65,11600,0
NORDGENERAL.HU,60,20240523,110000,13.85,14.6,13.85,14.6,93900,0
NORDGENERAL.HU,60,20240523,120000,13.7,13.7,13.55,13.55,20000,0
NORDGENERAL.HU,60,20240523,130000,14.5,14.5,13.5,14.4,29000,0
NORDGENERAL.HU,60,20240523,140000,14.4,14.4,13.5,13.5,93000,0
NORDGENERAL.HU,60,20240523,170000,13.8,14.35,13.8,14.35,13400,0
NORDGENERAL.HU,60,20240524,100000,14.35,14.35,14.35,14.35,150,0
