<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NCINDEX,5,20250707,090000,253.5,253.5,253.5,253.5,269257,0
NCINDEX,5,20250707,090500,253.32,253.32,253.32,253.32,55907,0
NCINDEX,5,20250707,091000,253.08,253.08,253.08,253.08,71534,0
NCINDEX,5,20250707,091500,253,253,253,253,125312,0
NCINDEX,5,20250707,092000,252.57,252.57,252.57,252.57,142051,0
NCINDEX,5,20250707,092500,252.56,252.56,252.56,252.56,75446,0
NCINDEX,5,20250707,093000,251.93,251.93,251.93,251.93,166810,0
NCINDEX,5,20250707,093500,252.05,252.05,252.05,252.05,111449,0
NCINDEX,5,20250707,094000,251.9,251.9,251.9,251.9,87801,0
NCINDEX,5,20250707,094500,251.8,251.8,251.8,251.8,88650,0
NCINDEX,5,20250707,095000,251.81,251.81,251.81,251.81,46692,0
NCINDEX,5,20250707,095500,251.84,251.84,251.84,251.84,57643,0
NCINDEX,5,20250707,100000,252,252,252,252,41723,0
NCINDEX,5,20250707,100500,252.44,252.44,252.44,252.44,37277,0
NCINDEX,5,20250707,101000,252.32,252.32,252.32,252.32,17988,0
NCINDEX,5,20250707,101500,252.51,252.51,252.51,252.51,18602,0
NCINDEX,5,20250707,102000,252.42,252.42,252.42,252.42,60962,0
NCINDEX,5,20250707,102500,252.03,252.03,252.03,252.03,38133,0
NCINDEX,5,20250707,103000,252.12,252.12,252.12,252.12,33989,0
NCINDEX,5,20250707,103500,252.28,252.28,252.28,252.28,113445,0
NCINDEX,5,20250707,104000,252.19,252.19,252.19,252.19,56232,0
NCINDEX,5,20250707,104500,252.37,252.37,252.37,252.37,68546,0
NCINDEX,5,20250707,105000,252.08,252.08,252.08,252.08,64858,0
NCINDEX,5,20250707,105500,251.86,251.86,251.86,251.86,14811,0
NCINDEX,5,20250707,110000,252.03,252.03,252.03,252.03,28595,0
NCINDEX,5,20250707,110500,251.93,251.93,251.93,251.93,17658,0
NCINDEX,5,20250707,111000,251.83,251.83,251.83,251.83,80543,0
NCINDEX,5,20250707,111500,251.57,251.57,251.57,251.57,14772,0
NCINDEX,5,20250707,112000,251.59,251.59,251.59,251.59,21406,0
NCINDEX,5,20250707,112500,251.79,251.79,251.79,251.79,39628,0
NCINDEX,5,20250707,113000,251.84,251.84,251.84,251.84,25859,0
NCINDEX,5,20250707,113500,251.86,251.86,251.86,251.86,20401,0
NCINDEX,5,20250707,114000,251.75,251.75,251.75,251.75,6123,0
NCINDEX,5,20250707,114500,251.74,251.74,251.74,251.74,29407,0
NCINDEX,5,20250707,115000,251.6,251.6,251.6,251.6,22901,0
NCINDEX,5,20250707,115500,251.76,251.76,251.76,251.76,60394,0
NCINDEX,5,20250707,120000,251.64,251.64,251.64,251.64,18420,0
NCINDEX,5,20250707,120500,251.52,251.52,251.52,251.52,14733,0
NCINDEX,5,20250707,121000,251.58,251.58,251.58,251.58,15985,0
NCINDEX,5,20250707,121500,251.43,251.43,251.43,251.43,34135,0
NCINDEX,5,20250707,122000,251.45,251.45,251.45,251.45,24460,0
NCINDEX,5,20250707,122500,251.51,251.51,251.51,251.51,32421,0
NCINDEX,5,20250707,123000,251.72,251.72,251.72,251.72,86117,0
NCINDEX,5,20250707,123500,251.77,251.77,251.77,251.77,102919,0
NCINDEX,5,20250707,124000,251.81,251.81,251.81,251.81,64507,0
NCINDEX,5,20250707,124500,251.69,251.69,251.69,251.69,34491,0
NCINDEX,5,20250707,125000,251.8,251.8,251.8,251.8,18748,0
NCINDEX,5,20250707,125500,252.1,252.1,252.1,252.1,8186,0
NCINDEX,5,20250707,130000,251.95,251.95,251.95,251.95,7950,0
NCINDEX,5,20250707,130500,251.9,251.9,251.9,251.9,8591,0
NCINDEX,5,20250707,131000,251.86,251.86,251.86,251.86,8564,0
NCINDEX,5,20250707,131500,251.78,251.78,251.78,251.78,29669,0
NCINDEX,5,20250707,132000,251.75,251.75,251.75,251.75,17367,0
NCINDEX,5,20250707,132500,251.83,251.83,251.83,251.83,2279,0
NCINDEX,5,20250707,133000,251.83,251.83,251.83,251.83,48974,0
NCINDEX,5,20250707,133500,251.85,251.85,251.85,251.85,23969,0
NCINDEX,5,20250707,134000,251.75,251.75,251.75,251.75,15748,0
NCINDEX,5,20250707,134500,251.6,251.6,251.6,251.6,110025,0
NCINDEX,5,20250707,135000,251.7,251.7,251.7,251.7,33152,0
NCINDEX,5,20250707,135500,251.66,251.66,251.66,251.66,18331,0
NCINDEX,5,20250707,140000,251.74,251.74,251.74,251.74,32584,0
NCINDEX,5,20250707,140500,251.83,251.83,251.83,251.83,15040,0
NCINDEX,5,20250707,141000,251.72,251.72,251.72,251.72,20071,0
NCINDEX,5,20250707,141500,251.95,251.95,251.95,251.95,106931,0
NCINDEX,5,20250707,142000,252.14,252.14,252.14,252.14,3571,0
NCINDEX,5,20250707,142500,251.77,251.77,251.77,251.77,27777,0
NCINDEX,5,20250707,143000,251.84,251.84,251.84,251.84,48686,0
NCINDEX,5,20250707,143500,251.57,251.57,251.57,251.57,61498,0
NCINDEX,5,20250707,144000,251.8,251.8,251.8,251.8,26079,0
NCINDEX,5,20250707,144500,251.47,251.47,251.47,251.47,29242,0
NCINDEX,5,20250707,145000,251.44,251.44,251.44,251.44,47180,0
NCINDEX,5,20250707,145500,251.32,251.32,251.32,251.32,42873,0
NCINDEX,5,20250707,150000,251.46,251.46,251.46,251.46,37643,0
NCINDEX,5,20250707,150500,251.45,251.45,251.45,251.45,16188,0
NCINDEX,5,20250707,151000,251.48,251.48,251.48,251.48,45079,0
NCINDEX,5,20250707,151500,251.15,251.15,251.15,251.15,57976,0
NCINDEX,5,20250707,152000,250.98,250.98,250.98,250.98,22134,0
NCINDEX,5,20250707,152500,251.12,251.12,251.12,251.12,10353,0
NCINDEX,5,20250707,153000,251.34,251.34,251.34,251.34,3894,0
