<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASR,5,20250709,110000,0.09,0.09,0.09,0.09,5600,0
ASR,5,20250709,110500,0.09,0.09,0.09,0.09,10000,0
ASR,5,20250716,110000,0.0945,0.0945,0.0945,0.0945,766,0
ASR,5,20250723,110000,0.0945,0.0945,0.0945,0.0945,359,0
ASR,5,20250723,120000,0.0945,0.0945,0.0945,0.0945,725,0
ASR,5,20250730,110000,0.0935,0.0935,0.0935,0.0935,716,0
ASR,5,20250813,110000,0.0865,0.0865,0.0865,0.0865,5000,0
ASR,5,20250813,115500,0.0865,0.0865,0.0865,0.0865,14900,0
ASR,5,20250820,110000,0.093,0.093,0.093,0.093,3000,0
ASR,5,20250827,110000,0.086,0.086,0.086,0.086,3522,0
ASR,5,20250827,110500,0.086,0.086,0.086,0.086,2000,0
ASR,5,20250827,111500,0.086,0.086,0.086,0.086,2200,0
ASR,5,20250827,113500,0.086,0.086,0.086,0.086,2000,0
ASR,5,20250827,115500,0.086,0.086,0.086,0.086,6000,0
ASR,5,20250903,110000,0.0935,0.0935,0.0935,0.0935,1162,0
ASR,5,20250910,110000,0.0935,0.0935,0.0935,0.0935,630,0
ASR,5,20250917,110000,0.0725,0.0725,0.0725,0.0725,672,0
ASR,5,20251001,110000,0.093,0.093,0.093,0.093,415,0
ASR,5,20251008,110000,0.091,0.091,0.091,0.091,115,0
ASR,5,20251015,110000,0.0755,0.0755,0.0755,0.0755,10994,0
ASR,5,20251022,110000,0.0805,0.0805,0.0805,0.0805,10310,0
ASR,5,20251029,110000,0.0895,0.0895,0.0895,0.0895,2091,0
ASR,5,20251105,110000,0.0905,0.0905,0.0905,0.0905,8744,0
ASR,5,20251105,112500,0.0905,0.0905,0.0905,0.0905,5000,0
ASR,5,20251112,110000,0.094,0.094,0.094,0.094,1530,0
ASR,5,20251112,114500,0.094,0.094,0.094,0.094,2000,0
ASR,5,20251119,110000,0.094,0.094,0.094,0.094,14592,0
ASR,5,20251126,110000,0.0705,0.0705,0.0705,0.0705,22820,0
