<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDA,5,20250707,090000,22,22,22,22,150,0
CDA,5,20250707,103000,22.2,22.3,22.2,22.3,56,0
CDA,5,20250707,111000,22.2,22.3,22.2,22.3,15,0
CDA,5,20250707,112500,22.3,22.3,22.3,22.3,2,0
CDA,5,20250707,135500,22.2,22.2,22.2,22.2,1,0
CDA,5,20250707,145000,22.2,22.2,22.1,22.1,18,0
CDA,5,20250708,091500,22.1,22.1,22.1,22.1,11,0
CDA,5,20250708,100000,22.1,22.1,22.1,22.1,26,0
CDA,5,20250708,113000,22.1,22.1,22.1,22.1,2,0
CDA,5,20250708,120500,22.1,22.1,22.1,22.1,1,0
CDA,5,20250708,153000,22.2,22.2,22.2,22.2,5,0
CDA,5,20250709,103500,22.1,22.1,22,22,500,0
CDA,5,20250709,111500,22.2,22.2,22.2,22.2,1,0
CDA,5,20250709,120000,22,22,22,22,5,0
CDA,5,20250709,124000,22.2,22.2,22.2,22.2,5,0
CDA,5,20250709,124500,22.2,22.2,22.2,22.2,19,0
CDA,5,20250709,125000,22.2,22.2,22.2,22.2,1,0
CDA,5,20250709,135000,22.2,22.3,22.2,22.3,12,0
CDA,5,20250710,090000,22.2,22.2,22.2,22.2,1,0
CDA,5,20250710,091000,22.2,22.3,22.2,22.3,4,0
CDA,5,20250710,091500,22.3,22.3,22.3,22.3,3,0
CDA,5,20250710,114000,22.3,22.3,22.3,22.3,1,0
CDA,5,20250710,124000,22,22.1,21.7,21.7,186,0
CDA,5,20250710,125500,22.3,22.3,22.3,22.3,3,0
CDA,5,20250710,151000,22.3,22.3,22.3,22.3,4,0
CDA,5,20250711,091500,22.2,22.2,22.2,22.2,1,0
CDA,5,20250711,110000,22.2,22.4,22.2,22.4,25,0
CDA,5,20250711,111000,21.7,21.8,21.7,21.8,100,0
CDA,5,20250711,112500,21.8,21.8,21.8,21.8,20,0
CDA,5,20250711,113000,21.7,21.7,21.7,21.7,20,0
CDA,5,20250711,114500,21.7,21.7,21,21,905,0
CDA,5,20250711,121500,22,22,22,22,1,0
CDA,5,20250711,123000,21.1,21.1,21.1,21.1,6,0
CDA,5,20250711,131500,22,22,22,22,5,0
CDA,5,20250711,145500,21.1,21.1,21.1,21.1,1,0
CDA,5,20250714,091000,21.5,21.5,21.5,21.5,1,0
CDA,5,20250714,093500,21.7,21.7,21.7,21.7,1,0
CDA,5,20250714,094500,21.4,21.4,21.4,21.4,3,0
CDA,5,20250714,103500,21.7,21.7,21.7,21.7,4,0
CDA,5,20250714,104000,21.7,21.7,21.7,21.7,1,0
CDA,5,20250714,104500,21.8,21.8,21.8,21.8,16,0
CDA,5,20250714,114000,21.5,21.5,21.5,21.5,1,0
CDA,5,20250714,114500,21.5,21.5,21.5,21.5,4,0
CDA,5,20250714,122500,21.5,21.5,21.5,21.5,20,0
CDA,5,20250714,144000,21.5,21.5,21.5,21.5,1,0
CDA,5,20250714,152000,21.4,21.4,20.1,21,584,0
CDA,5,20250714,152500,21,21,20.1,21,103,0
CDA,5,20250714,153000,20.6,20.6,20.4,20.4,4,0
CDA,5,20250714,154500,20.7,20.8,20.3,20.3,9,0
CDA,5,20250714,155500,20.8,20.8,20.8,20.8,1,0
CDA,5,20250714,160500,20.5,20.5,20.5,20.5,1,0
