<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIV,5,20250708,100500,1.2,1.2,1.2,1.2,111,0
DIV,5,20250708,112500,1.06,1.06,1.06,1.06,1500,0
DIV,5,20250709,125500,1.09,1.09,1.06,1.06,1400,0
DIV,5,20250710,111000,1.06,1.06,1.06,1.06,1500,0
DIV,5,20250710,132500,1.2,1.2,1.2,1.2,80,0
DIV,5,20250714,163500,1.06,1.06,1.06,1.06,15,0
DIV,5,20250715,101500,1.11,1.11,1.11,1.11,498,0
DIV,5,20250715,103500,1.19,1.19,1.19,1.19,111,0
DIV,5,20250715,105000,1.19,1.19,1.19,1.19,222,0
DIV,5,20250716,150500,1.19,1.26,1.19,1.26,1006,0
DIV,5,20250716,154000,1.26,1.26,1.25,1.25,2722,0
DIV,5,20250716,154500,1.3,1.37,1.3,1.37,60,0
DIV,5,20250716,161500,1.2,1.2,1.2,1.2,50,0
DIV,5,20250716,164000,1.25,1.36,1.25,1.36,100,0
DIV,5,20250717,090000,1.37,1.64,1.37,1.58,9867,0
DIV,5,20250717,090500,1.5,1.5,1.5,1.5,502,0
DIV,5,20250717,091500,1.43,1.43,1.42,1.42,100,0
DIV,5,20250717,092000,1.43,1.55,1.4,1.4,6717,0
DIV,5,20250717,092500,1.37,1.38,1.37,1.37,1522,0
DIV,5,20250717,093000,1.48,1.49,1.48,1.49,10,0
DIV,5,20250717,094000,1.37,1.37,1.37,1.37,7,0
DIV,5,20250717,110000,1.37,1.37,1.37,1.37,4130,0
DIV,5,20250717,110500,1.37,1.37,1.37,1.37,1320,0
DIV,5,20250717,113500,1.43,1.58,1.43,1.58,50,0
DIV,5,20250717,114000,1.58,1.58,1.58,1.58,30,0
DIV,5,20250717,122500,1.57,1.57,1.57,1.57,10,0
DIV,5,20250717,123000,1.58,1.58,1.58,1.58,17,0
DIV,5,20250717,131500,1.57,1.57,1.57,1.57,475,0
DIV,5,20250717,133000,1.57,1.57,1.57,1.57,20,0
DIV,5,20250717,133500,1.38,1.38,1.37,1.37,20,0
DIV,5,20250717,140500,1.49,1.5,1.49,1.5,25,0
DIV,5,20250717,141500,1.5,1.5,1.5,1.5,693,0
DIV,5,20250717,144500,1.57,1.57,1.57,1.57,600,0
DIV,5,20250717,145000,1.38,1.38,1.38,1.38,23,0
DIV,5,20250717,152500,1.39,1.39,1.39,1.39,415,0
DIV,5,20250717,155000,1.4,1.4,1.4,1.4,25,0
DIV,5,20250717,160000,1.4,1.4,1.4,1.4,485,0
DIV,5,20250717,163500,1.55,1.55,1.55,1.55,7,0
DIV,5,20250717,164000,1.55,1.55,1.55,1.55,77,0
DIV,5,20250718,090000,1.57,1.8,1.57,1.8,955,0
DIV,5,20250718,091000,1.7,1.7,1.7,1.7,1500,0
DIV,5,20250718,092500,1.57,1.57,1.57,1.57,24,0
DIV,5,20250718,093500,1.7,1.88,1.7,1.88,12426,0
DIV,5,20250718,094000,1.88,1.88,1.88,1.88,2414,0
DIV,5,20250718,094500,1.87,1.87,1.71,1.71,947,0
DIV,5,20250718,101500,1.85,1.85,1.85,1.85,106,0
DIV,5,20250718,102000,1.85,1.85,1.85,1.85,30,0
DIV,5,20250718,104500,1.85,1.85,1.85,1.85,6,0
DIV,5,20250718,105500,1.85,1.85,1.85,1.85,132,0
DIV,5,20250718,112000,1.8,1.8,1.8,1.8,30,0
DIV,5,20250718,113000,1.8,1.84,1.8,1.84,811,0
DIV,5,20250718,114000,1.7,1.7,1.7,1.7,7,0
DIV,5,20250718,114500,1.7,1.7,1.7,1.7,6,0
DIV,5,20250718,115500,1.84,1.84,1.84,1.84,1,0
DIV,5,20250718,123000,1.7,1.7,1.7,1.7,17,0
DIV,5,20250718,130000,1.7,1.7,1.7,1.7,77,0
DIV,5,20250718,140000,1.7,1.7,1.7,1.7,893,0
DIV,5,20250718,141500,1.7,1.8,1.7,1.8,1108,0
DIV,5,20250721,090000,1.8,1.8,1.79,1.79,2979,0
DIV,5,20250721,090500,1.79,1.8,1.79,1.8,100,0
DIV,5,20250721,092500,1.79,1.79,1.79,1.79,1000,0
DIV,5,20250721,095000,1.79,1.79,1.79,1.79,300,0
DIV,5,20250721,105000,1.79,1.8,1.79,1.8,1000,0
DIV,5,20250721,113500,1.7,1.7,1.66,1.66,3898,0
DIV,5,20250721,130500,1.65,1.65,1.65,1.65,125,0
DIV,5,20250721,164500,1.65,1.65,1.44,1.44,664,0
DIV,5,20250722,090500,1.79,1.79,1.79,1.79,500,0
DIV,5,20250722,091500,1.46,1.46,1.46,1.46,21,0
DIV,5,20250722,113000,1.51,1.51,1.51,1.51,60,0
DIV,5,20250722,122000,1.5,1.5,1.5,1.5,10,0
DIV,5,20250722,124000,1.5,1.5,1.5,1.5,40,0
DIV,5,20250722,131500,1.51,1.51,1.51,1.51,40,0
DIV,5,20250722,160500,1.51,1.51,1.51,1.51,55,0
DIV,5,20250722,161500,1.51,1.51,1.51,1.51,8993,0
DIV,5,20250722,162000,1.51,1.51,1.51,1.51,25090,0
DIV,5,20250722,162500,1.51,1.51,1.51,1.51,5000,0
DIV,5,20250722,163000,1.51,1.79,1.51,1.79,10000,0
DIV,5,20250722,163500,1.79,2,1.79,2,1635,0
DIV,5,20250722,164500,2,2,2,2,250,0
DIV,5,20250723,090000,2.4,2.4,2.28,2.28,700,0
DIV,5,20250723,090500,2,2,2,2,1500,0
DIV,5,20250723,091000,1.92,1.92,1.92,1.92,500,0
DIV,5,20250723,092500,1.7,1.98,1.7,1.98,220,0
DIV,5,20250723,095000,1.97,1.97,1.97,1.97,400,0
DIV,5,20250723,100000,1.82,1.82,1.8,1.8,160,0
DIV,5,20250723,102000,1.8,1.9,1.8,1.9,341,0
DIV,5,20250723,105000,1.9,1.96,1.9,1.96,1750,0
DIV,5,20250723,115000,1.89,1.89,1.89,1.89,1431,0
DIV,5,20250723,115500,1.89,1.89,1.89,1.89,185,0
DIV,5,20250723,122500,1.89,1.89,1.89,1.89,333,0
DIV,5,20250723,145000,1.85,1.85,1.85,1.85,773,0
DIV,5,20250723,155000,1.88,1.88,1.88,1.88,1,0
DIV,5,20250723,161500,1.87,1.87,1.87,1.87,1250,0
DIV,5,20250724,090000,2.18,2.38,2.18,2.38,2501,0
DIV,5,20250724,090500,2.38,2.5,2.3,2.3,3050,0
DIV,5,20250724,091500,2.2,2.2,2.1,2.1,4400,0
DIV,5,20250724,092000,2.1,2.1,2.1,2.1,372,0
DIV,5,20250724,094000,2.1,2.3,2.1,2.3,1500,0
DIV,5,20250724,094500,2.3,2.3,2.3,2.3,5,0
DIV,5,20250724,095500,2.26,2.26,2.26,2.26,93,0
DIV,5,20250724,100000,2.3,2.3,2.3,2.3,104,0
DIV,5,20250724,100500,2.2,2.2,2.2,2.2,93,0
DIV,5,20250724,102000,2.28,2.28,2.28,2.28,1105,0
DIV,5,20250724,102500,2.3,2.3,2.3,2.3,5,0
DIV,5,20250724,104000,2.3,2.3,2.3,2.3,68,0
DIV,5,20250724,111500,2.2,2.2,2.12,2.12,60,0
DIV,5,20250724,112000,2.3,2.3,2.3,2.3,12,0
DIV,5,20250724,115500,2.3,2.3,2.3,2.3,210,0
DIV,5,20250724,120000,2.3,2.3,2.3,2.3,500,0
DIV,5,20250724,121000,2.3,2.3,2.3,2.3,150,0
DIV,5,20250724,125500,2.18,2.18,2.18,2.18,1747,0
DIV,5,20250724,131500,2.18,2.18,2.18,2.18,900,0
DIV,5,20250724,133500,2.18,2.38,2.18,2.38,5000,0
DIV,5,20250724,142000,2.36,2.36,2.36,2.36,6,0
DIV,5,20250724,143500,2.2,2.2,2.2,2.2,180,0
DIV,5,20250724,145500,2.2,2.2,2.2,2.2,500,0
DIV,5,20250724,150500,2.2,2.2,2.1,2.1,3000,0
DIV,5,20250724,151000,2.2,2.2,2.2,2.2,310,0
DIV,5,20250724,151500,2.3,2.3,2.3,2.3,440,0
DIV,5,20250724,152000,2.1,2.1,2.02,2.02,750,0
DIV,5,20250724,164500,2.28,2.28,2.28,2.28,700,0
DIV,5,20250725,090000,2.2,2.4,2.2,2.4,1750,0
DIV,5,20250725,090500,2.22,2.22,2.22,2.22,1354,0
DIV,5,20250725,100000,2.22,2.22,2.22,2.22,2000,0
DIV,5,20250725,100500,2.14,2.14,2.14,2.14,1500,0
DIV,5,20250725,101000,2.04,2.04,1.91,1.91,16500,0
DIV,5,20250725,103000,1.95,1.95,1.95,1.95,2000,0
DIV,5,20250725,111500,2.06,2.06,2.06,2.06,500,0
DIV,5,20250725,120000,2.06,2.06,2.06,2.06,432,0
DIV,5,20250725,122000,2.06,2.06,2.06,2.06,100,0
DIV,5,20250725,123500,2.2,2.2,2.2,2.2,250,0
DIV,5,20250725,124500,2.06,2.06,2.06,2.06,1000,0
DIV,5,20250725,125000,2.06,2.06,2.06,2.06,222,0
DIV,5,20250725,144500,2.06,2.06,2.06,2.06,178,0
DIV,5,20250725,145500,1.91,1.92,1.76,1.8,5000,0
DIV,5,20250725,150000,1.9,1.9,1.88,1.88,117,0
DIV,5,20250725,152000,1.87,1.87,1.87,1.87,490,0
DIV,5,20250725,154500,1.88,2,1.88,2,2550,0
DIV,5,20250725,164500,1.88,1.88,1.88,1.88,2800,0
DIV,5,20250728,090000,2,2.18,2,2.18,166,0
DIV,5,20250728,092000,2.14,2.16,2.14,2.16,2379,0
DIV,5,20250728,094500,2.16,2.18,2.16,2.18,431,0
