<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPO,5,20250707,110000,1.25,1.25,1.25,1.25,20,0
FPO,5,20250707,150000,1.25,1.25,1.25,1.25,1065,0
FPO,5,20250718,110000,1.25,1.25,1.25,1.25,25,0
FPO,5,20250718,150000,1.25,1.25,1.25,1.25,25,0
FPO,5,20250721,110000,1.3,1.3,1.3,1.3,20,0
FPO,5,20250728,150000,1.3,1.3,1.3,1.3,10,0
FPO,5,20250731,110000,1.34,1.34,1.34,1.34,30,0
FPO,5,20250801,110000,1.34,1.34,1.34,1.34,25,0
FPO,5,20250804,110000,1.34,1.34,1.34,1.34,20,0
FPO,5,20250805,110000,1.34,1.34,1.34,1.34,25,0
FPO,5,20250806,110000,1.34,1.34,1.34,1.34,15,0
FPO,5,20250806,150000,1.47,1.47,1.47,1.47,1000,0
FPO,5,20250807,110000,1.47,1.47,1.47,1.47,289,0
FPO,5,20250808,110000,1.48,1.48,1.48,1.48,25,0
FPO,5,20250812,110000,1.48,1.48,1.48,1.48,30,0
FPO,5,20250812,150000,1.5,1.5,1.5,1.5,1000,0
FPO,5,20250813,110000,1.47,1.47,1.47,1.47,30,0
FPO,5,20250813,150000,1.47,1.47,1.47,1.47,19,0
FPO,5,20250814,110000,1.47,1.47,1.47,1.47,25,0
FPO,5,20250818,110000,1.47,1.47,1.47,1.47,35,0
FPO,5,20250819,110000,1.6,1.6,1.6,1.6,500,0
FPO,5,20250820,110000,1.66,1.66,1.66,1.66,1135,0
FPO,5,20250821,110000,1.78,1.78,1.78,1.78,95,0
FPO,5,20250822,110000,1.86,1.86,1.86,1.86,20,0
FPO,5,20250822,150000,1.85,1.85,1.85,1.85,15,0
FPO,5,20250826,110000,1.8,1.8,1.8,1.8,260,0
FPO,5,20250827,110000,1.78,1.78,1.78,1.78,300,0
FPO,5,20250828,110000,1.79,1.79,1.79,1.79,1930,0
FPO,5,20250828,150000,1.79,1.79,1.79,1.79,1960,0
FPO,5,20250904,110000,1.79,1.79,1.79,1.79,20,0
FPO,5,20250904,150000,1.8,1.8,1.8,1.8,1145,0
FPO,5,20250905,110000,1.87,1.87,1.87,1.87,720,0
FPO,5,20250905,150000,1.87,1.87,1.87,1.87,220,0
FPO,5,20250905,150500,1.87,1.87,1.87,1.87,200,0
FPO,5,20250908,110000,1.88,1.88,1.88,1.88,1111,0
FPO,5,20250908,112500,1.88,1.88,1.88,1.88,55,0
FPO,5,20250910,110000,1.88,1.88,1.88,1.88,75,0
FPO,5,20250910,150000,1.9,1.9,1.9,1.9,4,0
FPO,5,20250911,110000,1.88,1.88,1.88,1.88,26,0
FPO,5,20250912,110000,1.88,1.88,1.88,1.88,40,0
FPO,5,20250915,110000,1.88,1.88,1.88,1.88,10,0
