<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRW,5,20250707,091000,40.4163,40.4163,40.4163,40.4163,20.684729063299997,0
FRW,5,20250707,093000,40.4163,40.4163,40.4163,40.4163,5.4433497535,0
FRW,5,20250707,095000,40.4163,40.4163,40.2326,40.2326,3.2660098521,0
FRW,5,20250707,101500,40.4163,40.4163,40.4163,40.4163,5.4433497535,0
FRW,5,20250707,105000,40.4163,40.4163,40.4163,40.4163,17.4187192112,0
FRW,5,20250707,120500,40.4163,40.4163,40.4163,40.4163,58.78817733779999,0
FRW,5,20250707,122500,40.4163,40.4163,40.4163,40.4163,108.86699507,0
FRW,5,20250707,132500,40.6,40.6,40.6,40.6,54.433497535,0
FRW,5,20250707,140500,40.6,40.6,40.6,40.6,52.2561576336,0
FRW,5,20250707,142000,39.6814,39.6814,39.5896,39.5896,5.4433497535,0
FRW,5,20250708,105500,40.3244,40.3244,40.3244,40.3244,2.1773399014,0
FRW,5,20250708,110500,40.3244,40.6,40.3244,40.4163,960.2068965174,0
FRW,5,20250708,111500,40.4163,40.4163,40.4163,40.4163,108.86699507,0
FRW,5,20250708,113000,40.4163,40.4163,40.4163,40.4163,326.60098521,0
FRW,5,20250708,114500,40.4163,40.4163,40.4163,40.4163,13.0640394084,0
FRW,5,20250708,125500,39.7733,39.7733,39.7733,39.7733,217.73399014,0
FRW,5,20250708,133500,40.3244,40.3244,40.3244,40.3244,16.330049260499997,0
FRW,5,20250708,134000,40.4163,40.4163,40.4163,40.4163,10.886699507,0
FRW,5,20250708,140500,40.4163,40.4163,40.4163,40.4163,65.32019704199999,0
FRW,5,20250708,143500,40.4163,40.4163,40.4163,40.4163,19.5960591126,0
FRW,5,20250708,144500,40.4163,40.4163,40.3244,40.3244,108.86699507,0
FRW,5,20250708,145000,40.6,40.6,40.6,40.6,65.32019704199999,0
FRW,5,20250708,154000,40.6,40.6,40.6,40.6,60.9655172392,0
