<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FVE,5,20250708,140000,0.71,0.71,0.71,0.71,2000,0
FVE,5,20250709,130500,0.69,0.69,0.67,0.67,2936,0
FVE,5,20250709,131000,0.65,0.65,0.6,0.6,2066,0
FVE,5,20250709,131500,0.58,0.58,0.58,0.58,200,0
FVE,5,20250709,132000,0.654,0.656,0.58,0.58,180,0
FVE,5,20250709,132500,0.59,0.59,0.59,0.59,200,0
FVE,5,20250709,134000,0.656,0.658,0.59,0.59,2078,0
FVE,5,20250710,112000,0.61,0.61,0.61,0.61,1200,0
FVE,5,20250710,113000,0.61,0.61,0.61,0.61,2191,0
FVE,5,20250711,092000,0.6,0.6,0.6,0.6,50,0
FVE,5,20250714,121000,0.61,0.61,0.61,0.61,220,0
FVE,5,20250715,090000,0.61,0.61,0.61,0.61,1,0
FVE,5,20250715,101500,0.638,0.64,0.636,0.64,263,0
FVE,5,20250715,120500,0.65,0.66,0.64,0.66,4611,0
FVE,5,20250715,125000,0.664,0.668,0.664,0.668,135,0
FVE,5,20250715,131500,0.67,0.71,0.67,0.71,1500,0
FVE,5,20250715,133000,0.71,0.71,0.71,0.71,1309,0
FVE,5,20250715,135500,0.71,0.728,0.71,0.728,1003,0
FVE,5,20250715,152500,0.67,0.67,0.67,0.67,1797,0
FVE,5,20250715,162000,0.67,0.67,0.63,0.63,2809,0
FVE,5,20250716,122500,0.65,0.65,0.65,0.65,2500,0
FVE,5,20250716,141500,0.65,0.69,0.63,0.69,5349,0
FVE,5,20250716,142000,0.7,0.72,0.7,0.72,1200,0
FVE,5,20250716,153500,0.72,0.72,0.72,0.72,1959,0
FVE,5,20250717,090000,0.65,0.718,0.64,0.718,5515,0
FVE,5,20250717,145500,0.708,0.708,0.708,0.708,900,0
FVE,5,20250717,150000,0.71,0.71,0.71,0.71,800,0
FVE,5,20250717,151000,0.72,0.726,0.72,0.726,800,0
FVE,5,20250717,152000,0.728,0.728,0.728,0.728,500,0
FVE,5,20250718,095000,0.682,0.682,0.682,0.682,80,0
FVE,5,20250718,130500,0.726,0.728,0.726,0.728,3107,0
FVE,5,20250718,131000,0.73,0.73,0.73,0.73,100,0
FVE,5,20250718,131500,0.682,0.682,0.682,0.682,420,0
FVE,5,20250718,140000,0.692,0.692,0.692,0.692,200,0
FVE,5,20250718,154000,0.718,0.734,0.68,0.734,9605,0
FVE,5,20250718,154500,0.736,0.738,0.736,0.738,400,0
FVE,5,20250718,164500,0.738,0.738,0.738,0.738,3320,0
FVE,5,20250721,110500,0.738,0.738,0.738,0.738,48,0
FVE,5,20250721,121000,0.692,0.692,0.692,0.692,48,0
FVE,5,20250722,092500,0.724,0.724,0.724,0.724,30,0
FVE,5,20250722,164500,0.692,0.722,0.672,0.722,5650,0
FVE,5,20250723,102000,0.68,0.68,0.68,0.68,2491,0
FVE,5,20250723,113000,0.728,0.728,0.728,0.728,200,0
FVE,5,20250723,132500,0.684,0.684,0.68,0.68,2500,0
FVE,5,20250723,134000,0.706,0.718,0.706,0.712,1500,0
FVE,5,20250723,142500,0.69,0.69,0.69,0.69,1479,0
FVE,5,20250724,132000,0.69,0.69,0.69,0.69,5,0
FVE,5,20250725,122000,0.708,0.718,0.708,0.718,400,0
FVE,5,20250725,164500,0.674,0.674,0.664,0.664,4665,0
FVE,5,20250728,120500,0.71,0.71,0.708,0.708,1000,0
FVE,5,20250729,090000,0.71,0.71,0.71,0.71,125,0
FVE,5,20250729,100500,0.71,0.71,0.71,0.71,570,0
FVE,5,20250730,091500,0.708,0.71,0.708,0.71,6800,0
FVE,5,20250730,130500,0.708,0.708,0.708,0.708,80,0
FVE,5,20250730,154000,0.708,0.708,0.708,0.708,265,0
FVE,5,20250801,104500,0.7,0.7,0.7,0.7,20,0
FVE,5,20250804,113500,0.708,0.708,0.708,0.708,155,0
FVE,5,20250804,115000,0.712,0.712,0.712,0.712,100,0
FVE,5,20250804,115500,0.712,0.718,0.712,0.718,2238,0
FVE,5,20250804,122500,0.696,0.718,0.696,0.718,1000,0
FVE,5,20250804,123000,0.72,0.72,0.72,0.72,100,0
FVE,5,20250804,124000,0.72,0.728,0.72,0.728,1000,0
FVE,5,20250804,131500,0.728,0.78,0.726,0.78,13369,0
FVE,5,20250804,132000,0.78,0.79,0.78,0.79,3237,0
FVE,5,20250804,133500,0.79,0.79,0.79,0.79,4000,0
FVE,5,20250804,134500,0.788,0.788,0.788,0.788,500,0
FVE,5,20250804,135500,0.788,0.788,0.788,0.788,3400,0
FVE,5,20250804,150000,0.77,0.77,0.77,0.77,300,0
FVE,5,20250804,151000,0.77,0.77,0.77,0.77,2000,0
FVE,5,20250804,152000,0.71,0.71,0.71,0.71,500,0
FVE,5,20250804,152500,0.77,0.77,0.77,0.77,700,0
FVE,5,20250804,163000,0.778,0.778,0.778,0.778,500,0
FVE,5,20250804,164500,0.78,0.78,0.78,0.78,150,0
FVE,5,20250805,092000,0.75,0.75,0.75,0.75,30,0
FVE,5,20250805,120500,0.718,0.718,0.718,0.718,141,0
FVE,5,20250805,121000,0.718,0.718,0.718,0.718,283,0
FVE,5,20250805,121500,0.718,0.74,0.718,0.74,4310,0
FVE,5,20250805,125500,0.74,0.74,0.74,0.74,890,0
FVE,5,20250805,131000,0.752,0.78,0.752,0.78,291,0
FVE,5,20250805,150500,0.78,0.78,0.78,0.78,250,0
FVE,5,20250805,153500,0.74,0.74,0.74,0.74,35,0
FVE,5,20250807,102000,0.74,0.74,0.74,0.74,20,0
FVE,5,20250807,121500,0.73,0.73,0.64,0.64,9578,0
FVE,5,20250807,122000,0.64,0.64,0.63,0.63,1500,0
FVE,5,20250807,122500,0.63,0.7,0.63,0.7,493,0
FVE,5,20250807,123000,0.622,0.622,0.622,0.622,1499,0
FVE,5,20250807,124000,0.616,0.616,0.616,0.616,1300,0
FVE,5,20250807,161000,0.696,0.696,0.696,0.696,48,0
FVE,5,20250808,092500,0.63,0.63,0.63,0.63,200,0
FVE,5,20250808,142500,0.686,0.686,0.686,0.686,16,0
FVE,5,20250812,160000,0.64,0.64,0.616,0.616,3900,0
FVE,5,20250812,163500,0.662,0.662,0.662,0.662,162,0
FVE,5,20250813,112500,0.668,0.67,0.668,0.67,67,0
FVE,5,20250813,113500,0.67,0.68,0.67,0.68,2000,0
FVE,5,20250813,114500,0.68,0.68,0.68,0.68,444,0
FVE,5,20250813,115000,0.68,0.68,0.68,0.68,1000,0
FVE,5,20250814,092500,0.68,0.68,0.68,0.68,20,0
FVE,5,20250818,110500,0.68,0.68,0.68,0.68,20,0
FVE,5,20250819,093500,0.68,0.68,0.68,0.68,20,0
FVE,5,20250821,124500,0.646,0.646,0.616,0.616,7505,0
FVE,5,20250822,104500,0.622,0.622,0.622,0.622,50,0
FVE,5,20250822,122500,0.674,0.674,0.674,0.674,600,0
FVE,5,20250822,123000,0.676,0.68,0.676,0.68,2000,0
FVE,5,20250822,133500,0.68,0.68,0.68,0.68,520,0
FVE,5,20250822,154500,0.63,0.63,0.63,0.63,1000,0
FVE,5,20250822,155000,0.63,0.63,0.63,0.63,766,0
FVE,5,20250825,141000,0.678,0.68,0.678,0.68,400,0
FVE,5,20250827,101500,0.68,0.68,0.68,0.68,20,0
FVE,5,20250827,115000,0.624,0.624,0.624,0.624,1000,0
FVE,5,20250828,090000,0.676,0.676,0.676,0.676,200,0
FVE,5,20250829,095500,0.67,0.67,0.67,0.67,20,0
FVE,5,20250829,112500,0.65,0.65,0.612,0.612,5000,0
FVE,5,20250829,114000,0.612,0.612,0.612,0.612,147,0
FVE,5,20250829,122000,0.61,0.61,0.61,0.61,1639,0
FVE,5,20250829,133000,0.61,0.61,0.61,0.61,150,0
FVE,5,20250829,140500,0.61,0.61,0.61,0.61,1600,0
FVE,5,20250902,101000,0.658,0.658,0.658,0.658,20,0
FVE,5,20250902,105000,0.61,0.61,0.608,0.608,1500,0
FVE,5,20250902,145000,0.612,0.612,0.612,0.612,30,0
