<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GAL,5,20250707,103500,1.24,1.24,1.24,1.24,160,0
GAL,5,20250708,124500,1.33,1.35,1.33,1.35,3643,0
GAL,5,20250708,125000,1.36,1.59,1.36,1.59,4985,0
GAL,5,20250708,125500,1.36,1.36,1.36,1.36,3200,0
GAL,5,20250708,130000,1.54,1.54,1.54,1.54,1,0
GAL,5,20250708,140500,1.45,1.45,1.45,1.45,500,0
GAL,5,20250708,151000,1.4,1.4,1.4,1.4,80,0
GAL,5,20250708,151500,1.4,1.4,1.4,1.4,30,0
GAL,5,20250708,153500,1.36,1.36,1.36,1.36,1478,0
GAL,5,20250708,155000,1.35,1.35,1.35,1.35,302,0
GAL,5,20250708,160000,1.35,1.35,1.34,1.34,3200,0
GAL,5,20250708,162000,1.36,1.36,1.36,1.36,736,0
GAL,5,20250708,164000,1.44,1.44,1.44,1.44,9,0
GAL,5,20250709,094000,1.3,1.3,1.3,1.3,200,0
GAL,5,20250709,112000,1.4,1.4,1.4,1.4,600,0
GAL,5,20250710,104000,1.32,1.33,1.31,1.31,500,0
GAL,5,20250710,152500,1.38,1.38,1.38,1.38,18,0
GAL,5,20250711,090500,1.37,1.39,1.37,1.39,1800,0
GAL,5,20250711,091500,1.39,1.39,1.39,1.39,1375,0
GAL,5,20250711,123000,1.4,1.4,1.4,1.4,264,0
GAL,5,20250714,145500,1.4,1.4,1.4,1.4,751,0
GAL,5,20250714,151500,1.42,1.42,1.42,1.42,3000,0
GAL,5,20250714,152000,1.42,1.44,1.42,1.44,1059,0
GAL,5,20250714,152500,1.53,1.53,1.4,1.4,5069,0
GAL,5,20250714,153000,1.4,1.4,1.38,1.38,1140,0
GAL,5,20250714,154000,1.38,1.4,1.38,1.4,792,0
GAL,5,20250714,154500,1.42,1.42,1.42,1.42,1000,0
GAL,5,20250714,160500,1.48,1.48,1.48,1.48,225,0
GAL,5,20250715,090000,1.46,1.52,1.4,1.52,14388,0
GAL,5,20250715,093000,1.5,1.5,1.5,1.5,2000,0
GAL,5,20250715,093500,1.5,1.5,1.41,1.41,3100,0
GAL,5,20250715,101500,1.48,1.48,1.48,1.48,1,0
GAL,5,20250715,105000,1.42,1.48,1.42,1.48,1101,0
GAL,5,20250715,112000,1.41,1.41,1.41,1.41,400,0
GAL,5,20250715,113000,1.48,1.48,1.48,1.48,17,0
GAL,5,20250715,113500,1.41,1.41,1.4,1.4,3981,0
