<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBC,5,20250707,091500,1.845,1.845,1.845,1.845,15,0
IBC,5,20250707,154500,1.8,1.8,1.7,1.7,700,0
IBC,5,20250708,092000,1.7,1.7,1.7,1.7,10074,0
IBC,5,20250708,092500,1.76,1.76,1.76,1.76,6,0
IBC,5,20250708,095500,1.76,1.85,1.76,1.85,4703,0
IBC,5,20250708,100000,1.85,1.94,1.85,1.94,1012,0
IBC,5,20250708,104000,1.85,1.94,1.85,1.94,13,0
IBC,5,20250708,113000,1.94,2,1.94,2,334,0
IBC,5,20250708,123000,2,2,2,2,539,0
IBC,5,20250708,123500,2,2,2,2,1451,0
IBC,5,20250708,130000,2,2.04,2,2.04,22,0
IBC,5,20250708,151000,1.98,2.04,1.98,2.04,776,0
IBC,5,20250708,153000,2.04,2.04,2.04,2.04,3900,0
IBC,5,20250708,164500,2.16,2.16,2.16,2.16,10,0
IBC,5,20250709,105500,2.16,2.2,2.16,2.2,172,0
IBC,5,20250710,135500,2.04,2.04,2,2,25,0
IBC,5,20250711,090500,2.04,2.04,2.04,2.04,5,0
IBC,5,20250711,161000,1.9,1.9,1.9,1.9,20,0
IBC,5,20250714,091500,1.83,1.83,1.7,1.7,1708,0
IBC,5,20250714,095000,1.7,1.7,1.7,1.7,100,0
IBC,5,20250714,100000,1.58,1.58,1.53,1.53,2990,0
IBC,5,20250714,102500,1.7,1.7,1.7,1.7,600,0
IBC,5,20250714,104000,1.695,1.695,1.695,1.695,110,0
IBC,5,20250714,112000,1.695,1.695,1.695,1.695,91,0
IBC,5,20250714,120500,1.695,1.695,1.695,1.695,1300,0
IBC,5,20250714,123500,1.71,1.71,1.71,1.71,100,0
IBC,5,20250714,141000,1.71,1.71,1.71,1.71,537,0
IBC,5,20250714,163000,1.7,1.7,1.7,1.7,2500,0
IBC,5,20250715,104500,1.65,1.65,1.63,1.635,2200,0
IBC,5,20250721,093500,1.57,1.57,1.56,1.56,400,0
IBC,5,20250721,094500,1.66,1.66,1.66,1.66,7,0
IBC,5,20250721,105500,1.65,1.66,1.65,1.66,180,0
IBC,5,20250722,100000,1.66,1.66,1.66,1.66,7,0
IBC,5,20250722,142000,1.57,1.57,1.51,1.51,91,0
IBC,5,20250723,100500,1.525,1.525,1.525,1.525,11,0
IBC,5,20250724,092000,1.535,1.535,1.53,1.53,700,0
IBC,5,20250725,113500,1.65,1.65,1.65,1.65,4100,0
IBC,5,20250725,152000,1.66,1.66,1.66,1.66,30,0
IBC,5,20250725,154000,1.66,1.66,1.66,1.66,250,0
IBC,5,20250728,110000,1.66,1.66,1.66,1.66,7,0
IBC,5,20250729,135500,1.66,1.66,1.66,1.66,5,0
IBC,5,20250730,093000,1.66,1.66,1.66,1.66,20,0
IBC,5,20250731,092500,1.66,1.66,1.66,1.66,15,0
IBC,5,20250801,093500,1.66,1.66,1.66,1.66,15,0
IBC,5,20250801,111500,1.66,1.66,1.66,1.66,8,0
IBC,5,20250804,091500,1.66,1.66,1.66,1.66,15,0
IBC,5,20250805,092500,1.66,1.66,1.66,1.66,15,0
IBC,5,20250806,094000,1.66,1.66,1.66,1.66,15,0
IBC,5,20250807,094500,1.66,1.66,1.66,1.66,20,0
IBC,5,20250808,093000,1.66,1.66,1.66,1.66,15,0
IBC,5,20250811,091500,1.66,1.66,1.66,1.66,15,0
IBC,5,20250812,092000,1.66,1.66,1.66,1.66,15,0
IBC,5,20250813,093000,1.66,1.66,1.66,1.66,15,0
IBC,5,20250814,094000,1.66,1.66,1.66,1.66,15,0
IBC,5,20250814,101500,1.57,1.57,1.57,1.57,8,0
IBC,5,20250814,120500,1.66,1.8,1.66,1.8,8774,0
IBC,5,20250814,121000,1.835,1.845,1.835,1.845,962,0
IBC,5,20250814,121500,1.85,1.99,1.85,1.99,2958,0
IBC,5,20250814,124000,2.07,2.07,2.07,2.07,5280,0
IBC,5,20250814,124500,2.1,2.14,2.1,2.14,4240,0
IBC,5,20250814,131000,2.15,2.28,2.15,2.28,2200,0
IBC,5,20250814,131500,2.28,2.38,2.08,2.08,4633,0
IBC,5,20250814,132000,2.21,2.22,2.21,2.22,2000,0
IBC,5,20250814,133000,2.22,2.22,2.22,2.22,283,0
IBC,5,20250814,133500,2.3,2.38,2.3,2.38,2300,0
IBC,5,20250814,134500,2.36,2.38,2.36,2.38,410,0
IBC,5,20250814,135000,2.38,2.38,2.38,2.38,20,0
IBC,5,20250814,135500,2.3,2.3,2.3,2.3,1900,0
IBC,5,20250814,140000,2.34,2.38,2.34,2.38,500,0
IBC,5,20250814,140500,2.25,2.25,2.25,2.25,8,0
IBC,5,20250814,141500,2.38,2.38,2.38,2.38,59,0
IBC,5,20250818,090000,2.12,2.34,2.03,2.03,11185,0
IBC,5,20250818,090500,2.1,2.1,2.1,2.1,172,0
IBC,5,20250818,091000,2.23,2.29,2.23,2.29,77,0
IBC,5,20250818,091500,2.28,2.29,2.28,2.29,115,0
IBC,5,20250818,092500,2.13,2.13,2.1,2.1,183,0
IBC,5,20250818,093000,2.28,2.29,2.28,2.29,1000,0
IBC,5,20250818,093500,2.29,2.35,2.29,2.35,421,0
IBC,5,20250818,100000,2.35,2.38,2.35,2.35,1033,0
IBC,5,20250818,101000,2.2,2.2,2.18,2.18,49,0
IBC,5,20250818,103000,2.34,2.35,2.34,2.35,369,0
IBC,5,20250818,103500,2.35,2.54,2.35,2.42,1597,0
IBC,5,20250818,104000,2.42,2.44,2.42,2.44,400,0
IBC,5,20250818,105000,2.43,2.44,2.43,2.44,33,0
IBC,5,20250818,110000,2.44,2.52,2.44,2.52,2438,0
IBC,5,20250818,111000,2.5,2.5,2.45,2.45,1439,0
IBC,5,20250818,111500,2.45,2.5,2.4,2.4,1324,0
IBC,5,20250818,112500,2.4,2.41,2.4,2.41,44,0
IBC,5,20250818,113000,2.3,2.3,2.3,2.3,307,0
IBC,5,20250818,115500,2.26,2.26,2.21,2.21,1956,0
IBC,5,20250818,121000,2.21,2.21,2.21,2.21,108,0
IBC,5,20250818,121500,2.18,2.18,2.03,2.03,600,0
IBC,5,20250818,140500,2.16,2.16,2.16,2.16,17,0
IBC,5,20250818,142000,2.16,2.16,2.16,2.16,23,0
IBC,5,20250818,145000,2.12,2.12,2.1,2.1,2651,0
IBC,5,20250818,150500,2.18,2.18,2.18,2.18,332,0
IBC,5,20250818,153000,2.11,2.11,2.06,2.06,1092,0
IBC,5,20250818,165500,2.06,2.06,2.06,2.06,1784,0
IBC,5,20250819,090000,2,2,2,2,4044,0
IBC,5,20250819,101500,1.97,1.97,1.97,1.97,659,0
IBC,5,20250819,115500,1.97,1.97,1.97,1.97,100,0
IBC,5,20250819,130000,1.97,1.97,1.97,1.97,3156,0
IBC,5,20250819,130500,1.97,2.09,1.97,2.09,2911,0
IBC,5,20250819,155500,2.12,2.12,2.12,2.12,2732,0
IBC,5,20250819,164000,2,2,2,2,1200,0
IBC,5,20250819,164500,1.97,1.97,1.97,1.97,1626,0
IBC,5,20250820,163000,2.1,2.13,2.1,2.13,129,0
IBC,5,20250820,164000,2,2,2,2,5,0
IBC,5,20250820,164500,1.97,2.13,1.97,2.13,6500,0
IBC,5,20250821,093000,2.01,2.01,2,2,100,0
IBC,5,20250821,094500,2.18,2.2,2.18,2.2,52,0
IBC,5,20250821,112000,2.2,2.22,2.2,2.22,1270,0
IBC,5,20250821,113500,2.19,2.2,2.19,2.2,100,0
IBC,5,20250821,114000,2.24,2.25,2.24,2.25,1030,0
IBC,5,20250821,114500,2.25,2.38,2.25,2.38,4381,0
IBC,5,20250821,115000,2.38,2.38,2.37,2.38,999,0
IBC,5,20250821,115500,2.31,2.37,2.3,2.37,929,0
IBC,5,20250821,123000,2.27,2.27,2.26,2.26,808,0
IBC,5,20250821,124000,2.34,2.34,2.34,2.34,4,0
IBC,5,20250821,130000,2.34,2.35,2.34,2.35,69,0
IBC,5,20250821,131000,2.35,2.35,2.35,2.35,90,0
IBC,5,20250821,134000,2.27,2.27,2.27,2.27,1270,0
IBC,5,20250821,135000,2.27,2.27,2.27,2.27,473,0
IBC,5,20250821,135500,2.27,2.27,2.27,2.27,310,0
IBC,5,20250821,142000,2.35,2.35,2.29,2.29,372,0
IBC,5,20250821,142500,2.37,2.38,2.37,2.38,13708,0
IBC,5,20250821,143000,2.41,2.41,2.4,2.4,700,0
IBC,5,20250821,144500,2.51,2.52,2.51,2.52,1749,0
IBC,5,20250821,145000,2.6,2.6,2.6,2.6,4,0
IBC,5,20250821,145500,2.6,2.72,2.41,2.41,3716,0
IBC,5,20250821,153500,2.41,2.41,2.41,2.41,1706,0
IBC,5,20250821,155500,2.5,2.5,2.5,2.5,13,0
IBC,5,20250821,162000,2.5,2.51,2.5,2.51,3981,0
IBC,5,20250821,164000,2.51,2.51,2.51,2.51,20,0
IBC,5,20250821,164500,2.51,2.64,2.51,2.64,6,0
IBC,5,20250821,165500,2.51,2.51,2.51,2.51,645,0
IBC,5,20250822,090000,2.6,2.6,2.6,2.6,5,0
