<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICG,5,20250707,090000,0.16,0.16,0.16,0.16,3611,0
ICG,5,20250707,090500,0.16,0.168,0.16,0.168,4417,0
ICG,5,20250707,091000,0.168,0.168,0.168,0.168,4500,0
ICG,5,20250707,104000,0.16,0.16,0.16,0.16,7462,0
ICG,5,20250707,112500,0.16,0.16,0.16,0.16,7738,0
ICG,5,20250707,113000,0.166,0.166,0.166,0.166,282,0
ICG,5,20250707,135000,0.156,0.156,0.15,0.15,9560,0
ICG,5,20250707,140000,0.15,0.16,0.15,0.16,15373,0
ICG,5,20250707,143000,0.15,0.15,0.15,0.15,4599,0
ICG,5,20250707,144000,0.15,0.16,0.15,0.16,2512,0
ICG,5,20250707,154000,0.15,0.15,0.15,0.15,7919,0
ICG,5,20250708,093500,0.15,0.15,0.15,0.15,7000,0
ICG,5,20250708,101500,0.16,0.16,0.16,0.16,1,0
ICG,5,20250708,103500,0.15,0.15,0.15,0.15,7100,0
ICG,5,20250709,100500,0.142,0.142,0.141,0.141,17500,0
ICG,5,20250709,101000,0.149,0.149,0.149,0.149,211,0
ICG,5,20250709,101500,0.14,0.15,0.14,0.14,4917,0
ICG,5,20250709,103000,0.15,0.15,0.15,0.15,111,0
ICG,5,20250709,113500,0.14,0.14,0.13,0.13,70193,0
ICG,5,20250709,114000,0.149,0.149,0.13,0.13,2121,0
ICG,5,20250709,114500,0.13,0.13,0.13,0.13,15254,0
ICG,5,20250709,120000,0.147,0.147,0.147,0.147,111,0
ICG,5,20250709,123500,0.147,0.147,0.147,0.147,70,0
ICG,5,20250709,133000,0.144,0.144,0.144,0.144,1000,0
ICG,5,20250709,162000,0.132,0.132,0.13,0.13,34757,0
ICG,5,20250709,163000,0.138,0.138,0.138,0.138,211,0
ICG,5,20250709,164500,0.138,0.138,0.138,0.138,750,0
ICG,5,20250710,090000,0.138,0.138,0.138,0.138,5000,0
ICG,5,20250710,094500,0.138,0.139,0.138,0.139,20401,0
ICG,5,20250710,095000,0.139,0.149,0.139,0.149,4457,0
ICG,5,20250710,120000,0.146,0.146,0.146,0.146,2000,0
ICG,5,20250710,131000,0.146,0.148,0.146,0.148,1600,0
ICG,5,20250710,131500,0.148,0.148,0.148,0.148,1500,0
ICG,5,20250710,162000,0.146,0.148,0.146,0.148,6716,0
ICG,5,20250711,090000,0.146,0.146,0.146,0.146,312,0
ICG,5,20250711,101000,0.146,0.146,0.146,0.146,100,0
ICG,5,20250711,121000,0.133,0.146,0.133,0.146,455,0
ICG,5,20250711,141000,0.15,0.15,0.15,0.15,5000,0
ICG,5,20250711,155000,0.15,0.15,0.15,0.15,100,0
ICG,5,20250711,162500,0.14,0.15,0.14,0.15,1232,0
ICG,5,20250714,090000,0.148,0.148,0.148,0.148,132,0
ICG,5,20250714,113500,0.14,0.14,0.14,0.14,5000,0
ICG,5,20250714,120500,0.148,0.148,0.148,0.148,232,0
ICG,5,20250715,090000,0.148,0.148,0.148,0.148,11101,0
ICG,5,20250715,093000,0.14,0.15,0.14,0.15,2211,0
ICG,5,20250715,094000,0.15,0.15,0.15,0.15,5200,0
ICG,5,20250715,095000,0.15,0.16,0.15,0.16,24498,0
ICG,5,20250715,095500,0.167,0.167,0.16,0.16,6000,0
ICG,5,20250715,100000,0.167,0.17,0.167,0.17,27000,0
ICG,5,20250715,100500,0.17,0.17,0.17,0.17,1000,0
ICG,5,20250715,101000,0.169,0.169,0.169,0.169,15000,0
ICG,5,20250715,103500,0.151,0.163,0.151,0.163,7819,0
ICG,5,20250715,114000,0.163,0.169,0.163,0.169,6500,0
ICG,5,20250715,130000,0.169,0.169,0.169,0.169,1882,0
ICG,5,20250715,144500,0.16,0.16,0.16,0.16,70,0
ICG,5,20250715,145000,0.169,0.169,0.169,0.169,1000,0
ICG,5,20250715,150000,0.169,0.169,0.169,0.169,4490,0
ICG,5,20250715,152500,0.169,0.169,0.169,0.169,12316,0
ICG,5,20250716,090000,0.169,0.169,0.169,0.169,211,0
ICG,5,20250716,090500,0.169,0.169,0.169,0.169,1024,0
ICG,5,20250716,103000,0.153,0.153,0.153,0.153,100,0
ICG,5,20250716,103500,0.169,0.169,0.169,0.169,111,0
ICG,5,20250716,123000,0.169,0.169,0.169,0.169,1200,0
ICG,5,20250716,124500,0.153,0.165,0.153,0.165,1499,0
ICG,5,20250716,140000,0.169,0.169,0.169,0.169,17,0
ICG,5,20250716,151500,0.16,0.16,0.16,0.16,6200,0
ICG,5,20250716,153000,0.169,0.169,0.169,0.169,343,0
ICG,5,20250716,163000,0.152,0.169,0.152,0.169,419,0
ICG,5,20250717,094500,0.151,0.169,0.15,0.169,5232,0
ICG,5,20250717,113000,0.15,0.169,0.15,0.169,7021,0
ICG,5,20250717,113500,0.15,0.168,0.15,0.168,11234,0
ICG,5,20250717,122500,0.15,0.15,0.15,0.15,7000,0
ICG,5,20250717,124500,0.148,0.148,0.148,0.148,8678,0
ICG,5,20250717,125500,0.148,0.15,0.148,0.15,11322,0
ICG,5,20250717,143000,0.16,0.16,0.16,0.16,95,0
