<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INM,5,20250707,091500,0.176,0.176,0.176,0.176,1120,0
INM,5,20250707,092000,0.176,0.176,0.176,0.176,1000,0
INM,5,20250707,103000,0.173,0.173,0.173,0.173,10000,0
INM,5,20250707,103500,0.176,0.176,0.176,0.176,10,0
INM,5,20250707,131500,0.173,0.173,0.1725,0.1725,3000,0
INM,5,20250707,134000,0.176,0.176,0.176,0.176,1,0
INM,5,20250707,143500,0.173,0.173,0.173,0.173,10000,0
INM,5,20250707,145500,0.175,0.175,0.175,0.175,1,0
INM,5,20250707,154500,0.1725,0.1725,0.1725,0.1725,1378,0
INM,5,20250707,160000,0.1755,0.1755,0.1755,0.1755,10,0
INM,5,20250707,164500,0.1725,0.1755,0.1715,0.1715,71784,0
INM,5,20250708,090000,0.175,0.175,0.175,0.175,1,0
INM,5,20250708,100500,0.175,0.175,0.175,0.175,5000,0
INM,5,20250708,122500,0.1715,0.1715,0.1715,0.1715,11443,0
INM,5,20250708,130000,0.1715,0.1715,0.1715,0.1715,1800,0
INM,5,20250708,132500,0.1725,0.1725,0.1725,0.1725,1,0
INM,5,20250708,134000,0.1715,0.1715,0.171,0.171,9964,0
INM,5,20250708,142000,0.1725,0.1725,0.1725,0.1725,10,0
INM,5,20250708,143500,0.1725,0.175,0.1725,0.175,9840,0
INM,5,20250708,152500,0.171,0.171,0.171,0.171,1000,0
INM,5,20250708,153500,0.1715,0.1745,0.171,0.1745,135,0
INM,5,20250709,100000,0.172,0.172,0.172,0.172,632,0
INM,5,20250709,101000,0.172,0.172,0.171,0.171,14288,0
INM,5,20250709,101500,0.171,0.171,0.171,0.171,712,0
INM,5,20250709,103500,0.174,0.174,0.174,0.174,1,0
INM,5,20250709,115000,0.171,0.171,0.17,0.17,29999,0
INM,5,20250709,123000,0.174,0.174,0.174,0.174,1,0
INM,5,20250709,132000,0.174,0.1755,0.174,0.1755,66000,0
INM,5,20250709,142000,0.175,0.175,0.175,0.175,10000,0
INM,5,20250709,142500,0.1755,0.1755,0.1755,0.1755,19900,0
INM,5,20250709,143500,0.1755,0.1755,0.1755,0.1755,54,0
INM,5,20250709,150500,0.173,0.176,0.173,0.176,2142,0
INM,5,20250709,160000,0.175,0.175,0.173,0.173,16900,0
INM,5,20250709,162000,0.176,0.176,0.176,0.176,1,0
INM,5,20250709,164500,0.174,0.176,0.173,0.176,25001,0
INM,5,20250710,090000,0.1775,0.1775,0.1775,0.1775,50000,0
INM,5,20250710,091000,0.172,0.172,0.172,0.172,5000,0
INM,5,20250710,095500,0.1775,0.1775,0.1775,0.1775,10,0
INM,5,20250710,101000,0.1775,0.1775,0.1775,0.1775,6500,0
INM,5,20250710,113000,0.174,0.1775,0.174,0.1775,6599,0
INM,5,20250710,121500,0.174,0.174,0.174,0.174,8402,0
INM,5,20250710,130500,0.1735,0.1735,0.1735,0.1735,6728,0
INM,5,20250710,131500,0.1745,0.1745,0.1745,0.1745,100,0
INM,5,20250710,142500,0.1735,0.1735,0.1735,0.1735,1724,0
INM,5,20250710,143500,0.1745,0.1745,0.1745,0.1745,1,0
INM,5,20250710,144000,0.1735,0.1735,0.1725,0.1725,9840,0
INM,5,20250710,144500,0.1745,0.1745,0.1745,0.1745,100,0
INM,5,20250710,145000,0.1745,0.1745,0.1745,0.1745,1600,0
INM,5,20250710,150000,0.1745,0.178,0.1745,0.178,13966,0
INM,5,20250710,150500,0.178,0.178,0.178,0.178,6034,0
INM,5,20250710,160500,0.1725,0.177,0.1725,0.177,695,0
