<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
K2P,5,20250707,091500,0.97,0.97,0.97,0.97,12,0
K2P,5,20250708,093000,0.974,0.974,0.974,0.974,25,0
K2P,5,20250709,092500,0.968,0.968,0.968,0.968,7,0
K2P,5,20250710,092000,0.914,0.914,0.914,0.914,200,0
K2P,5,20250710,151500,0.914,0.914,0.914,0.914,220,0
K2P,5,20250710,164500,0.954,0.954,0.954,0.954,122,0
K2P,5,20250711,092500,0.954,0.954,0.954,0.954,18,0
K2P,5,20250711,105500,0.956,0.956,0.956,0.956,50,0
K2P,5,20250714,093000,0.958,0.958,0.958,0.958,25,0
K2P,5,20250714,103500,0.956,0.956,0.956,0.956,100,0
K2P,5,20250714,114000,0.956,0.956,0.956,0.956,23,0
K2P,5,20250714,155000,0.954,0.956,0.954,0.956,1595,0
K2P,5,20250715,090000,0.96,0.96,0.96,0.96,50,0
K2P,5,20250716,090000,0.92,0.92,0.92,0.92,510,0
K2P,5,20250716,102500,0.92,0.92,0.92,0.92,50,0
K2P,5,20250716,154500,0.918,0.918,0.918,0.918,108,0
K2P,5,20250717,094000,0.92,0.92,0.92,0.92,25,0
K2P,5,20250717,101000,0.92,0.92,0.92,0.92,20,0
K2P,5,20250718,090500,0.918,0.918,0.918,0.918,892,0
K2P,5,20250723,113500,0.916,0.95,0.916,0.95,215,0
K2P,5,20250723,155000,0.98,0.98,0.98,0.98,785,0
K2P,5,20250724,114500,0.98,0.98,0.98,0.98,11,0
K2P,5,20250725,101500,0.98,0.98,0.98,0.98,11,0
K2P,5,20250725,125000,0.97,0.97,0.97,0.97,50,0
K2P,5,20250728,151500,0.968,0.98,0.968,0.98,1861,0
K2P,5,20250730,092500,1,1,1,1,25,0
K2P,5,20250731,092000,1,1,1,1,15,0
K2P,5,20250731,133000,0.998,1.01,0.998,1.01,1933,0
K2P,5,20250731,133500,1.05,1.09,1.05,1.09,200,0
K2P,5,20250731,134000,1.13,1.14,1.13,1.14,1790,0
K2P,5,20250731,134500,1.17,1.19,0.92,0.922,530,0
K2P,5,20250731,135000,0.92,0.92,0.92,0.92,52,0
K2P,5,20250731,142500,1.13,1.13,1.13,1.13,10,0
K2P,5,20250731,150500,1.17,1.17,1.17,1.17,577,0
K2P,5,20250731,162500,1.17,1.17,1.17,1.17,90,0
K2P,5,20250801,090000,1.17,1.17,1.17,1.17,200,0
K2P,5,20250801,092500,1.17,1.17,1.17,1.17,15,0
K2P,5,20250801,094500,1.06,1.06,1.05,1.05,23,0
K2P,5,20250801,164500,1.14,1.14,1.14,1.14,13,0
K2P,5,20250804,090000,1.14,1.14,1.14,1.14,25,0
K2P,5,20250805,120500,1.05,1.05,1,1.05,50,0
K2P,5,20250805,141000,1.02,1.02,1.02,1.02,15,0
K2P,5,20250805,165500,1.15,1.15,1.15,1.15,50,0
K2P,5,20250808,092500,1.04,1.05,1,1,147,0
K2P,5,20250808,093000,1.04,1.14,1.04,1.14,500,0
K2P,5,20250811,091500,1.14,1.14,1.14,1.14,15,0
K2P,5,20250812,092000,1.14,1.14,1.14,1.14,15,0
K2P,5,20250812,152500,1.03,1.03,0.93,0.93,1720,0
K2P,5,20250812,154000,0.854,0.854,0.854,0.854,3280,0
K2P,5,20250812,164500,0.888,0.888,0.888,0.888,1500,0
K2P,5,20250813,090000,0.914,0.914,0.914,0.914,1121,0
K2P,5,20250813,121000,0.96,1,0.96,1,1560,0
K2P,5,20250814,090000,1,1.06,1,1.06,404,0
K2P,5,20250818,090000,1.06,1.075,1.06,1.06,129,0
K2P,5,20250818,090500,1,1,1,1,19,0
K2P,5,20250818,100500,1,1,0.93,0.93,400,0
K2P,5,20250818,144500,0.92,0.92,0.91,0.91,1500,0
K2P,5,20250818,165500,1,1,1,1,102,0
K2P,5,20250820,090000,0.98,1,0.98,1,115,0
K2P,5,20250820,090500,1,1,1,1,121,0
K2P,5,20250820,123000,0.93,0.93,0.9,0.9,703,0
K2P,5,20250821,095500,0.95,1.03,0.95,1.03,325,0
K2P,5,20250821,105500,1.01,1.01,1.01,1.01,12,0
K2P,5,20250821,115000,1.01,1.01,1.01,1.01,34,0
K2P,5,20250821,144000,1.01,1.01,1.01,1.01,10,0
K2P,5,20250821,160500,1.01,1.01,1.01,1.01,10,0
K2P,5,20250822,094500,1,1,1,1,25,0
K2P,5,20250822,095000,0.95,0.95,0.9,0.9,691,0
K2P,5,20250822,100000,0.89,0.89,0.89,0.89,4019,0
K2P,5,20250822,115000,0.96,0.96,0.96,0.96,220,0
K2P,5,20250825,094000,0.96,0.96,0.96,0.96,50,0
K2P,5,20250826,092000,0.96,0.96,0.96,0.96,25,0
K2P,5,20250826,164000,0.9,0.9,0.9,0.9,50,0
K2P,5,20250827,092500,0.93,0.94,0.93,0.94,101,0
K2P,5,20250827,110000,0.938,0.938,0.938,0.938,300,0
K2P,5,20250828,092000,0.936,0.938,0.936,0.938,186,0
K2P,5,20250828,143000,0.9,0.9,0.85,0.85,342,0
K2P,5,20250828,144000,0.84,0.84,0.83,0.83,165,0
K2P,5,20250828,150000,0.83,0.83,0.83,0.83,7,0
K2P,5,20250828,153000,0.85,0.85,0.83,0.83,308,0
K2P,5,20250829,110500,0.92,0.93,0.92,0.92,28,0
K2P,5,20250829,150500,0.93,0.93,0.93,0.93,500,0
K2P,5,20250904,114500,0.83,0.83,0.8,0.8,1465,0
K2P,5,20250904,121500,0.9,0.9,0.9,0.9,100,0
K2P,5,20250905,162500,0.91,0.91,0.91,0.91,1,0
K2P,5,20250905,164500,0.91,0.91,0.91,0.91,124,0
K2P,5,20250911,164500,0.91,0.91,0.91,0.91,100,0
K2P,5,20250912,094000,0.93,0.93,0.93,0.93,100,0
K2P,5,20250912,094500,0.89,0.89,0.89,0.89,100,0
K2P,5,20250912,095000,0.93,0.93,0.93,0.93,1,0
K2P,5,20250915,091000,0.92,0.93,0.92,0.93,60,0
K2P,5,20250915,100500,0.93,0.946,0.93,0.946,530,0
K2P,5,20250915,115500,0.944,0.944,0.944,0.944,50,0
K2P,5,20250915,120500,0.944,0.944,0.944,0.944,1,0
K2P,5,20250915,121500,0.944,0.946,0.944,0.946,85,0
K2P,5,20250915,122500,0.946,0.99,0.946,0.99,1596,0
K2P,5,20250915,123000,1,1.08,1,1.08,2424,0
K2P,5,20250915,125500,0.98,0.98,0.92,0.94,220,0
K2P,5,20250915,133000,1.08,1.08,1.08,1.08,1,0
K2P,5,20250916,095500,1.04,1.04,1.04,1.04,4,0
K2P,5,20250916,113500,1.04,1.04,1.04,1.04,6,0
K2P,5,20250916,114000,1.07,1.07,1.07,1.07,1,0
K2P,5,20250916,154500,0.96,0.96,0.96,0.96,10,0
K2P,5,20250916,161500,1.07,1.07,1.07,1.07,5,0
K2P,5,20250917,094000,1.07,1.07,1.07,1.07,25,0
K2P,5,20250917,163000,0.94,0.95,0.94,0.95,60,0
K2P,5,20250917,164000,1.04,1.045,1.04,1.045,111,0
K2P,5,20250918,105000,1.06,1.06,1.06,1.06,10,0
K2P,5,20250918,131000,1,1,1,1,10,0
K2P,5,20250918,132000,1.06,1.06,1.06,1.06,10,0
K2P,5,20250919,092500,1.055,1.055,1.055,1.055,20,0
K2P,5,20250922,120500,1.035,1.035,1.035,1.035,25,0
