<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KME,5,20250707,110000,0.47,0.47,0.47,0.47,100,0
KME,5,20250710,110000,0.458,0.458,0.458,0.458,50,0
KME,5,20250715,110000,0.45,0.45,0.45,0.45,20,0
KME,5,20250715,112500,0.45,0.45,0.45,0.45,5000,0
KME,5,20250715,150000,0.45,0.45,0.45,0.45,10000,0
KME,5,20250722,110000,0.41,0.41,0.41,0.41,100,0
KME,5,20250723,150000,0.44,0.44,0.44,0.44,1,0
KME,5,20250724,110000,0.44,0.44,0.44,0.44,50,0
KME,5,20250724,150000,0.44,0.44,0.44,0.44,904,0
KME,5,20250725,150000,0.44,0.44,0.44,0.44,50,0
KME,5,20250729,110000,0.44,0.44,0.44,0.44,7825,0
KME,5,20250729,150000,0.44,0.44,0.44,0.44,4175,0
KME,5,20250730,110000,0.44,0.44,0.44,0.44,50,0
KME,5,20250801,110000,0.44,0.44,0.44,0.44,50,0
KME,5,20250801,150000,0.44,0.44,0.44,0.44,23504,0
KME,5,20250804,110000,0.44,0.44,0.44,0.44,1496,0
KME,5,20250804,150000,0.47,0.47,0.47,0.47,1,0
KME,5,20250805,110000,0.47,0.47,0.47,0.47,50,0
KME,5,20250806,110000,0.47,0.47,0.47,0.47,50,0
KME,5,20250812,110000,0.47,0.47,0.47,0.47,10,0
KME,5,20250813,110000,0.47,0.47,0.47,0.47,10,0
KME,5,20250814,110000,0.46,0.46,0.46,0.46,10,0
KME,5,20250814,150000,0.43,0.43,0.43,0.43,1163,0
KME,5,20250814,150500,0.43,0.43,0.43,0.43,450,0
KME,5,20250818,110000,0.43,0.43,0.43,0.43,10,0
KME,5,20250818,112500,0.43,0.43,0.43,0.43,3333,0
KME,5,20250819,110000,0.43,0.43,0.43,0.43,10,0
KME,5,20250819,150000,0.46,0.46,0.46,0.46,35,0
KME,5,20250820,110000,0.46,0.46,0.46,0.46,1,0
KME,5,20250820,150000,0.41,0.41,0.41,0.41,3333,0
KME,5,20250821,110000,0.41,0.41,0.41,0.41,9899,0
KME,5,20250821,112500,0.41,0.41,0.41,0.41,724,0
KME,5,20250821,150000,0.448,0.448,0.448,0.448,6,0
KME,5,20250822,110000,0.448,0.448,0.448,0.448,10,0
KME,5,20250825,110000,0.446,0.446,0.446,0.446,50,0
KME,5,20250825,150000,0.4,0.4,0.4,0.4,11250,0
KME,5,20250825,150500,0.4,0.4,0.4,0.4,500,0
KME,5,20250827,110000,0.4,0.4,0.4,0.4,150,0
KME,5,20250829,110000,0.418,0.418,0.418,0.418,50,0
KME,5,20250901,110000,0.418,0.418,0.418,0.418,50,0
KME,5,20250903,110000,0.418,0.418,0.418,0.418,50,0
KME,5,20250905,110000,0.4,0.4,0.4,0.4,50,0
KME,5,20250908,110000,0.4,0.4,0.4,0.4,2346,0
KME,5,20250908,111500,0.4,0.4,0.4,0.4,1154,0
KME,5,20250909,110000,0.37,0.37,0.37,0.37,10000,0
KME,5,20250909,150000,0.36,0.36,0.36,0.36,200,0
KME,5,20250910,110000,0.316,0.316,0.316,0.316,8000,0
KME,5,20250910,150000,0.36,0.36,0.36,0.36,3244,0
KME,5,20250910,151000,0.36,0.36,0.36,0.36,3408,0
KME,5,20250911,110000,0.398,0.398,0.398,0.398,1,0
KME,5,20250912,110000,0.36,0.36,0.36,0.36,4582,0
KME,5,20250912,110500,0.36,0.36,0.36,0.36,550,0
KME,5,20250912,150000,0.36,0.36,0.36,0.36,10000,0
KME,5,20250915,110000,0.398,0.398,0.398,0.398,1999,0
KME,5,20250915,111000,0.398,0.398,0.398,0.398,1,0
KME,5,20250916,110000,0.4,0.4,0.4,0.4,50,0
KME,5,20250918,150000,0.4,0.4,0.4,0.4,50,0
KME,5,20250919,150000,0.4,0.4,0.4,0.4,1,0
KME,5,20250922,110000,0.338,0.338,0.338,0.338,6898,0
KME,5,20250922,150000,0.394,0.394,0.394,0.394,1234,0
KME,5,20250923,110000,0.34,0.34,0.34,0.34,2468,0
KME,5,20250923,150000,0.392,0.392,0.392,0.392,1500,0
KME,5,20250924,110000,0.394,0.394,0.394,0.394,791,0
KME,5,20250925,110000,0.398,0.398,0.398,0.398,50,0
KME,5,20250926,110000,0.398,0.398,0.398,0.398,50,0
KME,5,20250929,110000,0.392,0.392,0.392,0.392,50,0
KME,5,20250929,150000,0.396,0.396,0.396,0.396,1,0
KME,5,20250930,110000,0.39,0.39,0.39,0.39,50,0
KME,5,20251001,090000,0.382,0.382,0.382,0.382,50,0
KME,5,20251002,090000,0.336,0.336,0.336,0.336,5000,0
KME,5,20251002,113000,0.336,0.336,0.336,0.336,1000,0
KME,5,20251002,131000,0.336,0.336,0.336,0.336,2100,0
KME,5,20251002,131500,0.336,0.336,0.336,0.336,1473,0
KME,5,20251002,163500,0.336,0.336,0.336,0.336,65,0
KME,5,20251003,090000,0.336,0.336,0.336,0.336,50,0
KME,5,20251003,110500,0.336,0.336,0.336,0.336,998,0
KME,5,20251006,090000,0.31,0.31,0.31,0.31,4139,0
KME,5,20251006,104500,0.35,0.35,0.35,0.35,1,0
KME,5,20251007,090500,0.348,0.348,0.348,0.348,50,0
KME,5,20251008,090000,0.364,0.364,0.364,0.364,50,0
KME,5,20251008,145500,0.34,0.38,0.296,0.296,17425,0
KME,5,20251009,090000,0.302,0.302,0.302,0.302,1672,0
KME,5,20251009,164500,0.346,0.346,0.346,0.346,2,0
KME,5,20251010,093500,0.358,0.358,0.358,0.358,50,0
KME,5,20251013,090000,0.368,0.368,0.368,0.368,50,0
KME,5,20251013,095500,0.296,0.296,0.296,0.296,10,0
KME,5,20251013,124500,0.34,0.34,0.34,0.34,2087,0
KME,5,20251013,164500,0.4,0.4,0.4,0.4,5,0
KME,5,20251014,090000,0.398,0.398,0.33,0.33,1237,0
KME,5,20251014,095000,0.33,0.33,0.33,0.33,1150,0
KME,5,20251014,113500,0.33,0.33,0.33,0.33,71,0
KME,5,20251014,114000,0.33,0.33,0.33,0.33,2500,0
KME,5,20251014,115000,0.368,0.376,0.368,0.37,2100,0
KME,5,20251014,164500,0.33,0.33,0.33,0.33,2884,0
KME,5,20251015,090500,0.33,0.33,0.33,0.33,4697,0
KME,5,20251015,094500,0.33,0.33,0.33,0.33,1909,0
KME,5,20251015,103000,0.33,0.33,0.33,0.33,509,0
KME,5,20251015,122500,0.33,0.33,0.3,0.3,2210,0
KME,5,20251015,131000,0.312,0.312,0.312,0.312,2730,0
KME,5,20251015,132500,0.302,0.302,0.302,0.302,3185,0
KME,5,20251015,133000,0.302,0.302,0.3,0.3,2210,0
KME,5,20251015,135000,0.3,0.3,0.3,0.3,210,0
KME,5,20251015,140000,0.3,0.3,0.3,0.3,1500,0
KME,5,20251015,142000,0.296,0.296,0.296,0.296,4990,0
KME,5,20251015,164500,0.31,0.31,0.31,0.31,2,0
KME,5,20251016,090000,0.27,0.27,0.27,0.27,20468,0
KME,5,20251016,104000,0.27,0.27,0.27,0.27,3250,0
KME,5,20251016,121500,0.26,0.26,0.26,0.26,2718,0
KME,5,20251016,131000,0.26,0.26,0.26,0.26,1903,0
KME,5,20251016,131500,0.26,0.26,0.26,0.26,2673,0
KME,5,20251016,133500,0.26,0.26,0.26,0.26,1300,0
KME,5,20251016,134000,0.26,0.26,0.26,0.26,1600,0
KME,5,20251016,134500,0.26,0.26,0.26,0.26,1046,0
KME,5,20251016,152500,0.25,0.25,0.25,0.25,2512,0
KME,5,20251016,153500,0.25,0.25,0.25,0.25,732,0
KME,5,20251016,154000,0.25,0.25,0.25,0.25,1040,0
KME,5,20251016,164500,0.286,0.286,0.286,0.286,1051,0
KME,5,20251017,090000,0.284,0.284,0.284,0.284,50,0
KME,5,20251020,090000,0.252,0.252,0.25,0.25,8732,0
KME,5,20251020,105500,0.25,0.25,0.25,0.25,8030,0
KME,5,20251020,122500,0.24,0.24,0.24,0.24,12000,0
KME,5,20251020,123000,0.25,0.25,0.25,0.25,2804,0
KME,5,20251020,130000,0.24,0.24,0.24,0.24,451,0
KME,5,20251020,150500,0.23,0.23,0.23,0.23,1050,0
KME,5,20251020,153000,0.222,0.222,0.222,0.222,8430,0
KME,5,20251020,153500,0.23,0.23,0.23,0.23,2300,0
KME,5,20251020,154000,0.23,0.23,0.23,0.23,1879,0
KME,5,20251020,160000,0.224,0.224,0.222,0.222,2974,0
KME,5,20251020,164500,0.248,0.248,0.248,0.248,2,0
