<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KPI,5,20250708,110000,2,2,2,2,1000,0
KPI,5,20250709,091000,2,2,1.98,1.98,2463,0
KPI,5,20250709,101000,1.98,2.02,1.98,2.02,87,0
KPI,5,20250709,105000,1.79,1.79,1.79,1.79,87,0
KPI,5,20250709,111000,1.99,1.99,1.99,1.99,1,0
KPI,5,20250709,150500,1.99,1.99,1.99,1.99,536,0
KPI,5,20250709,164500,2,2,2,2,214,0
KPI,5,20250710,090000,2,2,2,2,1766,0
KPI,5,20250710,091000,2.08,2.08,2.08,2.08,3,0
KPI,5,20250710,095000,2.08,2.08,2.08,2.08,400,0
KPI,5,20250714,112500,2.02,2.08,2.02,2.08,1000,0
KPI,5,20250717,091000,1.99,1.99,1.99,1.99,1736,0
KPI,5,20250717,104500,2,2,2,2,1000,0
KPI,5,20250717,105000,1.99,1.99,1.99,1.99,1006,0
KPI,5,20250717,153500,2,2,2,2,330,0
KPI,5,20250721,092000,2,2.06,2,2.06,1000,0
KPI,5,20250721,095500,1.99,1.99,1.99,1.99,1000,0
KPI,5,20250724,091500,2,2,2,2,1000,0
KPI,5,20250724,093500,2.06,2.06,2.06,2.06,1,0
KPI,5,20250724,111500,1.99,1.99,1.99,1.99,1000,0
KPI,5,20250725,090000,2,2,2,2,80,0
KPI,5,20250728,123000,1.99,1.99,1.99,1.99,674,0
KPI,5,20250729,104000,2,2,2,2,1000,0
KPI,5,20250729,111500,1.99,1.99,1.99,1.99,80,0
KPI,5,20250729,130000,2.08,2.08,2.08,2.08,1,0
KPI,5,20250729,143500,1.99,1.99,1.99,1.99,862,0
KPI,5,20250730,100500,1.99,1.99,1.99,1.99,153,0
KPI,5,20250731,140000,1.91,1.91,1.91,1.91,415,0
KPI,5,20250731,150500,1.98,2,1.98,2,1153,0
KPI,5,20250801,090000,2,2,2,2,1262,0
KPI,5,20250801,115000,2,2,2,2,738,0
KPI,5,20250804,095000,1.99,1.99,1.99,1.99,1006,0
KPI,5,20250804,161000,2,2.06,1.99,2.06,2427,0
KPI,5,20250806,135500,1.99,1.99,1.99,1.99,1006,0
KPI,5,20250807,130000,2,2,2,2,163,0
KPI,5,20250807,131000,2,2,2,2,1000,0
KPI,5,20250807,132500,1.9,1.9,1.9,1.9,1000,0
KPI,5,20250807,153000,1.91,1.99,1.91,1.97,2001,0
KPI,5,20250807,154000,1.96,2,1.96,2,2000,0
KPI,5,20250807,154500,1.98,1.98,1.98,1.98,1000,0
KPI,5,20250807,164500,2.02,2.02,2.02,2.02,1,0
KPI,5,20250811,114000,2.04,2.06,2.04,2.06,1700,0
KPI,5,20250811,162000,2.02,2.02,2.02,2.02,3570,0
KPI,5,20250811,164500,2.06,2.06,2.06,2.06,1,0
KPI,5,20250813,090000,2.02,2.02,2.02,2.02,1000,0
KPI,5,20250813,164500,2.06,2.06,2.06,2.06,1,0
KPI,5,20250814,111000,2.04,2.04,2.04,2.04,385,0
KPI,5,20250814,111500,2.08,2.08,2.08,2.08,615,0
KPI,5,20250814,121000,2.1,2.1,2.08,2.08,390,0
KPI,5,20250818,103500,2.02,2.02,2.02,2.02,2000,0
KPI,5,20250818,104500,2.1,2.1,2.1,2.1,230,0
KPI,5,20250818,114500,2.02,2.02,2.02,2.02,1000,0
KPI,5,20250818,122000,1.98,1.98,1.98,1.98,2000,0
KPI,5,20250818,165500,2.02,2.02,2.02,2.02,1,0
KPI,5,20250819,090000,1.96,1.96,1.96,1.96,163,0
KPI,5,20250819,164000,1.97,1.97,1.96,1.96,1000,0
KPI,5,20250819,164500,2.02,2.02,2.02,2.02,1,0
KPI,5,20250826,110500,2,2,2,2,1000,0
KPI,5,20250826,111500,1.99,2.08,1.99,2.08,1011,0
KPI,5,20250826,140500,2,2,2,2,7,0
KPI,5,20250828,121500,1.99,1.99,1.99,1.99,756,0
KPI,5,20250828,132500,1.92,1.92,1.92,1.92,1000,0
KPI,5,20250829,090000,1.9,1.9,1.9,1.9,2889,0
KPI,5,20250829,091000,1.9,1.9,1.9,1.9,2085,0
KPI,5,20250829,101000,1.91,1.91,1.91,1.91,1000,0
KPI,5,20250829,101500,1.91,1.91,1.91,1.91,53,0
KPI,5,20250829,110000,1.94,1.95,1.94,1.95,1000,0
KPI,5,20250829,110500,1.98,1.99,1.98,1.99,628,0
KPI,5,20250829,111500,1.99,1.99,1.99,1.99,370,0
KPI,5,20250829,122000,2,2,2,2,2,0
KPI,5,20250903,090500,1.91,1.91,1.9,1.9,2000,0
KPI,5,20250903,093000,1.92,1.92,1.92,1.92,653,0
KPI,5,20250903,165500,1.99,1.99,1.99,1.99,1,0
KPI,5,20250908,090000,1.9,1.9,1.9,1.9,100,0
KPI,5,20250908,100500,1.91,1.91,1.9,1.9,3000,0
KPI,5,20250908,101000,1.88,1.88,1.88,1.88,833,0
KPI,5,20250908,120000,1.88,1.99,1.88,1.99,2905,0
KPI,5,20250908,121500,1.91,1.91,1.9,1.9,1352,0
KPI,5,20250908,154500,1.9,1.9,1.9,1.9,6,0
KPI,5,20250909,120000,1.9,1.9,1.9,1.9,7,0
KPI,5,20250909,150000,1.9,1.9,1.9,1.9,188,0
KPI,5,20250911,092000,1.91,1.91,1.91,1.91,60,0
KPI,5,20250911,151500,1.91,1.91,1.91,1.91,300,0
KPI,5,20250912,153500,1.91,1.95,1.91,1.95,992,0
KPI,5,20250912,154000,1.95,1.95,1.95,1.95,8,0
KPI,5,20250912,154500,2,2,2,2,1,0
KPI,5,20250915,130000,1.99,1.99,1.99,1.99,803,0
KPI,5,20250915,131500,1.99,1.99,1.9,1.9,1314,0
KPI,5,20250915,134000,1.99,1.99,1.99,1.99,1,0
KPI,5,20250917,101500,1.99,2.08,1.99,2.08,2561,0
KPI,5,20250917,102000,2.08,2.12,1.81,2.12,3344,0
KPI,5,20250917,115500,1.99,1.99,1.99,1.99,1006,0
KPI,5,20250923,112500,1.9,1.9,1.9,1.9,444,0
KPI,5,20250923,165500,1.95,1.95,1.95,1.95,5,0
KPI,5,20250925,130500,1.86,1.86,1.86,1.86,500,0
KPI,5,20250925,150000,1.85,1.85,1.85,1.85,1000,0
KPI,5,20250925,161500,1.85,1.85,1.8,1.8,3000,0
KPI,5,20250925,163000,1.81,1.93,1.8,1.93,2000,0
KPI,5,20250929,091500,1.94,1.94,1.94,1.94,200,0
KPI,5,20250929,152000,1.83,1.83,1.83,1.83,20,0
KPI,5,20250929,164500,1.92,1.92,1.92,1.92,1,0
KPI,5,20250930,090000,1.94,1.94,1.94,1.94,6,0
KPI,5,20251002,090000,1.82,1.82,1.82,1.82,6,0
KPI,5,20251002,164500,1.94,1.94,1.94,1.94,1,0
KPI,5,20251006,101500,1.82,1.82,1.8,1.8,2000,0
KPI,5,20251006,125500,1.82,1.82,1.82,1.82,1000,0
KPI,5,20251006,163000,1.82,1.82,1.8,1.8,1000,0
KPI,5,20251006,163500,1.92,1.92,1.92,1.92,10,0
KPI,5,20251007,102000,1.8,1.8,1.8,1.8,500,0
KPI,5,20251007,164500,1.89,1.89,1.89,1.89,10,0
KPI,5,20251014,162500,1.92,1.92,1.92,1.92,10,0
KPI,5,20251015,130000,1.92,1.92,1.92,1.92,450,0
KPI,5,20251015,130500,1.92,1.92,1.92,1.92,2455,0
KPI,5,20251020,095500,1.8,1.8,1.8,1.8,500,0
KPI,5,20251020,103500,1.92,1.92,1.92,1.92,20,0
KPI,5,20251027,161000,1.8,1.8,1.62,1.62,1490,0
KPI,5,20251028,123500,1.79,1.8,1.79,1.8,1240,0
KPI,5,20251028,124000,1.83,1.83,1.83,1.83,701,0
KPI,5,20251028,125500,1.92,1.92,1.92,1.92,10,0
KPI,5,20251028,150500,1.91,1.91,1.91,1.91,76,0
KPI,5,20251029,110500,1.78,1.78,1.78,1.78,76,0
KPI,5,20251029,142500,1.91,1.91,1.91,1.91,16,0
KPI,5,20251104,101000,1.86,1.86,1.86,1.86,616,0
KPI,5,20251105,090000,1.9,1.9,1.9,1.9,10,0
KPI,5,20251105,143500,1.86,1.86,1.86,1.86,30,0
KPI,5,20251106,163000,1.78,1.78,1.78,1.78,1000,0
KPI,5,20251110,105000,1.78,1.78,1.78,1.78,413,0
KPI,5,20251113,142000,1.8,1.85,1.8,1.85,855,0
KPI,5,20251113,143000,1.85,1.85,1.85,1.85,145,0
KPI,5,20251113,150000,1.72,1.72,1.7,1.7,3000,0
KPI,5,20251113,151000,1.72,1.72,1.72,1.72,395,0
KPI,5,20251114,133000,1.74,1.74,1.74,1.74,575,0
KPI,5,20251117,102000,1.8,1.8,1.8,1.8,500,0
KPI,5,20251117,102500,1.8,1.8,1.8,1.8,500,0
KPI,5,20251117,153500,1.84,1.84,1.84,1.84,10,0
KPI,5,20251118,120500,1.84,1.84,1.84,1.84,345,0
KPI,5,20251118,121000,1.85,1.85,1.85,1.85,541,0
KPI,5,20251118,143500,1.85,1.85,1.85,1.85,114,0
KPI,5,20251124,134000,1.76,1.76,1.75,1.75,1922,0
KPI,5,20251126,112500,1.64,1.64,1.62,1.63,3395,0
