<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KUB,5,20250707,092000,14.25,14.25,14.25,14.25,4,0
KUB,5,20250707,113000,14.25,14.25,14.25,14.25,60,0
KUB,5,20250708,101500,14.25,14.25,14.25,14.25,2,0
KUB,5,20250708,113500,14.2,14.2,14,14,44,0
KUB,5,20250708,144500,14,14,14,14,7,0
KUB,5,20250709,090500,14,14,14,14,7,0
KUB,5,20250709,091000,14,14,14,14,1,0
KUB,5,20250709,095000,14,14,14,14,171,0
KUB,5,20250709,151000,14,14,14,14,1,0
KUB,5,20250709,155500,13.85,13.85,13.85,13.85,217,0
KUB,5,20250709,161500,14,14,14,14,33,0
KUB,5,20250710,092000,13.8,13.8,13.8,13.8,7,0
KUB,5,20250710,102500,13.8,13.8,13.8,13.8,20,0
KUB,5,20250710,103000,13.75,13.75,13.6,13.6,45,0
KUB,5,20250710,110000,13.55,13.9,13.5,13.9,1079,0
KUB,5,20250710,131000,13.9,14,13.9,14,500,0
KUB,5,20250710,143500,13.65,13.65,13.65,13.65,1,0
KUB,5,20250711,134000,13.7,13.7,13.7,13.7,25,0
KUB,5,20250711,151500,13.9,13.9,13.9,13.9,11,0
KUB,5,20250714,095000,14,14,14,14,1,0
KUB,5,20250714,102500,13.95,14.25,13.95,14.25,550,0
KUB,5,20250714,110500,13.9,13.9,13.7,13.7,40,0
KUB,5,20250714,164500,14.3,14.3,14.3,14.3,5,0
KUB,5,20250717,092000,13.9,13.9,13.9,13.9,200,0
KUB,5,20250717,113500,13.9,13.9,13.9,13.9,5,0
KUB,5,20250717,123500,13.85,13.85,13.85,13.85,318,0
KUB,5,20250717,145000,13.85,13.85,13.85,13.85,182,0
KUB,5,20250717,162000,13.9,13.9,13.9,13.9,18,0
KUB,5,20250718,092500,14.05,14.05,14.05,14.05,5,0
KUB,5,20250718,093000,14.25,14.4,14.05,14.4,28,0
KUB,5,20250718,120500,14.15,14.2,14.15,14.2,371,0
KUB,5,20250718,123000,14.4,14.4,14.4,14.4,1,0
KUB,5,20250718,123500,14,14,14,14,70,0
KUB,5,20250718,151000,14,14,14,14,49,0
KUB,5,20250718,152000,14,14,14,14,300,0
KUB,5,20250721,091500,13.85,13.85,13.85,13.85,73,0
KUB,5,20250721,094500,13.85,13.85,13.85,13.85,219,0
KUB,5,20250721,101000,13.85,13.95,13.85,13.95,125,0
KUB,5,20250721,102000,13.95,14,13.95,14,4,0
KUB,5,20250721,134500,13.8,13.8,13.8,13.8,550,0
KUB,5,20250721,140000,14,14,14,14,1,0
KUB,5,20250721,140500,14,14,14,14,325,0
KUB,5,20250722,090000,14,14,14,14,142,0
KUB,5,20250722,150000,13.8,13.8,13.7,13.7,110,0
KUB,5,20250722,151000,14.35,14.35,14.35,14.35,1,0
KUB,5,20250723,102500,14.25,14.25,14.25,14.25,80,0
KUB,5,20250723,154000,14.25,14.25,14.25,14.25,50,0
KUB,5,20250724,091000,13.8,13.8,13.8,13.8,30,0
KUB,5,20250724,093000,14.25,14.25,14.2,14.2,8,0
KUB,5,20250724,151000,14.1,14.1,14.1,14.1,1,0
KUB,5,20250725,092000,14,14,14,14,1,0
KUB,5,20250725,093000,13.95,13.95,13.8,13.8,43,0
KUB,5,20250725,094000,13.8,14,13.8,14,260,0
KUB,5,20250725,100500,13.75,13.75,13.55,13.55,101,0
KUB,5,20250725,105000,13.55,13.55,13.05,13.05,1500,0
KUB,5,20250725,113500,14,14,13.15,13.15,121,0
KUB,5,20250725,131000,13.5,13.5,13.5,13.5,1,0
KUB,5,20250725,132500,13.9,14,13.9,14,16,0
KUB,5,20250725,164000,14,14,14,14,5,0
KUB,5,20250728,124000,14,14,14,14,2,0
KUB,5,20250728,130000,14,14,14,14,1,0
KUB,5,20250729,101000,13.8,13.8,13.8,13.8,1,0
KUB,5,20250729,143000,13.8,13.8,13.8,13.8,1,0
KUB,5,20250730,093000,13.75,13.9,13.75,13.8,515,0
KUB,5,20250730,162500,13.95,14,13.95,14,80,0
KUB,5,20250731,090000,14,14,14,14,26,0
KUB,5,20250731,093000,14,14,14,14,10,0
KUB,5,20250731,101000,14,14,14,14,75,0
KUB,5,20250731,102000,14,14.2,14,14.2,168,0
KUB,5,20250731,102500,14.25,14.25,14.25,14.25,7,0
KUB,5,20250731,103500,14.25,14.25,14.25,14.25,13,0
KUB,5,20250731,104000,14.25,14.25,14.25,14.25,97,0
KUB,5,20250731,104500,14.3,14.3,14.3,14.3,15,0
KUB,5,20250731,105500,14.3,14.3,14.3,14.3,125,0
KUB,5,20250801,104000,14.25,14.25,14.25,14.25,10,0
KUB,5,20250801,121000,14,14,14,14,1,0
KUB,5,20250801,130500,14,14,14,14,99,0
KUB,5,20250801,142500,14,14,14,14,15,0
KUB,5,20250804,120500,14,14,14,14,2,0
KUB,5,20250804,125000,14,14,14,14,750,0
KUB,5,20250804,125500,14,14,14,14,400,0
KUB,5,20250804,140000,13.85,13.85,13.8,13.8,500,0
KUB,5,20250804,141000,13.8,13.8,13.8,13.8,247,0
KUB,5,20250804,141500,13.8,13.8,13.8,13.8,3,0
KUB,5,20250804,162500,13.75,13.8,13.75,13.8,120,0
KUB,5,20250805,141000,13.95,13.95,13.95,13.95,40,0
KUB,5,20250805,141500,14.1,14.15,14.1,14.15,11,0
KUB,5,20250806,091500,14.15,14.15,14.15,14.15,2,0
KUB,5,20250807,102000,14.1,14.1,14.1,14.1,7,0
KUB,5,20250807,103000,14.1,14.1,14.1,14.1,5,0
KUB,5,20250807,103500,14.15,14.7,14.15,14.7,202,0
KUB,5,20250807,115500,14.7,14.8,14.7,14.8,4,0
KUB,5,20250807,125000,14.4,14.4,14.4,14.4,251,0
KUB,5,20250807,132000,14.3,14.3,14.3,14.3,200,0
KUB,5,20250807,135500,14.25,14.25,14.25,14.25,3,0
