<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LET,5,20250707,093500,1,1,1,1,240,0
LET,5,20250707,135500,1.1,1.1,1.1,1.1,600,0
LET,5,20250707,155000,1,1,1,1,654,0
LET,5,20250708,161500,1.1,1.1,1.1,1.1,100,0
LET,5,20250717,142500,1,1,1,1,100,0
LET,5,20250717,145000,1,1,1,1,230,0
LET,5,20250717,163500,1.08,1.08,1.08,1.08,100,0
LET,5,20250718,154500,1.1,1.1,1.1,1.1,200,0
LET,5,20250718,161500,1.1,1.1,1.1,1.1,367,0
LET,5,20250721,090000,1.1,1.1,1.1,1.1,55,0
LET,5,20250721,101500,1.1,1.1,1.1,1.1,348,0
LET,5,20250722,110500,0.96,0.96,0.96,0.96,312,0
LET,5,20250723,131500,1.11,1.11,1.11,1.11,100,0
LET,5,20250801,102000,1.1,1.1,1.1,1.1,920,0
LET,5,20250806,151500,1.02,1.02,1.02,1.02,1,0
LET,5,20250808,121000,1.1,1.1,1.1,1.1,100,0
LET,5,20250818,090000,1.02,1.02,1.02,1.02,300,0
LET,5,20250818,133000,1.02,1.02,1.02,1.02,3,0
LET,5,20250818,150500,1.02,1.02,1.02,1.02,392,0
LET,5,20250819,143000,1.02,1.02,1.02,1.02,109,0
LET,5,20250819,143500,1.02,1.02,1.02,1.02,177,0
LET,5,20250820,125500,1.02,1.02,1.02,1.02,300,0
LET,5,20250821,090000,1.02,1.02,1.02,1.02,223,0
LET,5,20250821,141000,1.02,1.02,1.02,1.02,3,0
LET,5,20250822,105000,1.1,1.1,1.1,1.1,1,0
LET,5,20250822,153000,1.1,1.1,1.1,1.1,5,0
LET,5,20250826,090000,1.1,1.1,1.1,1.1,1,0
LET,5,20250902,091500,1,1,1,1,450,0
LET,5,20250903,132000,1.08,1.08,1.08,1.08,1,0
LET,5,20250904,125500,1,1,1,1,54,0
LET,5,20250904,144500,1,1,1,1,145,0
LET,5,20250905,111000,1,1,1,1,10,0
LET,5,20250908,090000,1,1,1,1,200,0
LET,5,20250908,101500,1,1,1,1,145,0
LET,5,20250908,110000,1.04,1.04,1.04,1.04,5,0
LET,5,20250908,112000,1.04,1.04,1.04,1.04,34,0
LET,5,20250910,090500,0.96,0.96,0.96,0.96,4,0
LET,5,20250910,134000,1.08,1.08,1.08,1.08,1,0
LET,5,20250911,090000,1.08,1.08,1.08,1.08,4,0
LET,5,20250912,121500,0.96,0.96,0.96,0.96,111,0
LET,5,20250912,154000,1.09,1.09,1.09,1.09,10,0
LET,5,20250912,161500,1.09,1.1,1.09,1.1,2034,0
LET,5,20250912,164500,1.1,1.1,1.1,1.1,5,0
LET,5,20250916,163500,1.09,1.09,1.09,1.09,5,0
LET,5,20250917,111000,1.09,1.09,1.09,1.09,5,0
LET,5,20250918,122000,1.09,1.09,1.09,1.09,30,0
LET,5,20250919,164500,1.09,1.09,1.09,1.09,1,0
LET,5,20250922,155500,1.09,1.09,1.09,1.09,4,0
LET,5,20250923,131500,1.09,1.09,1.09,1.09,1,0
LET,5,20250923,134500,0.96,0.96,0.96,0.96,1000,0
LET,5,20250923,140500,1.09,1.09,1.09,1.09,5,0
LET,5,20250926,114000,1.09,1.09,1.09,1.09,1,0
LET,5,20250929,133000,1.08,1.08,1.08,1.08,3,0
LET,5,20250929,155000,1.08,1.09,1.08,1.09,214,0
LET,5,20250930,152500,1.09,1.09,1.09,1.09,90,0
LET,5,20250930,163000,1.09,1.09,1.09,1.09,50,0
LET,5,20251001,102500,1.09,1.09,1.09,1.09,250,0
LET,5,20251002,090000,1.09,1.09,1.09,1.09,50,0
LET,5,20251002,104000,1,1,1,1,220,0
LET,5,20251002,114000,1,1,1,1,1000,0
LET,5,20251002,135000,1.09,1.09,1.09,1.09,50,0
LET,5,20251003,090000,1,1,1,1,64,0
LET,5,20251003,112000,1.09,1.09,1.09,1.09,50,0
LET,5,20251003,152000,1.09,1.09,1.09,1.09,1,0
LET,5,20251003,160500,1.09,1.09,1.09,1.09,200,0
LET,5,20251006,090000,1.09,1.09,1.09,1.09,49,0
LET,5,20251006,165500,1.09,1.09,1.09,1.09,1,0
LET,5,20251007,090000,1.09,1.09,0.96,0.96,675,0
LET,5,20251007,110000,0.98,0.98,0.98,0.98,626,0
LET,5,20251007,112000,1.09,1.09,1.09,1.09,1,0
