<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LGT,5,20250707,093000,3.2,3.2,3.2,3.2,129,0
LGT,5,20250707,093500,3.28,3.28,3.28,3.28,835,0
LGT,5,20250707,094500,3.34,3.34,3.34,3.34,55,0
LGT,5,20250707,112500,3.2,3.2,3.2,3.2,1407,0
LGT,5,20250707,123000,3.18,3.18,3.18,3.18,631,0
LGT,5,20250707,164500,3.24,3.24,3.24,3.24,100,0
LGT,5,20250708,093500,3.26,3.26,3.26,3.26,60,0
LGT,5,20250708,155000,3.26,3.28,3.26,3.28,300,0
LGT,5,20250708,163000,3.28,3.32,3.28,3.32,453,0
LGT,5,20250708,164500,3.32,3.38,3.32,3.38,603,0
LGT,5,20250709,111000,3.16,3.16,3.16,3.16,635,0
LGT,5,20250710,090000,3.18,3.18,3.18,3.18,13,0
LGT,5,20250710,114000,3.1,3.1,3.1,3.1,350,0
LGT,5,20250710,163500,3.1,3.1,3.1,3.1,325,0
LGT,5,20250710,164500,3.18,3.28,3.18,3.28,650,0
LGT,5,20250711,112000,3.28,3.28,3.28,3.28,4,0
LGT,5,20250717,092500,3.16,3.16,3.16,3.16,633,0
LGT,5,20250717,101500,3.26,3.28,3.26,3.28,1115,0
LGT,5,20250717,110500,3.28,3.28,3.28,3.28,367,0
LGT,5,20250717,132500,3.26,3.26,3.18,3.18,2000,0
LGT,5,20250717,133000,3.28,3.34,3.28,3.34,600,0
LGT,5,20250717,134000,3.34,3.48,3.34,3.38,1195,0
LGT,5,20250717,155000,3.38,3.38,3.38,3.38,197,0
LGT,5,20250718,090000,3.3,3.3,3.3,3.3,500,0
LGT,5,20250718,094000,3.38,3.38,3.38,3.38,1,0
LGT,5,20250718,102500,3.38,3.38,3.38,3.38,63,0
LGT,5,20250718,114500,3.38,3.38,3.38,3.38,34,0
LGT,5,20250718,125500,3.38,3.48,3.38,3.48,300,0
LGT,5,20250718,133000,3.48,3.48,3.48,3.48,28,0
LGT,5,20250718,134500,3.48,3.48,3.48,3.48,52,0
LGT,5,20250718,135000,3.48,3.48,3.48,3.48,27,0
LGT,5,20250718,135500,3.48,3.48,3.48,3.48,46,0
LGT,5,20250721,090500,3.48,3.48,3.48,3.48,152,0
LGT,5,20250721,091500,3.4,3.4,3.4,3.4,4,0
LGT,5,20250721,100000,3.48,3.48,3.48,3.48,33,0
LGT,5,20250721,100500,3.48,3.48,3.48,3.48,40,0
LGT,5,20250721,104000,3.48,3.48,3.48,3.48,33,0
LGT,5,20250721,123000,3.48,3.48,3.48,3.48,120,0
LGT,5,20250721,125500,3.4,3.4,2.8,2.8,4683,0
LGT,5,20250721,130000,2.8,3.4,2.8,3.4,1005,0
LGT,5,20250721,131500,3.32,3.32,3.32,3.32,86,0
LGT,5,20250721,132000,3.32,3.32,3.32,3.32,22,0
LGT,5,20250721,132500,3.2,3.2,3.2,3.2,5,0
LGT,5,20250721,133000,3.1,3.1,3,3,2629,0
LGT,5,20250721,133500,3,3.12,3,3.12,3503,0
LGT,5,20250721,150000,3,3,3,3,650,0
LGT,5,20250721,150500,3,3,3,3,14,0
LGT,5,20250721,152000,3,3,3,3,336,0
LGT,5,20250721,161500,2.98,2.98,2.98,2.98,4,0
LGT,5,20250721,162000,2.98,2.98,2.98,2.98,10,0
LGT,5,20250721,164000,2.98,2.98,2.98,2.98,4,0
LGT,5,20250721,164500,3.1,3.32,3.1,3.32,1010,0
LGT,5,20250722,091000,3.1,3.1,3.1,3.1,15,0
LGT,5,20250722,100000,2.94,2.94,2.94,2.94,638,0
LGT,5,20250722,103500,3.1,3.1,3.1,3.1,485,0
LGT,5,20250722,164500,3.3,3.3,3.3,3.3,10,0
LGT,5,20250723,132500,3.28,3.46,3.28,3.38,720,0
LGT,5,20250724,090500,3.44,3.44,3.44,3.44,5,0
LGT,5,20250724,101500,3.44,3.46,3.44,3.46,120,0
LGT,5,20250724,115000,3.3,3.3,3.3,3.3,600,0
LGT,5,20250724,152000,3.32,3.32,3.32,3.32,61,0
LGT,5,20250725,095500,3.3,3.3,3.3,3.3,5,0
LGT,5,20250725,102000,3.32,3.32,3.32,3.32,53,0
LGT,5,20250725,115500,3.3,3.3,3.3,3.3,2,0
LGT,5,20250725,145000,3.3,3.3,3.3,3.3,54,0
LGT,5,20250728,133000,3.2,3.2,3.18,3.18,197,0
LGT,5,20250728,160500,3.3,3.46,3.3,3.46,690,0
LGT,5,20250729,090500,3.46,3.46,3.46,3.46,6,0
LGT,5,20250729,152000,3.46,3.46,3.46,3.46,200,0
LGT,5,20250729,160500,3.46,3.46,3.46,3.46,4,0
LGT,5,20250730,114500,3.4,3.46,3.4,3.46,590,0
LGT,5,20250730,124000,3.46,3.54,3.46,3.54,420,0
LGT,5,20250731,142500,3.44,3.44,3.44,3.44,4,0
LGT,5,20250801,142000,3.54,3.54,3.54,3.54,100,0
LGT,5,20250804,093500,3.54,3.54,3.54,3.54,360,0
LGT,5,20250805,103000,3.48,3.48,3.48,3.48,430,0
LGT,5,20250806,142500,3.44,3.44,3.32,3.32,619,0
LGT,5,20250806,145000,3.48,3.48,3.48,3.48,10,0
LGT,5,20250811,094000,3.32,3.48,3.32,3.48,610,0
LGT,5,20250811,105500,3.48,3.48,3.48,3.48,22,0
LGT,5,20250812,111000,3.24,3.24,3.18,3.2,1351,0
LGT,5,20250812,111500,3.06,3.06,3,3,2150,0
LGT,5,20250812,114000,2.96,3,2.96,3,600,0
LGT,5,20250812,123500,3.3,3.3,3.3,3.3,100,0
LGT,5,20250813,090000,2.94,2.94,2.94,2.94,6,0
LGT,5,20250813,090500,3.28,3.28,3.28,3.28,4,0
LGT,5,20250813,133500,3.2,3.2,3.2,3.2,6,0
LGT,5,20250813,141000,3.1,3.1,3,3,10,0
