<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LXB,5,20250707,122000,0.162,0.165,0.16,0.165,20000,0
LXB,5,20250707,122500,0.165,0.166,0.165,0.166,15500,0
LXB,5,20250708,104000,0.166,0.166,0.166,0.166,100,0
LXB,5,20250708,110500,0.166,0.168,0.166,0.168,23400,0
LXB,5,20250708,152500,0.16,0.16,0.16,0.16,10,0
LXB,5,20250709,103000,0.166,0.167,0.165,0.167,4100,0
LXB,5,20250710,090000,0.167,0.167,0.167,0.167,100,0
LXB,5,20250710,090500,0.143,0.143,0.141,0.141,3000,0
LXB,5,20250710,091000,0.141,0.141,0.14,0.14,20000,0
LXB,5,20250710,092000,0.14,0.14,0.14,0.14,1975,0
LXB,5,20250710,093500,0.14,0.162,0.14,0.162,40004,0
LXB,5,20250710,094000,0.15,0.15,0.15,0.15,10,0
LXB,5,20250710,100000,0.16,0.16,0.16,0.16,1,0
LXB,5,20250710,130000,0.14,0.14,0.14,0.14,4000,0
LXB,5,20250710,132500,0.16,0.16,0.16,0.16,10,0
LXB,5,20250710,150500,0.139,0.157,0.134,0.157,18149,0
LXB,5,20250711,133000,0.148,0.148,0.148,0.148,10,0
LXB,5,20250715,090000,0.144,0.144,0.144,0.144,80,0
LXB,5,20250715,164500,0.152,0.152,0.152,0.152,19,0
LXB,5,20250721,153500,0.145,0.145,0.145,0.145,100,0
LXB,5,20250721,155500,0.133,0.133,0.122,0.122,35945,0
LXB,5,20250721,161000,0.126,0.126,0.126,0.126,17000,0
LXB,5,20250721,161500,0.124,0.124,0.124,0.124,11500,0
LXB,5,20250721,162000,0.14,0.14,0.14,0.14,1,0
LXB,5,20250721,163500,0.123,0.123,0.12,0.12,26315,0
LXB,5,20250721,164000,0.12,0.12,0.12,0.12,685,0
LXB,5,20250721,164500,0.138,0.138,0.138,0.138,1,0
LXB,5,20250722,135500,0.138,0.148,0.138,0.148,13249,0
LXB,5,20250722,140000,0.149,0.155,0.125,0.125,40905,0
LXB,5,20250722,140500,0.152,0.154,0.152,0.154,34500,0
LXB,5,20250722,142500,0.131,0.131,0.126,0.126,29000,0
LXB,5,20250722,143000,0.126,0.127,0.126,0.126,14200,0
LXB,5,20250722,143500,0.126,0.135,0.126,0.135,1301,0
LXB,5,20250722,145000,0.135,0.135,0.135,0.135,19999,0
LXB,5,20250722,150000,0.135,0.135,0.135,0.135,30000,0
LXB,5,20250722,150500,0.135,0.135,0.135,0.135,36,0
LXB,5,20250723,090000,0.135,0.135,0.135,0.135,100,0
LXB,5,20250724,090500,0.135,0.135,0.135,0.135,100,0
LXB,5,20250724,105000,0.135,0.135,0.135,0.135,24950,0
LXB,5,20250724,120000,0.135,0.135,0.135,0.135,30000,0
LXB,5,20250725,090500,0.135,0.135,0.135,0.135,100,0
LXB,5,20250725,151000,0.135,0.135,0.135,0.135,100,0
LXB,5,20250728,090000,0.135,0.135,0.135,0.135,100,0
LXB,5,20250728,112500,0.135,0.135,0.135,0.135,20000,0
LXB,5,20250728,121000,0.135,0.135,0.135,0.135,5000,0
LXB,5,20250728,141000,0.13,0.13,0.13,0.13,5000,0
LXB,5,20250728,163500,0.13,0.13,0.13,0.13,3000,0
LXB,5,20250728,165500,0.135,0.135,0.135,0.135,1,0
LXB,5,20250729,095500,0.135,0.135,0.135,0.135,100,0
LXB,5,20250729,110000,0.13,0.13,0.13,0.13,13000,0
LXB,5,20250729,112500,0.124,0.124,0.12,0.12,11364,0
LXB,5,20250729,113000,0.135,0.135,0.135,0.135,1,0
LXB,5,20250729,131000,0.12,0.15,0.11,0.15,109899,0
LXB,5,20250729,131500,0.15,0.162,0.15,0.15,169503,0
LXB,5,20250729,132000,0.153,0.162,0.143,0.157,214322,0
LXB,5,20250729,132500,0.146,0.155,0.146,0.155,90894,0
LXB,5,20250729,133500,0.153,0.153,0.153,0.153,70,0
LXB,5,20250729,134500,0.153,0.153,0.145,0.153,59977,0
LXB,5,20250729,135500,0.148,0.148,0.148,0.148,608,0
LXB,5,20250729,140500,0.148,0.15,0.148,0.15,5800,0
LXB,5,20250729,141000,0.152,0.153,0.152,0.153,20452,0
LXB,5,20250729,143000,0.149,0.149,0.149,0.149,5711,0
LXB,5,20250729,144000,0.142,0.142,0.132,0.132,44500,0
LXB,5,20250729,145000,0.135,0.144,0.134,0.144,24090,0
LXB,5,20250729,151500,0.134,0.134,0.134,0.134,2600,0
LXB,5,20250729,152000,0.134,0.134,0.134,0.134,3500,0
LXB,5,20250729,155500,0.135,0.135,0.135,0.135,7500,0
LXB,5,20250729,160000,0.135,0.138,0.132,0.138,20310,0
LXB,5,20250729,161000,0.128,0.128,0.125,0.125,12000,0
LXB,5,20250729,162000,0.132,0.132,0.132,0.132,6500,0
LXB,5,20250729,162500,0.135,0.14,0.135,0.14,4000,0
LXB,5,20250729,164500,0.138,0.138,0.138,0.138,4000,0
LXB,5,20250730,090000,0.132,0.132,0.132,0.132,6000,0
LXB,5,20250730,091000,0.13,0.13,0.13,0.13,4000,0
LXB,5,20250730,100500,0.126,0.126,0.125,0.125,38750,0
LXB,5,20250730,112500,0.125,0.125,0.125,0.125,10000,0
LXB,5,20250730,115000,0.129,0.129,0.129,0.129,1500,0
LXB,5,20250730,143500,0.128,0.128,0.128,0.128,1200,0
LXB,5,20250730,145500,0.128,0.129,0.128,0.129,19800,0
LXB,5,20250730,150000,0.131,0.131,0.131,0.131,15000,0
LXB,5,20250731,090000,0.129,0.129,0.129,0.129,100,0
LXB,5,20250731,095500,0.124,0.124,0.124,0.124,3190,0
LXB,5,20250731,161000,0.12,0.12,0.117,0.117,12068,0
LXB,5,20250731,164500,0.123,0.123,0.123,0.123,600,0
LXB,5,20250801,090000,0.123,0.123,0.123,0.123,13150,0
LXB,5,20250801,091500,0.125,0.125,0.125,0.125,10557,0
LXB,5,20250801,092000,0.127,0.127,0.125,0.127,593,0
LXB,5,20250801,093500,0.128,0.128,0.128,0.128,6643,0
LXB,5,20250801,094000,0.127,0.13,0.126,0.13,15000,0
LXB,5,20250801,104000,0.12,0.12,0.12,0.12,1500,0
LXB,5,20250801,110000,0.127,0.127,0.127,0.127,5000,0
LXB,5,20250801,110500,0.128,0.128,0.128,0.128,8748,0
LXB,5,20250801,111000,0.13,0.132,0.13,0.131,2400,0
LXB,5,20250804,121500,0.12,0.12,0.117,0.117,10000,0
LXB,5,20250804,122000,0.117,0.117,0.11,0.111,54690,0
LXB,5,20250804,122500,0.128,0.129,0.128,0.129,25005,0
LXB,5,20250804,144500,0.129,0.129,0.129,0.129,500,0
LXB,5,20250805,092000,0.13,0.13,0.13,0.13,20,0
LXB,5,20250805,150000,0.128,0.129,0.128,0.129,1000,0
LXB,5,20250805,151000,0.129,0.148,0.129,0.148,70000,0
LXB,5,20250805,151500,0.148,0.148,0.148,0.148,30000,0
LXB,5,20250806,102000,0.145,0.145,0.145,0.145,100,0
LXB,5,20250807,090000,0.145,0.145,0.145,0.145,100,0
LXB,5,20250808,090000,0.145,0.145,0.145,0.145,100,0
LXB,5,20250808,144000,0.145,0.145,0.145,0.145,4975,0
LXB,5,20250808,152000,0.126,0.143,0.126,0.143,15001,0
LXB,5,20250811,090000,0.142,0.142,0.142,0.142,100,0
LXB,5,20250811,132000,0.129,0.129,0.129,0.129,7000,0
LXB,5,20250811,132500,0.128,0.128,0.128,0.128,20000,0
LXB,5,20250812,090500,0.128,0.128,0.123,0.125,12352,0
LXB,5,20250812,093500,0.124,0.124,0.124,0.124,10400,0
LXB,5,20250812,102500,0.126,0.126,0.123,0.123,33715,0
LXB,5,20250812,104000,0.118,0.129,0.118,0.129,1286,0
LXB,5,20250813,090000,0.129,0.129,0.129,0.129,100,0
LXB,5,20250813,125000,0.123,0.123,0.116,0.117,20000,0
LXB,5,20250813,131000,0.117,0.117,0.117,0.117,5556,0
LXB,5,20250813,154000,0.117,0.117,0.116,0.117,18762,0
LXB,5,20250813,164500,0.123,0.123,0.123,0.123,1,0
LXB,5,20250814,090000,0.123,0.123,0.123,0.123,50,0
LXB,5,20250818,090000,0.123,0.123,0.123,0.123,10,0
LXB,5,20250818,154000,0.123,0.123,0.123,0.123,9107,0
LXB,5,20250818,154500,0.127,0.127,0.127,0.127,1000,0
LXB,5,20250819,090000,0.127,0.127,0.127,0.127,1000,0
LXB,5,20250820,090000,0.116,0.116,0.116,0.116,9800,0
LXB,5,20250820,090500,0.118,0.118,0.118,0.118,10000,0
LXB,5,20250820,111000,0.118,0.118,0.118,0.118,1000,0
LXB,5,20250820,115500,0.118,0.118,0.118,0.118,30000,0
LXB,5,20250820,164500,0.126,0.126,0.126,0.126,1,0
LXB,5,20250826,090000,0.126,0.13,0.126,0.13,50000,0
LXB,5,20250826,100500,0.13,0.13,0.13,0.13,400,0
LXB,5,20250826,110500,0.13,0.13,0.13,0.13,2400,0
LXB,5,20250826,113000,0.13,0.131,0.13,0.131,27088,0
LXB,5,20250826,113500,0.131,0.14,0.128,0.14,14100,0
LXB,5,20250826,122000,0.139,0.139,0.139,0.139,9709,0
LXB,5,20250826,124500,0.139,0.139,0.139,0.139,50,0
