<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
P2C,5,20250707,095500,3.78,3.78,3.78,3.78,18,0
P2C,5,20250707,112000,3.66,3.66,3.5,3.5,424,0
P2C,5,20250707,154500,3.7,3.7,3.7,3.7,5,0
P2C,5,20250708,090000,3.7,3.7,3.7,3.7,3,0
P2C,5,20250708,110500,3.7,3.7,3.5,3.5,1646,0
P2C,5,20250708,114000,3.8,3.8,3.8,3.8,5,0
P2C,5,20250709,103500,3.62,3.62,3.5,3.5,460,0
P2C,5,20250709,104000,3.44,3.44,3.42,3.42,1162,0
P2C,5,20250709,104500,3.4,3.4,3.4,3.4,100,0
P2C,5,20250709,115500,3.58,3.74,3.58,3.74,500,0
P2C,5,20250709,131500,3.66,3.72,3.66,3.72,1075,0
P2C,5,20250709,132000,3.76,3.8,3.76,3.8,230,0
P2C,5,20250709,132500,3.82,3.88,3.82,3.88,307,0
P2C,5,20250709,133000,3.88,3.88,3.88,3.88,18,0
P2C,5,20250709,150000,3.94,3.94,3.94,3.94,10,0
P2C,5,20250709,151000,3.94,3.94,3.94,3.94,5,0
P2C,5,20250709,162000,3.96,3.96,3.96,3.96,5,0
P2C,5,20250709,164500,4,4,4,4,1000,0
P2C,5,20250710,090000,4.4,4.4,4.1,4.4,963,0
P2C,5,20250710,090500,4.44,4.5,4.44,4.5,3791,0
P2C,5,20250710,091000,4.5,4.98,4.5,4.88,12749,0
P2C,5,20250710,091500,4.88,5.2,4.88,5.15,1461,0
P2C,5,20250710,092000,5.15,5.25,4.78,4.9,2946,0
P2C,5,20250710,092500,4.98,5.25,4.98,5.1,3107,0
P2C,5,20250710,093500,5.25,6,5.25,6,1438,0
P2C,5,20250710,094000,6,6.3,5.35,6.1,2715,0
P2C,5,20250710,094500,5.9,5.9,5.5,5.75,2647,0
P2C,5,20250710,095000,5.75,6,5.65,6,4838,0
P2C,5,20250710,095500,6.1,6.25,5.5,5.5,2451,0
P2C,5,20250710,100000,5.7,6.15,5.7,6,1180,0
P2C,5,20250710,100500,5.8,5.85,5.65,5.85,1756,0
P2C,5,20250710,101000,5.9,6.3,5.9,6.3,3667,0
P2C,5,20250710,102500,6.3,6.3,6,6,857,0
P2C,5,20250710,103000,6.3,6.3,5.8,5.85,1598,0
P2C,5,20250710,103500,5.9,5.95,5.9,5.95,122,0
P2C,5,20250710,104000,5.9,6.3,5.9,6.25,3597,0
P2C,5,20250710,105000,6.15,6.2,6.15,6.2,150,0
P2C,5,20250710,105500,6.2,6.3,5.8,5.9,8223,0
P2C,5,20250710,110000,5.95,5.95,5.9,5.9,521,0
P2C,5,20250710,110500,5.9,5.9,5.9,5.9,9496,0
P2C,5,20250710,111000,5.9,6.1,5.9,6.1,105,0
P2C,5,20250710,111500,6.1,6.1,5.95,5.95,1693,0
P2C,5,20250710,112000,6.1,6.1,5.85,5.85,281,0
P2C,5,20250710,112500,5.8,5.8,5.8,5.8,1302,0
P2C,5,20250710,113000,5.75,5.8,5.75,5.8,243,0
