<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PGG,5,20250707,090000,6,6.44,6,6.44,7679,0
PGG,5,20250707,090500,6.44,6.44,6.22,6.22,2643,0
PGG,5,20250707,091000,6.38,6.38,6.1,6.38,11,0
PGG,5,20250707,092000,6.28,6.34,6,6.32,1610,0
PGG,5,20250707,092500,6.08,6.08,5.9,5.9,5050,0
PGG,5,20250707,093000,5.98,5.98,5.98,5.98,1,0
PGG,5,20250707,093500,5.98,6.08,5.98,5.98,10310,0
PGG,5,20250707,094000,6.08,6.08,5.76,6.08,232,0
PGG,5,20250707,094500,6.08,6.08,6.08,6.08,1123,0
PGG,5,20250707,101500,6.02,6.06,6.02,6.06,101,0
PGG,5,20250707,102500,6.02,6.02,5.88,5.88,1022,0
PGG,5,20250707,103000,5.82,5.82,5.82,5.82,300,0
PGG,5,20250707,104500,5.9,5.9,5.9,5.9,140,0
PGG,5,20250707,110500,6,6,6,6,515,0
PGG,5,20250707,111500,6.02,6.08,6.02,6.08,201,0
PGG,5,20250707,112000,6.08,6.08,6.08,6.08,1372,0
PGG,5,20250707,112500,6.08,6.1,6.08,6.1,629,0
PGG,5,20250707,114000,6.1,6.1,6.1,6.1,199,0
PGG,5,20250707,114500,6.12,6.12,6.12,6.12,1,0
PGG,5,20250707,115500,6.12,6.12,6.12,6.12,196,0
PGG,5,20250707,120000,6.26,6.26,6.26,6.26,1,0
PGG,5,20250707,121000,6.26,6.32,6.26,6.3,800,0
PGG,5,20250707,121500,6.32,6.38,6.08,6.38,3042,0
PGG,5,20250707,122000,6.2,6.5,6.2,6.26,7060,0
PGG,5,20250707,122500,6.5,6.7,6.4,6.4,9483,0
PGG,5,20250707,123000,6.3,6.58,6.3,6.58,16,0
PGG,5,20250707,124000,6.5,6.6,6.5,6.6,1200,0
PGG,5,20250707,124500,6.6,6.66,6.6,6.66,3664,0
PGG,5,20250707,125000,6.7,6.7,6.7,6.7,995,0
PGG,5,20250707,125500,6.7,6.86,6.7,6.86,617,0
PGG,5,20250707,130000,6.86,7.16,6.86,6.96,7132,0
PGG,5,20250707,131000,6.92,6.92,6.92,6.92,662,0
PGG,5,20250707,131500,6.7,6.7,6.7,6.7,350,0
PGG,5,20250707,132000,6.7,6.7,6.7,6.7,70,0
PGG,5,20250707,132500,6.7,6.7,6.7,6.7,430,0
PGG,5,20250707,133000,6.88,6.88,6.88,6.88,1,0
PGG,5,20250707,133500,6.7,6.88,6.7,6.88,201,0
PGG,5,20250707,135000,6.7,6.7,6.62,6.62,500,0
PGG,5,20250707,135500,6.8,6.8,6.8,6.8,5,0
PGG,5,20250707,140500,6.62,6.62,6.5,6.5,1700,0
PGG,5,20250707,141000,6.5,6.7,6.5,6.7,322,0
PGG,5,20250707,141500,6.7,6.7,6.44,6.44,1531,0
PGG,5,20250707,142000,6.44,6.48,6.44,6.44,473,0
PGG,5,20250707,142500,6.48,6.5,6.48,6.5,4935,0
PGG,5,20250707,143500,6.5,6.5,6.5,6.5,161,0
PGG,5,20250707,144000,6.68,6.8,6.68,6.8,2842,0
PGG,5,20250707,144500,6.8,6.8,6.8,6.8,569,0
PGG,5,20250707,145000,6.58,6.58,6.58,6.58,1,0
PGG,5,20250707,150000,6.58,6.58,6.58,6.58,156,0
PGG,5,20250707,150500,6.58,6.58,6.58,6.58,443,0
PGG,5,20250707,152000,6.6,6.6,6.6,6.6,200,0
PGG,5,20250707,152500,6.76,6.76,6.76,6.76,5,0
PGG,5,20250707,153000,6.76,6.78,6.76,6.78,2015,0
PGG,5,20250707,153500,6.78,6.78,6.78,6.78,188,0
PGG,5,20250707,154000,6.78,7.1,6.78,7.1,15764,0
PGG,5,20250707,154500,7.1,7.1,7.1,7.1,290,0
PGG,5,20250707,155000,7,7,7,7,1100,0
