<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTN,5,20250708,090000,0.55,0.55,0.55,0.55,772,0
PTN,5,20250709,090500,0.59,0.59,0.59,0.59,1293,0
PTN,5,20250714,090000,0.6,0.6,0.6,0.6,10,0
PTN,5,20250716,102000,0.56,0.56,0.56,0.56,17,0
PTN,5,20250716,105000,0.6,0.6,0.6,0.6,50,0
PTN,5,20250722,090000,0.56,0.56,0.56,0.56,10,0
PTN,5,20250722,140000,0.6,0.6,0.6,0.6,48,0
PTN,5,20250801,090000,0.595,0.6,0.595,0.6,77,0
PTN,5,20250801,130000,0.6,0.6,0.6,0.6,25,0
PTN,5,20250804,124500,0.6,0.6,0.6,0.6,50,0
PTN,5,20250805,120500,0.6,0.6,0.6,0.6,50,0
PTN,5,20250805,130000,0.6,0.6,0.6,0.6,400,0
PTN,5,20250807,091000,0.6,0.6,0.6,0.6,65,0
PTN,5,20250808,090000,0.55,0.55,0.55,0.55,920,0
PTN,5,20250808,111500,0.6,0.64,0.6,0.64,3335,0
PTN,5,20250811,110500,0.64,0.64,0.64,0.64,150,0
PTN,5,20250812,103000,0.64,0.64,0.64,0.64,1539,0
PTN,5,20250813,164500,0.57,0.57,0.57,0.57,516,0
PTN,5,20250814,124500,0.57,0.57,0.57,0.57,1259,0
PTN,5,20250814,131500,0.57,0.57,0.57,0.57,1300,0
PTN,5,20250814,164500,0.57,0.57,0.57,0.57,171,0
PTN,5,20250818,090000,0.59,0.59,0.59,0.59,50,0
PTN,5,20250818,103500,0.59,0.59,0.59,0.59,20,0
PTN,5,20250820,163500,0.59,0.64,0.59,0.64,1787,0
PTN,5,20250822,120500,0.64,0.64,0.64,0.64,1500,0
PTN,5,20250822,122500,0.64,0.64,0.64,0.64,4,0
PTN,5,20250822,144500,0.65,0.65,0.65,0.65,40,0
PTN,5,20250822,150500,0.64,0.64,0.64,0.64,1111,0
PTN,5,20250827,102500,0.64,0.65,0.64,0.65,250,0
PTN,5,20250828,090000,0.6,0.6,0.6,0.6,20,0
PTN,5,20250828,090500,0.6,0.6,0.6,0.6,200,0
PTN,5,20250828,103000,0.6,0.6,0.6,0.6,157,0
PTN,5,20250828,143000,0.65,0.65,0.65,0.65,3,0
PTN,5,20250829,114000,0.65,0.65,0.65,0.65,1575,0
PTN,5,20250829,121500,0.65,0.65,0.65,0.65,20,0
PTN,5,20250829,122500,0.68,0.68,0.68,0.68,100,0
PTN,5,20250829,123000,0.6,0.65,0.575,0.575,1787,0
PTN,5,20250829,123500,0.575,0.575,0.575,0.575,50,0
PTN,5,20250829,124500,0.575,0.575,0.57,0.57,50,0
PTN,5,20250901,090000,0.68,0.68,0.68,0.68,67,0
PTN,5,20250901,145000,0.67,0.67,0.67,0.67,2050,0
PTN,5,20250902,105000,0.67,0.68,0.67,0.68,1471,0
PTN,5,20250908,090000,0.66,0.66,0.66,0.66,3000,0
PTN,5,20250908,090500,0.6,0.6,0.6,0.6,200,0
PTN,5,20250908,091000,0.66,0.66,0.66,0.66,31,0
PTN,5,20250908,092000,0.6,0.6,0.6,0.6,20,0
