<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SFD,5,20250707,090500,3.72,3.72,3.72,3.72,483,0
SFD,5,20250707,091000,3.71,3.71,3.65,3.65,655,0
SFD,5,20250707,091500,3.66,3.66,3.65,3.65,4077,0
SFD,5,20250707,092500,3.7,3.7,3.7,3.7,140,0
SFD,5,20250707,093000,3.7,3.7,3.7,3.7,3,0
SFD,5,20250707,094000,3.7,3.7,3.7,3.7,600,0
SFD,5,20250707,094500,3.72,3.84,3.7,3.7,3870,0
SFD,5,20250707,095500,3.77,3.77,3.77,3.77,4,0
SFD,5,20250707,100500,3.77,3.77,3.71,3.71,90,0
SFD,5,20250707,110500,3.72,3.72,3.72,3.72,63,0
SFD,5,20250707,112000,3.79,3.79,3.79,3.79,6,0
SFD,5,20250707,121000,3.72,3.72,3.72,3.72,50,0
SFD,5,20250707,130500,3.71,3.71,3.71,3.71,850,0
SFD,5,20250707,131000,3.71,3.71,3.65,3.65,2765,0
SFD,5,20250707,131500,3.65,3.65,3.65,3.65,2000,0
SFD,5,20250707,134500,3.64,3.64,3.63,3.63,1523,0
SFD,5,20250707,141500,3.65,3.74,3.65,3.74,800,0
SFD,5,20250707,142000,3.63,3.7,3.62,3.7,522,0
SFD,5,20250707,142500,3.7,3.7,3.7,3.7,170,0
SFD,5,20250707,143000,3.7,3.7,3.7,3.7,150,0
SFD,5,20250707,143500,3.7,3.7,3.7,3.7,50,0
SFD,5,20250707,145000,3.7,3.7,3.7,3.7,230,0
SFD,5,20250707,151500,3.69,3.69,3.69,3.69,30,0
SFD,5,20250707,152500,3.63,3.63,3.62,3.62,312,0
SFD,5,20250707,153000,3.62,3.62,3.62,3.62,94,0
SFD,5,20250707,153500,3.62,3.62,3.62,3.62,400,0
SFD,5,20250707,155000,3.62,3.62,3.61,3.61,142,0
SFD,5,20250707,155500,3.67,3.67,3.67,3.67,20,0
SFD,5,20250707,160000,3.62,3.62,3.62,3.62,117,0
SFD,5,20250707,164000,3.62,3.62,3.62,3.62,500,0
SFD,5,20250707,164500,3.62,3.66,3.62,3.66,91,0
SFD,5,20250708,090500,3.66,3.66,3.66,3.66,52,0
SFD,5,20250708,094500,3.68,3.68,3.68,3.68,6,0
SFD,5,20250708,100500,3.66,3.66,3.66,3.66,191,0
SFD,5,20250708,101500,3.66,3.66,3.61,3.61,900,0
SFD,5,20250708,102000,3.61,3.61,3.55,3.55,1168,0
SFD,5,20250708,103000,3.56,3.56,3.56,3.56,600,0
SFD,5,20250708,104000,3.56,3.56,3.56,3.56,104,0
SFD,5,20250708,105500,3.56,3.6,3.56,3.56,18,0
SFD,5,20250708,112000,3.56,3.56,3.56,3.56,418,0
SFD,5,20250708,113500,3.6,3.6,3.6,3.6,10,0
SFD,5,20250708,114500,3.56,3.56,3.51,3.51,5500,0
SFD,5,20250708,115000,3.51,3.51,3.51,3.51,54,0
SFD,5,20250708,115500,3.52,3.52,3.45,3.45,5630,0
SFD,5,20250708,120500,3.5,3.59,3.5,3.59,1700,0
SFD,5,20250708,122500,3.55,3.55,3.55,3.55,4,0
SFD,5,20250708,124000,3.48,3.48,3.46,3.46,1000,0
SFD,5,20250708,124500,3.47,3.47,3.46,3.46,500,0
SFD,5,20250708,125000,3.54,3.56,3.47,3.47,1050,0
SFD,5,20250708,132000,3.47,3.47,3.43,3.43,150,0
SFD,5,20250708,132500,3.43,3.5,3.43,3.43,3454,0
SFD,5,20250708,133000,3.42,3.42,3.42,3.42,125,0
SFD,5,20250708,133500,3.42,3.42,3.42,3.42,525,0
SFD,5,20250708,134000,3.4,3.4,3.35,3.36,3516,0
SFD,5,20250708,134500,3.36,3.36,3.36,3.36,200,0
SFD,5,20250708,135000,3.4,3.4,3.4,3.4,8262,0
SFD,5,20250708,151000,3.49,3.51,3.48,3.49,228,0
SFD,5,20250708,155000,3.43,3.43,3.34,3.34,7518,0
SFD,5,20250708,155500,3.34,3.34,3.26,3.28,14980,0
SFD,5,20250708,160000,3.28,3.38,3.28,3.38,742,0
SFD,5,20250708,160500,3.38,3.38,3.38,3.38,1121,0
SFD,5,20250708,161500,3.38,3.38,3.38,3.38,579,0
SFD,5,20250708,163000,3.39,3.39,3.31,3.31,405,0
SFD,5,20250708,163500,3.38,3.38,3.38,3.38,3,0
SFD,5,20250708,164000,3.38,3.38,3.38,3.38,4,0
SFD,5,20250708,164500,3.37,3.39,3.37,3.39,191,0
SFD,5,20250709,090000,3.39,3.39,3.39,3.39,29,0
SFD,5,20250709,093000,3.39,3.39,3.39,3.39,500,0
SFD,5,20250709,094500,3.39,3.39,3.32,3.32,169,0
SFD,5,20250709,100000,3.32,3.32,3.32,3.32,30,0
SFD,5,20250709,105000,3.33,3.33,3.33,3.33,300,0
SFD,5,20250709,110000,3.39,3.39,3.39,3.39,20,0
SFD,5,20250709,110500,3.39,3.39,3.39,3.39,10,0
SFD,5,20250709,113500,3.38,3.38,3.36,3.36,17,0
SFD,5,20250709,121000,3.38,3.39,3.38,3.39,900,0
SFD,5,20250709,121500,3.39,3.39,3.39,3.39,1000,0
SFD,5,20250709,123000,3.39,3.4,3.39,3.4,800,0
SFD,5,20250709,124500,3.4,3.4,3.4,3.4,60,0
SFD,5,20250709,125500,3.4,3.4,3.4,3.4,1009,0
SFD,5,20250709,130500,3.4,3.4,3.4,3.4,2227,0
SFD,5,20250709,134000,3.4,3.4,3.4,3.4,13,0
SFD,5,20250709,134500,3.4,3.4,3.4,3.4,333,0
SFD,5,20250709,135500,3.4,3.4,3.4,3.4,18,0
SFD,5,20250709,142000,3.36,3.36,3.36,3.36,358,0
SFD,5,20250709,144000,3.31,3.31,3.3,3.3,442,0
SFD,5,20250709,160000,3.34,3.34,3.27,3.27,640,0
SFD,5,20250709,160500,3.28,3.28,3.27,3.27,29,0
SFD,5,20250709,164500,3.36,3.36,3.27,3.27,1998,0
SFD,5,20250710,093500,3.35,3.35,3.35,3.35,20,0
SFD,5,20250710,102000,3.35,3.35,3.35,3.35,200,0
SFD,5,20250710,103000,3.36,3.36,3.36,3.36,906,0
SFD,5,20250710,110000,3.38,3.38,3.38,3.38,3,0
SFD,5,20250710,111000,3.38,3.38,3.38,3.38,4597,0
SFD,5,20250710,112000,3.38,3.38,3.32,3.32,2900,0
SFD,5,20250710,112500,3.39,3.4,3.39,3.4,255,0
SFD,5,20250710,113000,3.4,3.41,3.4,3.41,660,0
SFD,5,20250710,113500,3.41,3.42,3.41,3.42,1200,0
SFD,5,20250710,114000,3.42,3.44,3.42,3.44,2007,0
SFD,5,20250710,115500,3.45,3.45,3.41,3.41,1756,0
SFD,5,20250710,120000,3.32,3.4,3.22,3.22,6000,0
SFD,5,20250710,120500,3.33,3.39,3.33,3.39,50,0
SFD,5,20250710,123000,3.44,3.44,3.44,3.44,5,0
SFD,5,20250710,125500,3.44,3.44,3.43,3.43,861,0
SFD,5,20250710,133000,3.43,3.43,3.43,3.43,10,0
SFD,5,20250710,134500,3.33,3.33,3.33,3.33,13,0
SFD,5,20250710,135000,3.33,3.33,3.33,3.33,250,0
SFD,5,20250710,135500,3.33,3.33,3.33,3.33,50,0
SFD,5,20250710,140500,3.39,3.39,3.39,3.39,105,0
SFD,5,20250710,143500,3.39,3.45,3.39,3.45,5000,0
SFD,5,20250710,144000,3.45,3.45,3.45,3.45,10,0
SFD,5,20250710,151000,3.45,3.45,3.4,3.4,196,0
SFD,5,20250710,152000,3.45,3.51,3.45,3.51,300,0
SFD,5,20250710,161000,3.5,3.5,3.5,3.5,150,0
SFD,5,20250710,161500,3.5,3.5,3.5,3.5,8,0
SFD,5,20250710,164500,3.41,3.51,3.4,3.51,1100,0
SFD,5,20250711,091000,3.51,3.51,3.51,3.51,106,0
SFD,5,20250711,092000,3.51,3.51,3.51,3.51,29,0
SFD,5,20250711,093500,3.51,3.51,3.51,3.51,60,0
SFD,5,20250711,110000,3.4,3.4,3.4,3.4,50,0
SFD,5,20250711,113500,3.4,3.4,3.4,3.4,148,0
SFD,5,20250711,114500,3.51,3.52,3.51,3.52,103,0
SFD,5,20250711,121000,3.52,3.52,3.52,3.52,50,0
SFD,5,20250711,130500,3.52,3.52,3.52,3.52,44,0
SFD,5,20250711,132500,3.52,3.52,3.52,3.52,3,0
SFD,5,20250711,134000,3.52,3.52,3.52,3.52,65,0
SFD,5,20250711,143500,3.46,3.46,3.46,3.46,4,0
SFD,5,20250711,145500,3.52,3.52,3.52,3.52,3,0
SFD,5,20250711,150500,3.5,3.5,3.5,3.5,10,0
SFD,5,20250711,151500,3.52,3.52,3.52,3.52,3,0
SFD,5,20250711,160500,3.52,3.52,3.52,3.52,57,0
SFD,5,20250711,161500,3.52,3.52,3.52,3.52,280,0
SFD,5,20250714,090000,3.52,3.52,3.52,3.52,560,0
SFD,5,20250714,091000,3.52,3.52,3.52,3.52,15,0
SFD,5,20250714,091500,3.52,3.52,3.52,3.52,30,0
SFD,5,20250714,112000,3.46,3.5,3.46,3.5,28,0
SFD,5,20250714,113000,3.4,3.4,3.4,3.4,721,0
SFD,5,20250714,113500,3.4,3.51,3.4,3.51,1377,0
SFD,5,20250714,115000,3.36,3.51,3.36,3.36,51,0
SFD,5,20250714,120000,3.4,3.4,3.4,3.4,3,0
SFD,5,20250714,121000,3.4,3.4,3.35,3.4,64,0
SFD,5,20250714,122500,3.4,3.4,3.4,3.4,10,0
SFD,5,20250714,123000,3.35,3.35,3.35,3.35,1967,0
SFD,5,20250714,124500,3.46,3.46,3.45,3.45,73,0
SFD,5,20250714,125000,3.45,3.45,3.45,3.45,6,0
SFD,5,20250714,125500,3.45,3.45,3.45,3.45,32,0
SFD,5,20250714,130000,3.45,3.45,3.45,3.45,40,0
