<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TGG,5,20250707,092000,1.42,1.42,1.42,1.42,730,0
TGG,5,20250707,102000,1.42,1.42,1.42,1.42,8167,0
TGG,5,20250707,102500,1.42,1.42,1.42,1.42,752,0
TGG,5,20250707,120000,1.41,1.41,1.41,1.41,198,0
TGG,5,20250707,122500,1.41,1.41,1.41,1.41,6,0
TGG,5,20250707,124500,1.48,1.48,1.48,1.48,50,0
TGG,5,20250708,090000,1.41,1.41,1.39,1.39,1000,0
TGG,5,20250708,092000,1.39,1.39,1.3,1.3,1247,0
TGG,5,20250708,092500,1.3,1.3,1.3,1.3,1511,0
TGG,5,20250708,093000,1.3,1.3,1.3,1.3,880,0
TGG,5,20250708,093500,1.23,1.23,1.23,1.23,362,0
TGG,5,20250708,095500,1.26,1.26,1.26,1.26,200,0
TGG,5,20250708,102000,1.3,1.3,1.3,1.3,242,0
TGG,5,20250708,104500,1.43,1.43,1.43,1.43,20,0
TGG,5,20250708,143500,1.43,1.43,1.43,1.43,280,0
TGG,5,20250709,091000,1.38,1.38,1.35,1.35,790,0
TGG,5,20250709,114500,1.33,1.33,1.33,1.33,304,0
TGG,5,20250709,115000,1.4,1.4,1.4,1.4,55,0
TGG,5,20250709,120000,1.4,1.4,1.4,1.4,1270,0
TGG,5,20250709,123000,1.43,1.44,1.43,1.44,144,0
TGG,5,20250709,124500,1.44,1.45,1.44,1.45,1500,0
TGG,5,20250709,152000,1.46,1.47,1.46,1.47,200,0
TGG,5,20250709,155000,1.48,1.56,1.48,1.56,2000,0
TGG,5,20250709,160000,1.54,1.62,1.54,1.61,2236,0
TGG,5,20250709,160500,1.65,1.65,1.65,1.65,520,0
TGG,5,20250709,161000,1.64,1.65,1.64,1.65,787,0
TGG,5,20250709,161500,1.65,1.65,1.65,1.65,213,0
TGG,5,20250709,162500,1.65,1.65,1.65,1.65,1037,0
TGG,5,20250709,164000,1.88,1.98,1.88,1.98,8363,0
TGG,5,20250709,164500,1.69,1.96,1.69,1.95,6599,0
TGG,5,20250710,090000,1.96,2.04,1.96,2.04,2973,0
TGG,5,20250710,090500,2.02,2.02,2.02,2.02,600,0
TGG,5,20250710,091000,2.02,2.02,2,2,1010,0
TGG,5,20250710,091500,2,2,1.96,1.96,4199,0
TGG,5,20250710,092000,1.96,1.96,1.96,1.96,169,0
TGG,5,20250710,092500,1.95,1.95,1.95,1.95,4000,0
TGG,5,20250710,093000,1.9,1.96,1.68,1.96,531,0
TGG,5,20250710,094500,1.99,1.99,1.99,1.99,50,0
TGG,5,20250710,095000,1.96,1.96,1.96,1.96,1,0
TGG,5,20250710,101000,1.71,1.71,1.71,1.71,50,0
TGG,5,20250710,101500,1.9,1.9,1.9,1.9,10,0
TGG,5,20250710,102500,1.9,1.9,1.9,1.9,324,0
TGG,5,20250710,104000,1.73,1.9,1.73,1.9,199,0
TGG,5,20250710,110500,1.9,1.9,1.9,1.9,14,0
TGG,5,20250710,111000,1.9,1.9,1.9,1.9,8,0
TGG,5,20250710,131000,1.76,1.76,1.75,1.76,600,0
TGG,5,20250710,132000,1.74,1.74,1.74,1.74,400,0
TGG,5,20250710,132500,1.74,1.74,1.74,1.74,100,0
TGG,5,20250710,133500,1.74,1.74,1.74,1.74,10,0
TGG,5,20250710,142000,1.74,1.74,1.74,1.74,390,0
TGG,5,20250710,142500,1.74,1.74,1.74,1.74,400,0
TGG,5,20250710,143000,1.76,1.76,1.76,1.76,624,0
TGG,5,20250710,143500,1.74,1.74,1.69,1.69,3820,0
TGG,5,20250710,145000,1.71,1.71,1.71,1.71,150,0
TGG,5,20250710,152500,1.85,1.89,1.85,1.88,1000,0
TGG,5,20250710,153000,1.89,1.89,1.89,1.89,30,0
TGG,5,20250710,154500,1.7,1.7,1.57,1.57,5756,0
TGG,5,20250710,161000,1.61,1.61,1.61,1.61,198,0
TGG,5,20250710,163000,1.63,1.63,1.63,1.63,146,0
TGG,5,20250710,163500,1.72,1.72,1.72,1.72,30,0
TGG,5,20250710,164500,1.62,1.62,1.62,1.62,1037,0
TGG,5,20250711,100000,1.59,1.59,1.59,1.59,648,0
TGG,5,20250711,101000,1.62,1.62,1.62,1.62,96,0
TGG,5,20250711,123500,1.62,1.62,1.62,1.62,10,0
TGG,5,20250711,154000,1.62,1.62,1.62,1.62,1000,0
TGG,5,20250714,140500,1.59,1.59,1.58,1.58,1000,0
TGG,5,20250714,144500,1.58,1.58,1.58,1.58,4,0
TGG,5,20250714,151500,1.58,1.58,1.43,1.43,1889,0
TGG,5,20250714,162000,1.45,1.45,1.45,1.45,543,0
TGG,5,20250715,095000,1.44,1.44,1.44,1.44,10,0
TGG,5,20250715,105000,1.5,1.5,1.5,1.5,280,0
TGG,5,20250716,090000,1.49,1.49,1.49,1.49,10,0
TGG,5,20250716,130000,1.44,1.44,1.44,1.44,30,0
TGG,5,20250716,140500,1.44,1.44,1.44,1.44,128,0
TGG,5,20250716,141500,1.43,1.43,1.43,1.43,158,0
TGG,5,20250716,142000,1.42,1.42,1.42,1.42,714,0
TGG,5,20250716,160500,1.45,1.45,1.45,1.45,44,0
TGG,5,20250717,090000,1.42,1.42,1.42,1.42,1204,0
TGG,5,20250717,091000,1.43,1.43,1.43,1.43,80,0
TGG,5,20250717,115500,1.49,1.53,1.49,1.53,1000,0
TGG,5,20250717,120500,1.44,1.44,1.44,1.44,500,0
TGG,5,20250717,121500,1.44,1.44,1.44,1.44,795,0
TGG,5,20250717,122000,1.44,1.44,1.44,1.44,25,0
TGG,5,20250717,124000,1.44,1.53,1.44,1.53,181,0
TGG,5,20250718,090000,1.52,1.52,1.52,1.52,10,0
TGG,5,20250718,101000,1.48,1.48,1.48,1.48,684,0
TGG,5,20250718,113000,1.53,1.55,1.53,1.55,80,0
TGG,5,20250718,114500,1.56,1.56,1.56,1.56,668,0
TGG,5,20250718,134000,1.57,1.57,1.57,1.57,70,0
TGG,5,20250718,134500,1.57,1.57,1.57,1.57,200,0
TGG,5,20250718,141500,1.55,1.55,1.55,1.55,4,0
TGG,5,20250718,142000,1.58,1.6,1.58,1.6,1000,0
TGG,5,20250718,154500,1.49,1.49,1.49,1.49,80,0
TGG,5,20250718,160500,1.56,1.6,1.56,1.6,1062,0
TGG,5,20250721,100500,1.5,1.5,1.5,1.5,100,0
TGG,5,20250721,103000,1.6,1.6,1.6,1.6,50,0
TGG,5,20250722,122500,1.54,1.54,1.52,1.52,900,0
TGG,5,20250722,142500,1.52,1.52,1.52,1.52,30,0
TGG,5,20250722,164500,1.55,1.55,1.55,1.55,7,0
TGG,5,20250723,115000,1.52,1.56,1.52,1.56,1625,0
TGG,5,20250723,124000,1.52,1.52,1.5,1.5,420,0
TGG,5,20250723,164500,1.5,1.55,1.49,1.55,207,0
TGG,5,20250724,092500,1.55,1.55,1.55,1.55,10,0
TGG,5,20250724,164500,1.53,1.53,1.53,1.53,100,0
TGG,5,20250725,090000,1.52,1.52,1.52,1.52,10,0
TGG,5,20250728,090000,1.53,1.53,1.53,1.53,10,0
TGG,5,20250728,091000,1.49,1.49,1.47,1.47,655,0
TGG,5,20250728,124000,1.45,1.45,1.45,1.45,14,0
TGG,5,20250728,143500,1.45,1.45,1.32,1.32,3750,0
TGG,5,20250728,154000,1.44,1.44,1.44,1.44,100,0
TGG,5,20250728,154500,1.44,1.44,1.44,1.44,180,0
TGG,5,20250728,160500,1.34,1.35,1.33,1.33,1062,0
TGG,5,20250728,165500,1.4,1.4,1.4,1.4,8,0
TGG,5,20250729,090000,1.4,1.4,1.4,1.4,524,0
TGG,5,20250729,154000,1.4,1.4,1.4,1.4,476,0
TGG,5,20250730,120000,1.4,1.4,1.4,1.4,10,0
TGG,5,20250730,154500,1.39,1.4,1.39,1.4,50,0
TGG,5,20250731,095500,1.4,1.4,1.4,1.4,10,0
TGG,5,20250731,104500,1.4,1.4,1.4,1.4,10,0
TGG,5,20250801,090000,1.4,1.4,1.34,1.34,21,0
TGG,5,20250801,100500,1.34,1.34,1.32,1.32,2040,0
TGG,5,20250801,140000,1.32,1.32,1.32,1.32,13,0
TGG,5,20250801,141500,1.32,1.32,1.32,1.32,15,0
TGG,5,20250805,105000,1.29,1.29,1.28,1.28,1685,0
TGG,5,20250805,152000,1.26,1.26,1.26,1.26,100,0
TGG,5,20250805,153500,1.25,1.26,1.23,1.26,500,0
TGG,5,20250806,120000,1.23,1.23,1.23,1.23,1600,0
TGG,5,20250806,121500,1.23,1.23,1.2,1.2,1408,0
TGG,5,20250806,163000,1.2,1.2,1.2,1.2,50,0
TGG,5,20250807,090000,1.01,1.01,1.01,1.01,2932,0
TGG,5,20250807,090500,1.1,1.14,0.92,0.92,2141,0
TGG,5,20250807,092500,1.06,1.06,1.06,1.06,20,0
TGG,5,20250807,093000,1.06,1.06,1.06,1.06,260,0
TGG,5,20250807,100000,1,1,1,1,394,0
TGG,5,20250807,105000,1.08,1.08,1.08,1.08,20,0
TGG,5,20250807,111500,1.01,1.01,1,1,908,0
TGG,5,20250807,113500,1,1,1,1,14,0
TGG,5,20250807,115500,1,1,1,1,11,0
TGG,5,20250807,120000,1,1,1,1,75,0
TGG,5,20250807,140500,1.05,1.05,1.05,1.05,250,0
TGG,5,20250807,145500,0.985,0.985,0.985,0.985,250,0
TGG,5,20250807,153500,1.05,1.05,1.05,1.05,250,0
TGG,5,20250808,125000,1.07,1.12,1.07,1.12,2775,0
TGG,5,20250808,133500,1.12,1.12,1.12,1.12,75,0
TGG,5,20250808,134000,1.04,1.04,1.04,1.04,975,0
TGG,5,20250808,153000,1.12,1.12,1.12,1.12,1129,0
TGG,5,20250808,162500,1.11,1.11,1.11,1.11,900,0
TGG,5,20250811,091000,1.11,1.11,1.11,1.11,1010,0
TGG,5,20250811,115000,1.12,1.13,1.12,1.13,330,0
TGG,5,20250811,115500,1.13,1.13,1.13,1.13,40,0
TGG,5,20250811,163000,1.05,1.05,1.05,1.05,1100,0
TGG,5,20250812,102500,1.05,1.05,1.05,1.05,2951,0
TGG,5,20250812,111500,1.05,1.05,1.03,1.03,1384,0
TGG,5,20250812,115500,1.06,1.06,1.03,1.03,971,0
TGG,5,20250812,153000,1.02,1.02,1,1,300,0
TGG,5,20250812,160000,1,1,1,1,1000,0
TGG,5,20250812,160500,0.97,0.97,0.97,0.97,1157,0
TGG,5,20250812,164500,1,1,1,1,10,0
TGG,5,20250813,090000,1.07,1.07,1.07,1.07,945,0
TGG,5,20250813,091500,1.09,1.12,1.09,1.12,510,0
TGG,5,20250813,092500,1.07,1.07,1.07,1.07,487,0
TGG,5,20250813,094000,1.11,1.11,1.11,1.11,15,0
TGG,5,20250813,111500,1.05,1.05,1,1,3169,0
TGG,5,20250813,112000,1,1.11,1,1.11,32,0
TGG,5,20250813,120000,1.07,1.07,1.07,1.07,40,0
TGG,5,20250813,140500,1.07,1.07,1.07,1.07,950,0
TGG,5,20250813,142500,1.06,1.06,1.06,1.06,100,0
TGG,5,20250814,090000,1.07,1.07,1.07,1.07,10,0
TGG,5,20250814,093000,1,1,1,1,50,0
TGG,5,20250814,105500,1.07,1.08,1.07,1.08,35,0
TGG,5,20250814,113000,1.02,1.02,1.02,1.02,21,0
TGG,5,20250814,121000,1.06,1.06,1.06,1.06,20,0
TGG,5,20250814,124500,1.06,1.06,1.06,1.06,480,0
TGG,5,20250814,125500,1.07,1.07,1.07,1.07,110,0
TGG,5,20250814,130500,1.07,1.07,1.07,1.07,1300,0
TGG,5,20250814,132500,1.08,1.08,1.08,1.08,580,0
TGG,5,20250814,163000,1.06,1.06,1.06,1.06,987,0
TGG,5,20250818,101500,1.09,1.09,1.09,1.09,10,0
TGG,5,20250818,112000,1.02,1.02,1.02,1.02,29,0
TGG,5,20250818,135500,1.08,1.09,1.08,1.09,12,0
TGG,5,20250819,132000,1.08,1.08,1.08,1.08,38,0
TGG,5,20250820,101500,1.03,1.03,1.02,1.02,1037,0
TGG,5,20250820,141500,1,1,1,1,10,0
TGG,5,20250820,155500,1.06,1.1,1.06,1.1,2415,0
TGG,5,20250820,160000,1.1,1.1,1.1,1.1,585,0
TGG,5,20250821,104500,1.04,1.04,1.04,1.04,2186,0
TGG,5,20250821,124500,1.04,1.04,1.04,1.04,1013,0
TGG,5,20250821,165500,1.1,1.1,1.1,1.1,10,0
TGG,5,20250828,095000,1.1,1.11,1.1,1.11,417,0
TGG,5,20250828,103000,1.11,1.11,1.11,1.11,200,0
TGG,5,20250828,113000,1.04,1.04,1.04,1.04,1465,0
TGG,5,20250828,113500,1.04,1.04,1.04,1.04,258,0
TGG,5,20250828,130500,1.1,1.1,1.1,1.1,50,0
TGG,5,20250829,090000,1.1,1.1,1.1,1.1,10,0
TGG,5,20250829,113500,1.04,1.04,1.04,1.04,8,0
TGG,5,20250829,164500,1.1,1.1,1.1,1.1,10,0
TGG,5,20250901,090000,1.1,1.1,1.1,1.1,10,0
TGG,5,20250902,090500,1.09,1.09,1.09,1.09,18,0
TGG,5,20250902,164500,1.1,1.1,1.1,1.1,10,0
TGG,5,20250903,094500,1.1,1.1,1.1,1.1,10,0
TGG,5,20250903,163500,1.05,1.05,1.03,1.03,38,0
TGG,5,20250903,164000,1.03,1.03,1.02,1.02,1000,0
