<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNV,5,20250714,132000,2.96,2.98,2.96,2.98,220,0
UNV,5,20250717,140500,3.3,3.4,3.3,3.4,21,0
UNV,5,20250717,150000,3.4,3.4,3.4,3.4,300,0
UNV,5,20250717,150500,3.5,3.5,3.4,3.4,80,0
UNV,5,20250717,151000,3.5,3.5,3.5,3.5,1000,0
UNV,5,20250717,151500,3.5,3.5,3.5,3.5,33,0
UNV,5,20250724,123000,3.3,3.3,3.3,3.3,10,0
UNV,5,20250724,125500,3.4,3.4,3.4,3.4,10,0
UNV,5,20250729,111500,3.4,3.72,3.4,3.7,1500,0
UNV,5,20250729,115000,3.7,3.7,3.7,3.7,400,0
UNV,5,20250729,140000,3.72,3.72,3.72,3.72,3,0
UNV,5,20250729,154000,3.72,3.72,3.72,3.72,3,0
UNV,5,20250730,090000,3.98,3.98,3.98,3.98,11,0
UNV,5,20250730,100000,3.98,3.98,3.98,3.98,573,0
UNV,5,20250730,113500,4,4,4,4,10,0
UNV,5,20250730,115000,4,4.08,4,4.08,107,0
UNV,5,20250730,121000,3.8,3.8,3.4,3.5,60,0
UNV,5,20250730,123000,3.4,3.4,3.4,3.4,47,0
UNV,5,20250730,123500,3.5,3.5,3.5,3.5,10,0
UNV,5,20250730,131000,3.5,3.5,3.5,3.5,190,0
UNV,5,20250731,091500,3.6,3.7,3.6,3.7,11,0
UNV,5,20250731,151500,3.7,3.9,3.7,3.9,22,0
UNV,5,20250826,103000,3.7,3.7,3.7,3.7,10,0
UNV,5,20250826,134500,3.9,3.98,3.9,3.98,8,0
UNV,5,20250826,143000,3.98,4,3.98,4,200,0
UNV,5,20250828,090000,3.6,3.6,3.6,3.6,74,0
UNV,5,20250828,164500,4,4,4,4,11,0
UNV,5,20250829,095000,3.6,3.6,3.6,3.6,3,0
UNV,5,20250829,130500,4.1,4.2,4.08,4.2,98,0
UNV,5,20250829,132500,4.5,4.5,4.5,4.5,20,0
UNV,5,20250829,134500,4.62,4.7,4.62,4.64,235,0
UNV,5,20250829,135000,4.7,5.15,4.7,5.15,282,0
UNV,5,20250829,160000,5.3,5.3,5.3,5.3,347,0
UNV,5,20250829,160500,5.3,5.3,5.3,5.3,151,0
UNV,5,20250829,161000,5.3,5.3,5.15,5.15,200,0
UNV,5,20250829,162000,5.15,5.15,5.15,5.15,40,0
UNV,5,20250829,163000,5.2,5.2,5.2,5.2,10,0
UNV,5,20250901,090000,5.4,5.4,5.4,5.4,7,0
UNV,5,20250901,091000,5.4,5.4,5.4,5.4,6,0
UNV,5,20250901,160500,5.4,5.4,5.4,5.4,88,0
UNV,5,20250901,163000,5.85,5.85,5.85,5.85,3,0
