<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VLT,5,20250707,091500,3.42,3.42,3.42,3.42,500,0
VLT,5,20250707,094000,3.4,3.4,3.4,3.4,1250,0
VLT,5,20250707,120000,3.38,3.38,3.38,3.38,500,0
VLT,5,20250707,161000,3.38,3.38,3.38,3.38,510,0
VLT,5,20250708,091500,3.39,3.39,3.39,3.39,14,0
VLT,5,20250708,094000,3.38,3.38,3.38,3.38,700,0
VLT,5,20250708,130000,3.38,3.38,3.38,3.38,125,0
VLT,5,20250708,132500,3.39,3.39,3.39,3.39,8,0
VLT,5,20250708,133500,3.39,3.4,3.39,3.4,8628,0
VLT,5,20250708,135000,3.52,3.57,3.52,3.57,51,0
VLT,5,20250708,140000,3.6,3.6,3.6,3.6,50,0
VLT,5,20250708,155000,3.6,3.6,3.6,3.6,100,0
VLT,5,20250709,090000,3.53,3.53,3.53,3.53,900,0
VLT,5,20250709,133500,3.52,3.52,3.5,3.5,150,0
VLT,5,20250709,150500,3.5,3.5,3.5,3.5,25,0
VLT,5,20250709,151000,3.45,3.45,3.43,3.43,1445,0
VLT,5,20250709,153500,3.41,3.41,3.41,3.41,215,0
VLT,5,20250710,091500,3.39,3.39,3.36,3.36,900,0
VLT,5,20250710,093000,3.45,3.45,3.45,3.45,295,0
VLT,5,20250710,094000,3.39,3.39,3.39,3.39,800,0
VLT,5,20250710,130500,3.39,3.39,3.39,3.39,54,0
VLT,5,20250711,091000,3.38,3.38,3.37,3.37,860,0
VLT,5,20250711,092000,3.33,3.33,3.31,3.33,108,0
VLT,5,20250711,093000,3.26,3.26,3.26,3.26,4,0
VLT,5,20250711,094500,3.25,3.26,3.25,3.26,376,0
VLT,5,20250711,095000,3.29,3.3,3.29,3.3,100,0
VLT,5,20250711,101500,3.27,3.27,3.27,3.27,900,0
VLT,5,20250711,124500,3.3,3.3,3.3,3.3,1624,0
VLT,5,20250711,135000,3.3,3.3,3.3,3.3,43,0
VLT,5,20250714,090500,3.36,3.36,3.36,3.36,38,0
VLT,5,20250714,094500,3.36,3.37,3.36,3.37,362,0
VLT,5,20250714,121500,3.41,3.41,3.41,3.41,900,0
VLT,5,20250714,132000,3.45,3.52,3.42,3.46,250,0
VLT,5,20250714,153000,3.44,3.44,3.44,3.44,12,0
VLT,5,20250715,091000,3.44,3.44,3.44,3.44,4,0
VLT,5,20250715,130000,3.45,3.45,3.44,3.44,275,0
VLT,5,20250715,141000,3.52,3.52,3.52,3.52,265,0
VLT,5,20250715,142500,3.52,3.52,3.52,3.52,135,0
VLT,5,20250715,150000,3.52,3.52,3.52,3.52,613,0
VLT,5,20250715,152000,3.52,3.52,3.52,3.52,187,0
VLT,5,20250716,093500,3.47,3.47,3.47,3.47,4,0
VLT,5,20250716,110000,3.54,3.54,3.54,3.54,10,0
VLT,5,20250716,141500,3.54,3.55,3.54,3.55,100,0
VLT,5,20250716,142500,3.56,3.56,3.56,3.56,385,0
VLT,5,20250716,161500,3.6,3.6,3.6,3.6,14,0
VLT,5,20250717,102000,3.56,3.6,3.56,3.6,321,0
VLT,5,20250717,111000,3.6,3.6,3.6,3.6,38,0
VLT,5,20250717,140500,3.64,3.64,3.64,3.64,85,0
