<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACH0628.PL,5,20250707,090000,101.09,101.09,101.09,101.09,2,0
ACH0628.PL,5,20250707,095500,101,101,101,101,20,0
ACH0628.PL,5,20250707,100500,100.99,100.99,100.99,100.99,1,0
ACH0628.PL,5,20250707,150500,100.5,100.53,100.5,100.53,40,0
ACH0628.PL,5,20250707,161500,101.4,101.4,101.4,101.4,3,0
ACH0628.PL,5,20250708,153000,101.4,101.4,101.4,101.4,3,0
ACH0628.PL,5,20250710,090000,101.3,101.3,101.3,101.3,2,0
ACH0628.PL,5,20250710,115500,101.3,101.4,101.3,101.4,38,0
ACH0628.PL,5,20250711,111500,101.12,101.12,101.1,101.1,50,0
ACH0628.PL,5,20250714,090500,101,101,101,101,2,0
ACH0628.PL,5,20250714,125000,101.05,101.05,101.05,101.05,12,0
ACH0628.PL,5,20250714,125500,101,101,101,101,5,0
ACH0628.PL,5,20250714,152000,101.4,101.4,101.4,101.4,6,0
ACH0628.PL,5,20250715,092500,101.1,101.1,101.1,101.1,60,0
ACH0628.PL,5,20250715,102000,101.1,101.1,101.1,101.1,40,0
ACH0628.PL,5,20250715,121500,101,101,101,101,8,0
ACH0628.PL,5,20250716,090000,101,101,101,101,74,0
ACH0628.PL,5,20250716,090500,101,101,101,101,5,0
ACH0628.PL,5,20250716,093500,101,101,101,101,3,0
ACH0628.PL,5,20250716,094000,101,101,101,101,3,0
ACH0628.PL,5,20250716,111500,101,101,101,101,57,0
ACH0628.PL,5,20250716,132500,101,101,101,101,15,0
ACH0628.PL,5,20250718,092000,100.51,100.51,100.51,100.51,5,0
ACH0628.PL,5,20250718,093500,101,101,101,101,20,0
ACH0628.PL,5,20250718,105000,101,101,101,101,45,0
ACH0628.PL,5,20250718,111000,101.1,101.1,101.1,101.1,20,0
ACH0628.PL,5,20250718,130500,101,101,101,101,10,0
ACH0628.PL,5,20250718,135500,101,101,101,101,4,0
ACH0628.PL,5,20250718,161000,101.6,101.65,101.6,101.65,20,0
ACH0628.PL,5,20250718,161500,101.65,101.65,101.65,101.65,9,0
ACH0628.PL,5,20250722,090000,101.75,101.75,101.75,101.75,3,0
ACH0628.PL,5,20250722,092000,101.03,101.03,101.03,101.03,5,0
ACH0628.PL,5,20250722,095000,101,101,101,101,9,0
ACH0628.PL,5,20250722,095500,101,101,101,101,10,0
ACH0628.PL,5,20250722,102000,101,101,101,101,9,0
ACH0628.PL,5,20250722,104000,101,101,101,101,10,0
ACH0628.PL,5,20250722,104500,101,101,101,101,7,0
ACH0628.PL,5,20250722,110500,101,101,101,101,6,0
ACH0628.PL,5,20250722,111500,101,101,101,101,2,0
ACH0628.PL,5,20250722,112000,101,101,101,101,20,0
ACH0628.PL,5,20250722,113000,101,101,101,101,10,0
ACH0628.PL,5,20250722,113500,101,101,101,101,10,0
ACH0628.PL,5,20250722,114000,101,101,101,101,2,0
ACH0628.PL,5,20250722,130000,101.35,101.35,101.35,101.35,7,0
ACH0628.PL,5,20250722,130500,101.35,101.35,101.35,101.35,6,0
ACH0628.PL,5,20250722,161000,101.3,101.3,101.3,101.3,20,0
ACH0628.PL,5,20250722,164500,101.3,101.3,101.3,101.3,4,0
ACH0628.PL,5,20250723,093500,101.75,101.75,101.75,101.75,20,0
ACH0628.PL,5,20250723,095000,101.3,101.3,101.3,101.3,176,0
ACH0628.PL,5,20250723,123000,101.75,101.75,101.75,101.75,6,0
ACH0628.PL,5,20250723,134500,101.95,101.95,101.95,101.95,2,0
ACH0628.PL,5,20250723,140500,101.95,101.95,101.95,101.95,8,0
ACH0628.PL,5,20250723,141000,101.95,101.95,101.95,101.95,7,0
ACH0628.PL,5,20250724,095000,101.95,101.95,101.95,101.95,1,0
ACH0628.PL,5,20250725,090000,101.95,101.95,101.95,101.95,2,0
ACH0628.PL,5,20250725,093000,101.95,101.95,101.95,101.95,1,0
ACH0628.PL,5,20250725,104500,102.2,102.2,102.2,102.2,5,0
ACH0628.PL,5,20250725,112000,102.2,102.2,102.2,102.2,9,0
ACH0628.PL,5,20250725,121500,102.2,102.2,102.2,102.2,65,0
ACH0628.PL,5,20250725,123500,102.2,102.2,102.2,102.2,3,0
ACH0628.PL,5,20250725,143000,102.2,102.2,102.2,102.2,38,0
ACH0628.PL,5,20250725,163000,102.2,102.2,102.2,102.2,20,0
ACH0628.PL,5,20250725,163500,102.2,102.2,102.2,102.2,10,0
ACH0628.PL,5,20250729,100500,102.6,102.6,102.6,102.6,2,0
ACH0628.PL,5,20250729,112500,102.6,102.6,102.6,102.6,5,0
ACH0628.PL,5,20250729,113000,102.6,102.6,102.6,102.6,5,0
ACH0628.PL,5,20250729,132000,102.2,102.2,102.2,102.2,47,0
ACH0628.PL,5,20250804,134500,102.6,102.6,102.6,102.6,42,0
ACH0628.PL,5,20250804,155500,102.75,103.1,102.75,103.1,153,0
ACH0628.PL,5,20250805,090000,103.1,103.1,103.1,103.1,3,0
ACH0628.PL,5,20250805,111500,103.05,103.05,103.05,103.05,2,0
ACH0628.PL,5,20250806,134000,103,103,103,103,25,0
ACH0628.PL,5,20250807,102000,102.6,102.6,102.6,102.6,5,0
ACH0628.PL,5,20250807,102500,102.6,102.6,102.6,102.6,3,0
ACH0628.PL,5,20250807,123000,102.6,102.6,102.6,102.6,13,0
ACH0628.PL,5,20250808,114500,103,103,103,103,39,0
ACH0628.PL,5,20250808,123500,103,103,103,103,6,0
ACH0628.PL,5,20250811,101000,103,103,103,103,3,0
ACH0628.PL,5,20250811,162000,103,103,103,103,7,0
ACH0628.PL,5,20250811,163500,102.61,102.61,102.61,102.61,43,0
ACH0628.PL,5,20250812,124500,103.4,103.4,103.4,103.4,13,0
