<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADX1128.PL,5,20251126,141500,100.9,100.9,100.9,100.9,20,0
ADX1128.PL,5,20251126,145000,100.9,100.9,100.9,100.9,10,0
ADX1128.PL,5,20251126,160500,100.9,100.9,100.9,100.9,5,0
ADX1128.PL,5,20251126,164500,101,101,101,101,4,0
ADX1128.PL,5,20251128,093500,100.57,100.57,100.57,100.57,90,0
ADX1128.PL,5,20251201,091500,101.5,101.5,101.5,101.5,99,0
ADX1128.PL,5,20251201,093000,101.5,101.5,101.5,101.5,39,0
ADX1128.PL,5,20251202,124500,101.9,101.9,100.57,100.57,103,0
ADX1128.PL,5,20251202,130000,100.57,100.57,100.15,100.2,77,0
ADX1128.PL,5,20251202,132000,100,100,100,100,10,0
ADX1128.PL,5,20251202,133000,100,100,100,100,5,0
ADX1128.PL,5,20251202,133500,100,100,100,100,20,0
ADX1128.PL,5,20251202,134500,100,100,100,100,7,0
ADX1128.PL,5,20251202,135000,100,100,100,100,7,0
ADX1128.PL,5,20251202,135500,100,100,100,100,41,0
ADX1128.PL,5,20251202,140500,100,100,100,100,25,0
ADX1128.PL,5,20251202,141000,100,100,100,100,8,0
