<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALE0630.PL,5,20250905,090000,100.5,100.5,100.5,100.5,1,0
ALE0630.PL,5,20250905,093000,100.5,100.5,100.5,100.5,19,0
ALE0630.PL,5,20250905,094000,100.6,100.6,100.6,100.6,2,0
ALE0630.PL,5,20250905,103500,100.8,100.8,100.8,100.8,5,0
ALE0630.PL,5,20250905,104500,100.85,100.85,100.85,100.85,3,0
ALE0630.PL,5,20250905,114500,101,101,101,101,5,0
ALE0630.PL,5,20250905,115000,101,101,101,101,5,0
ALE0630.PL,5,20250908,090000,102,102,102,102,15,0
ALE0630.PL,5,20250908,092500,102.5,102.5,102.5,102.5,2,0
ALE0630.PL,5,20250909,090000,102.5,102.5,102.5,102.5,2,0
ALE0630.PL,5,20250909,102000,102.5,102.5,102.5,102.5,2,0
ALE0630.PL,5,20250911,103000,101.5,101.5,101.5,101.5,60,0
ALE0630.PL,5,20250912,090000,102.5,102.5,102.5,102.5,20,0
ALE0630.PL,5,20250912,130500,102.5,102.5,102.5,102.5,5,0
ALE0630.PL,5,20250919,090500,102.48,102.48,102.48,102.48,10,0
ALE0630.PL,5,20250922,090000,102.48,102.48,102.48,102.48,5,0
ALE0630.PL,5,20250923,112000,102.5,102.5,102.5,102.5,2,0
ALE0630.PL,5,20250925,090000,102.5,102.5,102.5,102.5,6,0
ALE0630.PL,5,20250925,115000,102.5,102.5,102.5,102.5,5,0
ALE0630.PL,5,20250926,161000,102.5,102.5,102.5,102.5,1,0
ALE0630.PL,5,20250930,112500,102.5,102.5,102.5,102.5,2,0
ALE0630.PL,5,20251002,101500,102.5,102.5,102.5,102.5,12,0
ALE0630.PL,5,20251020,151500,102.5,102.5,102.5,102.5,5,0
ALE0630.PL,5,20251027,113000,102.5,102.5,102.5,102.5,5,0
ALE0630.PL,5,20251027,164000,102.5,102.5,102.5,102.5,1,0
ALE0630.PL,5,20251028,135000,102.01,102.01,102.01,102.01,5,0
ALE0630.PL,5,20251031,134500,102.5,102.5,102.5,102.5,5,0
ALE0630.PL,5,20251031,161500,102.5,102.5,102.5,102.5,11,0
ALE0630.PL,5,20251103,090000,102.5,102.5,102.5,102.5,11,0
ALE0630.PL,5,20251105,103000,102.5,102.5,102.5,102.5,5,0
ALE0630.PL,5,20251105,121500,102.5,102.5,102.5,102.5,5,0
ALE0630.PL,5,20251201,121000,102.5,102.5,102.5,102.5,4,0
ALE0630.PL,5,20251201,122000,102.5,102.5,102.5,102.5,5,0
