<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANW1126.PL,5,20250710,120000,102.8,102.8,102.8,102.8,10,0
ANW1126.PL,5,20250716,090000,102.75,102.75,102.75,102.75,27,0
ANW1126.PL,5,20250730,113000,102.5,102.5,102.5,102.5,3,0
ANW1126.PL,5,20250804,090000,102.5,102.5,102.5,102.5,5,0
ANW1126.PL,5,20250804,101500,102.5,102.5,102.5,102.5,6,0
ANW1126.PL,5,20250806,110000,102.4,102.4,102.4,102.4,5,0
ANW1126.PL,5,20250807,100000,102,102,102,102,1,0
ANW1126.PL,5,20250807,123500,102,102,102,102,10,0
ANW1126.PL,5,20250807,143500,102.2,102.2,102.2,102.2,12,0
ANW1126.PL,5,20250811,113500,102.2,102.2,102.2,102.2,5,0
ANW1126.PL,5,20250813,090000,102.2,102.2,102.2,102.2,6,0
ANW1126.PL,5,20250813,120000,102.2,102.2,102.2,102.2,17,0
ANW1126.PL,5,20250813,121500,102.2,102.2,102.2,102.2,15,0
ANW1126.PL,5,20250813,123000,102.2,102.2,102.2,102.2,15,0
ANW1126.PL,5,20250814,154500,102.2,102.2,102.2,102.2,5,0
ANW1126.PL,5,20250818,090000,102.2,102.2,102.2,102.2,10,0
ANW1126.PL,5,20250819,153000,102,102,102,102,20,0
ANW1126.PL,5,20250819,162500,102.1,102.1,102.1,102.1,3,0
ANW1126.PL,5,20250820,090000,102.1,102.1,102.1,102.1,3,0
ANW1126.PL,5,20250820,113000,102.1,102.1,102.1,102.1,2,0
ANW1126.PL,5,20250821,090000,102.1,102.1,102.1,102.1,10,0
ANW1126.PL,5,20250821,104500,102.1,102.1,102.1,102.1,7,0
ANW1126.PL,5,20250821,142500,102.1,102.1,102.1,102.1,3,0
ANW1126.PL,5,20250826,152000,102.1,102.1,102.1,102.1,15,0
ANW1126.PL,5,20250827,162000,102,102,102,102,40,0
ANW1126.PL,5,20251003,090000,102.1,102.1,102.1,102.1,5,0
ANW1126.PL,5,20251006,132500,102,102,102,102,2,0
ANW1126.PL,5,20251007,135500,102,102,102,102,10,0
ANW1126.PL,5,20251010,104500,102,102,102,102,3,0
ANW1126.PL,5,20251023,144500,102,102,102,102,8,0
ANW1126.PL,5,20251028,161000,102,102,102,102,10,0
ANW1126.PL,5,20251028,164500,102,102,102,102,8,0
ANW1126.PL,5,20251103,163000,101.8,101.8,101.8,101.8,40,0
ANW1126.PL,5,20251104,153500,102,102,102,102,3,0
ANW1126.PL,5,20251106,160500,102,102,102,102,1,0
ANW1126.PL,5,20251107,150000,102,102,102,102,10,0
ANW1126.PL,5,20251107,164000,102,102,102,102,10,0
ANW1126.PL,5,20251110,140000,102,102,102,102,10,0
ANW1126.PL,5,20251113,134500,102,102,102,102,10,0
ANW1126.PL,5,20251117,113500,101.75,101.75,101.75,101.75,19,0
ANW1126.PL,5,20251117,124500,101.75,101.75,101.75,101.75,25,0
ANW1126.PL,5,20251118,090000,101.75,101.75,101.75,101.75,9,0
ANW1126.PL,5,20251120,122500,102,102,102,102,10,0
ANW1126.PL,5,20251126,144000,102,102,102,102,5,0
ANW1126.PL,5,20251128,110500,102,102,102,102,5,0
