<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BFT0330.PL,5,20250708,093000,101.5,101.5,101.5,101.5,170,0
BFT0330.PL,5,20250708,113500,101.5,101.5,101.5,101.5,62,0
BFT0330.PL,5,20250709,102000,101.5,101.5,101.5,101.5,200,0
BFT0330.PL,5,20250710,091000,101.1,101.1,101.1,101.1,3,0
BFT0330.PL,5,20250710,132500,101,101,101,101,3,0
BFT0330.PL,5,20250710,135000,101.1,101.1,101.1,101.1,2,0
BFT0330.PL,5,20250710,142500,101.8,101.8,101.8,101.8,13,0
BFT0330.PL,5,20250711,094000,100.36,100.36,100.35,100.35,8,0
BFT0330.PL,5,20250714,090500,100.35,100.35,100.35,100.35,2,0
BFT0330.PL,5,20250723,123000,101.49,101.49,101.49,101.49,2,0
BFT0330.PL,5,20250725,090000,101.49,101.49,101.49,101.49,1,0
BFT0330.PL,5,20250730,163500,101.49,101.49,101.49,101.49,4,0
BFT0330.PL,5,20250731,111000,101.49,101.49,101.49,101.49,60,0
BFT0330.PL,5,20250801,152000,101.49,101.49,101.49,101.49,40,0
BFT0330.PL,5,20250804,141000,101.49,101.49,101.49,101.49,22,0
BFT0330.PL,5,20250806,161500,101.8,101.8,101.8,101.8,2,0
BFT0330.PL,5,20250808,091000,101.8,101.8,101.8,101.8,5,0
BFT0330.PL,5,20250808,162500,101.8,101.8,101.8,101.8,6,0
BFT0330.PL,5,20250812,103500,102,102,102,102,12,0
BFT0330.PL,5,20250812,140000,102,102,102,102,40,0
BFT0330.PL,5,20250812,150500,102,102,102,102,5,0
BFT0330.PL,5,20250814,090000,102.5,102.5,102.5,102.5,3,0
BFT0330.PL,5,20250818,090000,102.5,102.5,102.5,102.5,9,0
BFT0330.PL,5,20250819,131500,102.5,102.5,102.5,102.5,2,0
BFT0330.PL,5,20250820,093000,102,102,102,102,20,0
BFT0330.PL,5,20250820,104500,102,102,102,102,15,0
BFT0330.PL,5,20250825,094000,101.9,101.9,101.9,101.9,20,0
BFT0330.PL,5,20250901,120500,102.5,102.5,102.5,102.5,93,0
BFT0330.PL,5,20250902,124500,102.5,102.5,102.5,102.5,1,0
BFT0330.PL,5,20250909,154500,102.5,102.5,102.5,102.5,1,0
BFT0330.PL,5,20250911,135000,102.94,102.94,102.94,102.94,35,0
BFT0330.PL,5,20250911,154000,102.4,102.4,102.4,102.4,4,0
BFT0330.PL,5,20250915,160000,102.4,102.4,102.25,102.25,49,0
BFT0330.PL,5,20250918,162000,102.94,102.94,102.94,102.94,10,0
BFT0330.PL,5,20250923,093500,102.94,102.94,102.94,102.94,38,0
BFT0330.PL,5,20250926,093000,102.5,102.5,102.5,102.5,6,0
BFT0330.PL,5,20250926,134000,102.5,102.5,102.5,102.5,10,0
BFT0330.PL,5,20251003,141500,102.7,102.7,102.6,102.6,25,0
BFT0330.PL,5,20251017,142000,103.23,103.23,103.23,103.23,6,0
BFT0330.PL,5,20251017,142500,103.23,103.23,103.23,103.23,4,0
BFT0330.PL,5,20251020,113500,102.2,102.2,102.2,102.2,1,0
BFT0330.PL,5,20251021,145000,102.55,102.55,102.55,102.55,20,0
BFT0330.PL,5,20251027,100000,102.57,102.57,102.56,102.56,27,0
BFT0330.PL,5,20251031,134000,103.21,103.21,103.21,103.21,2,0
BFT0330.PL,5,20251031,161000,103.21,103.21,103.21,103.21,3,0
BFT0330.PL,5,20251105,161500,102.99,102.99,102.99,102.99,10,0
BFT0330.PL,5,20251107,134000,102.99,102.99,102.99,102.99,1,0
BFT0330.PL,5,20251112,154500,102,102,102,102,213,0
BFT0330.PL,5,20251114,115000,102.49,102.5,102.49,102.5,9,0
BFT0330.PL,5,20251118,121500,102.5,102.5,102.5,102.5,3,0
BFT0330.PL,5,20251119,090000,102.49,102.49,102.49,102.49,4,0
BFT0330.PL,5,20251119,093500,102.49,102.49,102.49,102.49,1,0
BFT0330.PL,5,20251119,162500,102.1,102.1,102.1,102.1,62,0
BFT0330.PL,5,20251120,090000,102.1,102.1,102.1,102.1,3,0
BFT0330.PL,5,20251120,112000,102.1,102.1,102.1,102.1,6,0
BFT0330.PL,5,20251121,132000,102.43,102.43,102.43,102.43,4,0
BFT0330.PL,5,20251121,132500,102.44,102.44,102.44,102.44,5,0
BFT0330.PL,5,20251121,133000,102.44,102.44,102.44,102.44,6,0
BFT0330.PL,5,20251121,165500,102.43,102.43,102.43,102.43,8,0
BFT0330.PL,5,20251124,094500,101.57,101.57,101.57,101.57,5,0
BFT0330.PL,5,20251201,114000,102.43,102.43,102.43,102.43,3,0
BFT0330.PL,5,20251201,122500,101.75,101.75,101.75,101.75,4,0
BFT0330.PL,5,20251201,165500,102.43,102.43,102.43,102.43,6,0
