<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAV1227.PL,5,20250707,124500,99.38,99.38,99.38,99.38,19,0
CAV1227.PL,5,20250709,090000,99.3,99.3,99.3,99.3,28,0
CAV1227.PL,5,20250709,111000,99.2,99.2,99.2,99.2,30,0
CAV1227.PL,5,20250709,130000,99.2,99.2,99.2,99.2,20,0
CAV1227.PL,5,20250709,133500,99.3,99.38,99.3,99.38,95,0
CAV1227.PL,5,20250710,132000,99.2,99.2,98.6,98.6,67,0
CAV1227.PL,5,20250710,153000,99.35,99.35,99.35,99.35,150,0
CAV1227.PL,5,20250710,153500,99.37,99.37,99.37,99.37,80,0
CAV1227.PL,5,20250710,154500,99.38,99.38,99.38,99.38,51,0
CAV1227.PL,5,20250710,160000,99.38,99.38,99.38,99.38,50,0
CAV1227.PL,5,20250710,161000,99.38,99.38,99.38,99.38,6,0
CAV1227.PL,5,20250715,131500,99.75,99.75,99.75,99.75,2,0
CAV1227.PL,5,20250716,090000,99.75,99.75,99.75,99.75,87,0
CAV1227.PL,5,20250717,125500,99.25,99.25,99.25,99.25,30,0
CAV1227.PL,5,20250718,111500,99.25,99.25,99.25,99.25,33,0
CAV1227.PL,5,20250721,090000,99,99,99,99,4,0
CAV1227.PL,5,20250723,114500,99.5,99.5,99.5,99.5,28,0
CAV1227.PL,5,20250724,105000,99.69,99.69,99.69,99.69,40,0
CAV1227.PL,5,20250725,132000,99.67,99.67,99.67,99.67,100,0
CAV1227.PL,5,20250725,132500,99.67,99.67,99.67,99.67,200,0
CAV1227.PL,5,20250725,133000,99.67,99.67,99.67,99.67,200,0
CAV1227.PL,5,20250725,133500,99.69,99.69,99.69,99.69,144,0
CAV1227.PL,5,20250725,140000,99.69,99.69,99.69,99.69,206,0
CAV1227.PL,5,20250725,160500,99.5,99.5,99.5,99.5,26,0
CAV1227.PL,5,20250725,161500,99.5,99.5,99.5,99.5,15,0
CAV1227.PL,5,20250725,164500,99.2,99.2,99.2,99.2,89,0
CAV1227.PL,5,20250729,160500,99.69,99.69,99.69,99.69,300,0
CAV1227.PL,5,20250801,103500,98.55,98.55,98.55,98.55,70,0
CAV1227.PL,5,20250801,113500,99.69,99.69,99.69,99.69,350,0
CAV1227.PL,5,20250801,161000,99.68,99.68,99.68,99.68,16,0
CAV1227.PL,5,20250801,161500,99.68,99.68,99.68,99.68,54,0
CAV1227.PL,5,20250804,163500,99.25,99.25,99.25,99.25,50,0
CAV1227.PL,5,20250805,090000,98.89,98.89,98.89,98.89,49,0
CAV1227.PL,5,20250805,091500,98.89,98.89,98.89,98.89,30,0
CAV1227.PL,5,20250805,092000,98.89,98.89,98.89,98.89,11,0
CAV1227.PL,5,20250805,094000,99.34,99.34,99.34,99.34,40,0
CAV1227.PL,5,20250805,121500,99.25,99.25,99.25,99.25,30,0
CAV1227.PL,5,20250805,134500,99.23,99.23,99.23,99.23,30,0
CAV1227.PL,5,20250805,165500,99.22,99.22,99.22,99.22,37,0
CAV1227.PL,5,20250806,114500,99.23,99.23,99.23,99.23,16,0
CAV1227.PL,5,20250806,120000,99.24,99.24,99.24,99.24,15,0
CAV1227.PL,5,20250806,141500,99.24,99.24,99.24,99.24,60,0
CAV1227.PL,5,20250806,165500,99.24,99.24,99.24,99.24,46,0
CAV1227.PL,5,20250807,090000,99.24,99.24,99.24,99.24,3,0
CAV1227.PL,5,20250807,164500,99.24,99.24,99.24,99.24,16,0
CAV1227.PL,5,20250808,090000,99.01,99.01,99.01,99.01,40,0
CAV1227.PL,5,20250808,091000,99.24,99.24,99.24,99.24,30,0
CAV1227.PL,5,20250808,105000,99.24,99.24,99.24,99.24,20,0
CAV1227.PL,5,20250808,143000,99.34,99.34,99.34,99.34,5,0
CAV1227.PL,5,20250808,145500,99.34,99.34,99.34,99.34,55,0
CAV1227.PL,5,20250808,151000,99.68,99.69,99.68,99.69,145,0
CAV1227.PL,5,20250808,161500,99.69,99.69,99.69,99.69,30,0
CAV1227.PL,5,20250811,164000,99.69,99.69,99.69,99.69,20,0
CAV1227.PL,5,20250813,134500,99.1,99.1,99,99,200,0
CAV1227.PL,5,20250814,165500,99.69,99.69,99.69,99.69,14,0
CAV1227.PL,5,20250818,090000,99.01,99.01,99.01,99.01,9,0
CAV1227.PL,5,20250818,161500,99.6,99.6,99.6,99.6,7,0
CAV1227.PL,5,20250819,164500,99.6,99.68,99.6,99.68,110,0
CAV1227.PL,5,20250821,122500,99.68,99.69,99.68,99.69,140,0
CAV1227.PL,5,20250821,155000,99.69,99.69,99.69,99.69,69,0
CAV1227.PL,5,20250821,163500,99.69,99.69,99.69,99.69,50,0
CAV1227.PL,5,20250822,091500,99.6,99.6,99.6,99.6,20,0
CAV1227.PL,5,20250822,093500,99.69,99.69,99.69,99.69,236,0
CAV1227.PL,5,20250822,105500,99.61,99.61,99.61,99.61,37,0
CAV1227.PL,5,20250822,113000,99.61,99.61,99.61,99.61,112,0
CAV1227.PL,5,20250822,150000,99.9,99.99,99.9,99.99,100,0
CAV1227.PL,5,20250827,115500,99.85,99.85,99.85,99.85,49,0
CAV1227.PL,5,20250827,132000,99.98,99.99,99.98,99.99,7,0
CAV1227.PL,5,20250827,133000,99.99,99.99,99.99,99.99,6,0
CAV1227.PL,5,20250829,104000,99.67,99.67,99.67,99.67,13,0
CAV1227.PL,5,20250901,115000,99.67,99.67,99.67,99.67,100,0
CAV1227.PL,5,20250901,133500,99.67,99.99,99.67,99.99,151,0
CAV1227.PL,5,20250903,114000,99,99,99,99,100,0
CAV1227.PL,5,20250903,134500,99,99,99,99,23,0
CAV1227.PL,5,20250903,151000,99,99,99,99,53,0
CAV1227.PL,5,20250903,155500,99,99,99,99,111,0
CAV1227.PL,5,20250903,161000,99,99.79,99,99.79,83,0
CAV1227.PL,5,20250905,132500,99,99,99,99,103,0
CAV1227.PL,5,20250905,133000,99,99,99,99,192,0
CAV1227.PL,5,20250905,141000,99,99,99,99,57,0
CAV1227.PL,5,20250905,141500,99,99,99,99,51,0
CAV1227.PL,5,20250905,142000,99,99,99,99,82,0
CAV1227.PL,5,20250905,142500,99,99,99,99,609,0
CAV1227.PL,5,20250905,143500,99,99,99,99,98,0
CAV1227.PL,5,20250905,144500,99,99,99,99,52,0
CAV1227.PL,5,20250905,150500,99,99,99,99,57,0
CAV1227.PL,5,20250908,093000,98.33,98.33,98.33,98.33,100,0
CAV1227.PL,5,20250908,094500,98.33,98.33,98.33,98.33,242,0
CAV1227.PL,5,20250908,100500,98.33,98.33,98.33,98.33,111,0
CAV1227.PL,5,20250908,102500,98.33,98.33,98.33,98.33,171,0
CAV1227.PL,5,20250908,103000,98.33,98.33,98.33,98.33,376,0
CAV1227.PL,5,20250908,103500,98.33,98.33,98.3,98.3,1000,0
CAV1227.PL,5,20250908,104500,98.33,98.33,98.33,98.33,98,0
CAV1227.PL,5,20250908,105000,98.33,98.33,98.33,98.33,50,0
CAV1227.PL,5,20250908,105500,98.33,98.33,98.33,98.33,99,0
CAV1227.PL,5,20250908,112000,98.33,98.33,98.33,98.33,33,0
CAV1227.PL,5,20250908,113000,98.33,98.33,98.33,98.33,1720,0
CAV1227.PL,5,20250908,114500,98.33,98.33,98.33,98.33,1000,0
CAV1227.PL,5,20250908,115500,98.33,98.33,98.33,98.33,1000,0
CAV1227.PL,5,20250908,124500,98.4,98.4,98.4,98.4,470,0
CAV1227.PL,5,20250908,125000,98.4,98.4,98.4,98.4,71,0
CAV1227.PL,5,20250908,130000,98.4,98.4,98.4,98.4,174,0
CAV1227.PL,5,20250908,130500,98.4,98.4,98.4,98.4,285,0
CAV1227.PL,5,20250908,132500,98.41,98.41,98.33,98.33,1000,0
CAV1227.PL,5,20250908,141500,98.99,98.99,98.99,98.99,50,0
CAV1227.PL,5,20250908,142000,98.99,99,98.99,99,103,0
CAV1227.PL,5,20250908,143500,99.45,99.45,99.45,99.45,100,0
CAV1227.PL,5,20250908,162500,99.73,99.73,99.73,99.73,494,0
CAV1227.PL,5,20250909,093000,99.82,99.82,99.82,99.82,50,0
CAV1227.PL,5,20250909,105500,99.82,99.82,99.82,99.82,67,0
CAV1227.PL,5,20250909,124500,99.82,99.84,99.82,99.83,300,0
CAV1227.PL,5,20250911,132500,99.4,99.4,99.4,99.4,98,0
CAV1227.PL,5,20250911,160000,99.4,99.4,99.4,99.4,10,0
CAV1227.PL,5,20250911,160500,99.4,99.4,99.4,99.4,2,0
CAV1227.PL,5,20250911,165500,99.4,99.4,99.4,99.4,25,0
CAV1227.PL,5,20250915,160000,99.7,99.7,99.7,99.7,85,0
CAV1227.PL,5,20250915,161000,99.7,99.7,99.7,99.7,29,0
CAV1227.PL,5,20250915,162000,99.7,99.7,99.7,99.7,57,0
CAV1227.PL,5,20250916,161000,99.99,99.99,99.99,99.99,151,0
CAV1227.PL,5,20250917,112500,99.99,99.99,99.99,99.99,50,0
CAV1227.PL,5,20250918,133000,99.8,99.8,99.8,99.8,100,0
CAV1227.PL,5,20250923,133500,99.99,99.99,99.99,99.99,50,0
CAV1227.PL,5,20250923,141000,99.99,99.99,99.99,99.99,3,0
CAV1227.PL,5,20250923,152000,99.99,99.99,99.99,99.99,16,0
CAV1227.PL,5,20250924,162000,99.99,99.99,99.99,99.99,514,0
CAV1227.PL,5,20250924,162500,100,100,100,100,86,0
CAV1227.PL,5,20250925,132000,100,100,100,100,237,0
CAV1227.PL,5,20250929,111000,100,100,100,100,12,0
CAV1227.PL,5,20250929,153500,99.81,99.81,99.81,99.81,26,0
CAV1227.PL,5,20251002,150000,100.79,100.79,100.79,100.79,38,0
CAV1227.PL,5,20251006,152000,100.77,100.77,100.77,100.77,200,0
CAV1227.PL,5,20251007,091500,100.75,100.75,100.75,100.75,40,0
CAV1227.PL,5,20251010,164500,100.75,100.75,100.75,100.75,220,0
CAV1227.PL,5,20251014,141000,100.75,100.75,100.75,100.75,14,0
CAV1227.PL,5,20251015,090000,100.75,100.75,100.75,100.75,6,0
CAV1227.PL,5,20251015,165500,100.75,100.75,100.75,100.75,173,0
CAV1227.PL,5,20251016,110500,100.75,100.75,100.75,100.75,4,0
CAV1227.PL,5,20251016,111000,99.45,99.45,99.45,99.45,32,0
CAV1227.PL,5,20251017,094000,100.77,100.77,100.77,100.77,52,0
