<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DS1034.PL,5,20250707,095000,98.18,98.18,98.18,98.18,4,0
DS1034.PL,5,20250707,111500,98.16,98.16,98.16,98.16,10,0
DS1034.PL,5,20250707,120500,98.16,98.16,98.16,98.16,110,0
DS1034.PL,5,20250707,122000,98.16,98.16,98.16,98.16,3,0
DS1034.PL,5,20250707,130000,98.16,98.16,98.16,98.16,4,0
DS1034.PL,5,20250707,153000,98.16,98.16,98.16,98.16,4,0
DS1034.PL,5,20250707,154500,98.16,98.16,98.16,98.16,68,0
DS1034.PL,5,20250708,102500,98.1,98.1,97.61,97.61,315,0
DS1034.PL,5,20250708,111000,98.16,98.16,98.16,98.16,45,0
DS1034.PL,5,20250708,114500,98.1,98.16,98.1,98.16,10,0
DS1034.PL,5,20250708,134000,98.16,98.16,98.16,98.16,4,0
DS1034.PL,5,20250708,155500,98,98,98,98,32845,0
DS1034.PL,5,20250708,160000,98,98,98,98,4845,0
DS1034.PL,5,20250709,091000,98,98,98,98,4,0
DS1034.PL,5,20250709,100500,98,98,98,98,1147,0
DS1034.PL,5,20250709,161500,97.89,97.89,97.89,97.89,14,0
DS1034.PL,5,20250709,164000,97.66,97.66,97.66,97.66,1960,0
DS1034.PL,5,20250710,093000,97.85,97.85,97.85,97.85,300,0
DS1034.PL,5,20250710,094500,97.85,97.85,97.85,97.85,7,0
DS1034.PL,5,20250710,102500,97.8,97.8,97.8,97.8,196,0
DS1034.PL,5,20250710,105000,98.09,98.09,98.09,98.09,1,0
DS1034.PL,5,20250710,131000,97.85,97.85,97.8,97.8,21,0
DS1034.PL,5,20250710,132500,97.79,97.79,97.79,97.79,10,0
DS1034.PL,5,20250710,133500,97.79,97.79,97.79,97.79,5,0
DS1034.PL,5,20250710,140000,97.7,97.7,97.7,97.7,100,0
DS1034.PL,5,20250710,145000,97.8,97.8,97.8,97.8,150000,0
DS1034.PL,5,20250710,152000,98.05,98.05,98.05,98.05,813,0
DS1034.PL,5,20250710,155000,98.04,98.04,98.04,98.04,6,0
