<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECH0226.PL,5,20250707,090000,101.19,101.19,101.19,101.19,50,0
ECH0226.PL,5,20250707,094500,101.19,101.19,101.19,101.19,200,0
ECH0226.PL,5,20250710,162500,101,101,101,101,100,0
ECH0226.PL,5,20250714,090500,101.4,101.4,101.4,101.4,29,0
ECH0226.PL,5,20250714,100000,101.4,101.4,101.4,101.4,10,0
ECH0226.PL,5,20250714,101000,101.4,101.4,101.4,101.4,30,0
ECH0226.PL,5,20250714,160500,101.4,101.55,101.4,101.55,100,0
ECH0226.PL,5,20250714,163500,101.55,101.55,101.55,101.55,449,0
ECH0226.PL,5,20250715,092000,101.55,101.55,101.55,101.55,700,0
ECH0226.PL,5,20250715,120000,101,101,101,101,3,0
ECH0226.PL,5,20250715,164000,101.54,101.54,101.54,101.54,47,0
ECH0226.PL,5,20250716,092500,101.54,101.54,101.54,101.54,250,0
ECH0226.PL,5,20250718,114500,101.54,101.54,101.54,101.54,3,0
ECH0226.PL,5,20250721,090000,101.55,101.55,101.55,101.55,89,0
ECH0226.PL,5,20250721,091500,101.55,101.55,101.55,101.55,1,0
ECH0226.PL,5,20250721,114500,100.51,100.51,100.51,100.51,3,0
ECH0226.PL,5,20250722,090500,101.54,101.54,101.54,101.54,238,0
ECH0226.PL,5,20250724,105500,101.5,101.55,101.5,101.55,558,0
ECH0226.PL,5,20250728,124000,101.55,101.55,101.55,101.55,500,0
ECH0226.PL,5,20250729,093000,100.65,100.65,100.5,100.5,150,0
ECH0226.PL,5,20250730,114000,101.19,101.19,101.19,101.19,24,0
ECH0226.PL,5,20250731,105000,101.16,101.16,101.16,101.16,285,0
ECH0226.PL,5,20250731,130500,101.17,101.17,101.17,101.17,14,0
ECH0226.PL,5,20250801,121000,101.17,101.17,101.17,101.17,112,0
ECH0226.PL,5,20250805,160000,101,101,101,101,53,0
ECH0226.PL,5,20250807,142500,101.12,101.12,101.12,101.12,50,0
ECH0226.PL,5,20250813,111500,101.48,101.48,101.48,101.48,2,0
ECH0226.PL,5,20250813,114500,101.12,101.12,100.5,101.02,2000,0
ECH0226.PL,5,20250820,124000,101.25,101.25,101.25,101.25,50,0
ECH0226.PL,5,20250821,115000,101.49,101.49,101.49,101.49,200,0
ECH0226.PL,5,20250822,090000,101.45,101.45,101.45,101.45,30,0
ECH0226.PL,5,20250822,162000,101.49,101.49,101.49,101.49,20,0
ECH0226.PL,5,20250822,164500,101.49,101.49,101.49,101.49,28,0
ECH0226.PL,5,20250826,150000,101.12,101.12,101.12,101.12,4,0
ECH0226.PL,5,20250827,120500,101.54,101.54,101.54,101.54,696,0
ECH0226.PL,5,20250827,122000,101.54,101.54,101.54,101.54,40,0
ECH0226.PL,5,20250827,162000,101.54,101.55,101.54,101.55,150,0
ECH0226.PL,5,20250828,124500,101.55,101.55,101.55,101.55,300,0
ECH0226.PL,5,20250828,152000,101.55,101.55,101.55,101.55,50,0
ECH0226.PL,5,20250901,142000,101.55,101.55,101.55,101.55,24,0
ECH0226.PL,5,20250902,150500,101.3,101.3,101.3,101.3,245,0
ECH0226.PL,5,20250903,090000,101.55,101.55,101.55,101.55,129,0
ECH0226.PL,5,20250903,110500,101.55,101.55,101.55,101.55,471,0
ECH0226.PL,5,20250903,111000,101.55,101.55,101.55,101.55,309,0
ECH0226.PL,5,20250903,144000,101.55,101.55,101.55,101.55,60,0
ECH0226.PL,5,20250903,150500,101.55,101.55,101.55,101.55,200,0
ECH0226.PL,5,20250903,160000,101.55,101.55,101.55,101.55,5,0
ECH0226.PL,5,20250905,113000,101.5,101.5,101.5,101.5,2,0
ECH0226.PL,5,20250905,125000,101.5,101.5,101.5,101.5,236,0
ECH0226.PL,5,20250908,130000,101.54,101.55,101.54,101.55,214,0
ECH0226.PL,5,20250908,150500,101.55,101.55,101.54,101.54,144,0
ECH0226.PL,5,20250910,164000,101.22,101.22,101.22,101.22,15,0
ECH0226.PL,5,20250911,152000,101.22,101.22,101.22,101.22,100,0
ECH0226.PL,5,20250911,160500,101.45,101.45,101.45,101.45,100,0
ECH0226.PL,5,20250915,123500,101.94,101.94,101.94,101.94,200,0
ECH0226.PL,5,20250916,120000,101.41,101.41,101.41,101.41,7,0
ECH0226.PL,5,20250917,153000,101.89,101.89,101.89,101.89,19,0
ECH0226.PL,5,20250918,090000,101.87,101.87,101.87,101.87,10,0
ECH0226.PL,5,20250919,090000,101.22,101.22,101.22,101.22,175,0
ECH0226.PL,5,20250922,165500,101.87,101.87,101.87,101.87,22,0
ECH0226.PL,5,20250924,162500,101.3,101.3,101.3,101.3,1000,0
ECH0226.PL,5,20250925,134000,101.31,101.31,101.31,101.31,155,0
ECH0226.PL,5,20250925,134500,101.31,101.31,101.31,101.31,167,0
ECH0226.PL,5,20250926,153500,101.31,101.31,101.31,101.31,3,0
ECH0226.PL,5,20250930,123000,101.85,101.85,101.85,101.85,258,0
ECH0226.PL,5,20250930,125500,101.85,101.85,101.85,101.85,36,0
ECH0226.PL,5,20251006,090000,101.38,101.38,101.38,101.38,14,0
ECH0226.PL,5,20251006,103000,101.42,101.42,101.41,101.41,66,0
ECH0226.PL,5,20251007,144000,101.44,101.44,101.44,101.44,15,0
ECH0226.PL,5,20251009,164500,101.16,101.16,101.16,101.16,11,0
ECH0226.PL,5,20251013,104500,101.35,101.35,101.35,101.35,50,0
ECH0226.PL,5,20251014,101000,101.22,101.22,101.22,101.22,50,0
ECH0226.PL,5,20251014,104000,101.7,101.7,101.7,101.7,4,0
ECH0226.PL,5,20251015,090000,101.21,101.21,101.21,101.21,50,0
ECH0226.PL,5,20251015,093500,101.21,101.21,101.21,101.21,50,0
ECH0226.PL,5,20251015,094500,101.2,101.2,101.2,101.2,50,0
ECH0226.PL,5,20251015,095000,101.12,101.12,101.12,101.12,50,0
ECH0226.PL,5,20251015,100000,101.12,101.12,101.1,101.1,100,0
ECH0226.PL,5,20251015,105000,101.1,101.1,101.1,101.1,30,0
ECH0226.PL,5,20251020,101500,101.1,101.1,101.1,101.1,80,0
ECH0226.PL,5,20251022,113000,101.15,101.15,101.15,101.15,127,0
ECH0226.PL,5,20251023,094000,101.16,101.16,101.16,101.16,17,0
ECH0226.PL,5,20251023,124500,101.15,101.15,101.15,101.15,81,0
ECH0226.PL,5,20251027,130000,101.5,101.56,101.5,101.56,54,0
ECH0226.PL,5,20251029,102500,101.1,101.1,101.1,101.1,50,0
ECH0226.PL,5,20251029,145000,101.1,101.1,101.1,101.1,100,0
ECH0226.PL,5,20251030,133000,101.08,101.08,100.3,100.3,655,0
ECH0226.PL,5,20251104,095000,101.34,101.34,101.34,101.34,9,0
ECH0226.PL,5,20251112,165500,100.9,100.9,100.9,100.9,100,0
ECH0226.PL,5,20251114,125000,100.71,100.71,100.7,100.7,135,0
ECH0226.PL,5,20251118,111000,100.6,100.6,100.6,100.6,100,0
ECH0226.PL,5,20251118,133000,100.6,100.6,100.6,100.6,30,0
ECH0226.PL,5,20251120,090000,100.69,100.69,100.69,100.69,100,0
ECH0226.PL,5,20251126,093500,100.33,100.33,100.33,100.33,50,0
ECH0226.PL,5,20251128,104500,100.66,100.66,100.66,100.66,1,0
ECH0226.PL,5,20251128,151000,100.66,100.66,100.66,100.66,11,0
ECH0226.PL,5,20251201,113000,100.36,100.36,100.36,100.36,74,0
ECH0226.PL,5,20251201,120000,100.61,100.61,100.61,100.61,100,0
ECH0226.PL,5,20251201,134000,100.51,100.51,100.51,100.51,4,0
ECH0226.PL,5,20251202,164500,100.6,100.61,100.6,100.61,32,0
