<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GHE1227.PL,5,20250707,090500,84.99,84.99,84.99,84.99,120,0
GHE1227.PL,5,20250707,120000,84.5,84.5,84.5,84.5,65,0
GHE1227.PL,5,20250707,121500,84.7,84.7,84.7,84.7,68,0
GHE1227.PL,5,20250707,133500,84.5,84.5,84.5,84.5,9,0
GHE1227.PL,5,20250707,141000,84.5,84.5,84.5,84.5,6,0
GHE1227.PL,5,20250708,091000,84.5,84.5,84.5,84.5,68,0
GHE1227.PL,5,20250709,094500,89.9,89.9,89.9,89.9,27,0
GHE1227.PL,5,20250709,140500,93.98,93.98,93.98,93.98,38,0
GHE1227.PL,5,20250710,115000,92.99,93,92.99,93,54,0
GHE1227.PL,5,20250710,122000,93,93,93,93,63,0
GHE1227.PL,5,20250710,131500,92.3,92.3,92.3,92.3,67,0
GHE1227.PL,5,20250710,135000,92,92,92,92,100,0
GHE1227.PL,5,20250714,091500,93.8,93.9,93.8,93.9,462,0
GHE1227.PL,5,20250718,131500,93,93,93,93,9,0
GHE1227.PL,5,20250722,090000,93,93,93,93,5,0
GHE1227.PL,5,20250722,163000,93,93,93,93,15,0
GHE1227.PL,5,20250724,114500,93,93,93,93,18,0
GHE1227.PL,5,20250724,120000,93,93,93,93,12,0
GHE1227.PL,5,20250724,144000,93,93,93,93,20,0
GHE1227.PL,5,20250725,105500,93,93,93,93,3,0
GHE1227.PL,5,20250728,102000,93,93,93,93,24,0
GHE1227.PL,5,20250729,111000,93,93,93,93,33,0
GHE1227.PL,5,20250729,124500,93,93,93,93,40,0
GHE1227.PL,5,20250729,130500,93.35,93.35,93.35,93.35,23,0
GHE1227.PL,5,20250729,155000,93.5,93.5,93.5,93.5,3,0
GHE1227.PL,5,20250731,152000,93.49,93.49,93.49,93.49,5,0
GHE1227.PL,5,20250804,090000,92,92,92,92,1,0
GHE1227.PL,5,20250804,153500,92,92,92,92,20,0
GHE1227.PL,5,20250804,160500,91,91,90,90,29,0
GHE1227.PL,5,20250806,130500,93.49,93.49,93.49,93.49,17,0
GHE1227.PL,5,20250806,131000,93.5,93.5,93.5,93.5,26,0
GHE1227.PL,5,20250807,090000,93.48,93.48,93.48,93.48,6,0
GHE1227.PL,5,20250807,153000,93.48,93.48,93.48,93.48,70,0
GHE1227.PL,5,20250808,110500,93.48,93.48,93.48,93.48,2,0
GHE1227.PL,5,20250818,132500,93.46,93.46,93.46,93.46,22,0
GHE1227.PL,5,20250818,135000,93.46,93.46,93.46,93.46,29,0
GHE1227.PL,5,20250818,141000,93.47,93.47,93.47,93.47,30,0
GHE1227.PL,5,20250818,143000,93.46,93.48,93.46,93.48,19,0
GHE1227.PL,5,20250818,143500,93.48,93.48,93.48,93.48,35,0
GHE1227.PL,5,20250821,105000,90.97,90.97,90.97,90.97,21,0
GHE1227.PL,5,20250821,125500,93.47,93.47,93.47,93.47,20,0
GHE1227.PL,5,20250826,090000,93.48,93.48,93.48,93.48,2,0
GHE1227.PL,5,20250829,090000,93.47,93.47,93.47,93.47,8,0
GHE1227.PL,5,20250915,121000,89.01,89.01,89,89,19,0
GHE1227.PL,5,20250916,120000,92.99,92.99,92.99,92.99,4,0
GHE1227.PL,5,20250925,152500,91.55,91.55,91.55,91.55,34,0
GHE1227.PL,5,20251001,131500,89.4,89.4,89.4,89.4,6,0
GHE1227.PL,5,20251002,133000,89.4,89.4,89.4,89.4,3,0
GHE1227.PL,5,20251002,133500,85,85,85,85,29,0
GHE1227.PL,5,20251020,161500,87.69,87.69,87.69,87.69,10,0
GHE1227.PL,5,20251023,090500,87.7,87.7,87.7,87.7,4,0
GHE1227.PL,5,20251023,120000,87.7,87.7,87.7,87.7,35,0
GHE1227.PL,5,20251027,131000,86.01,86.01,86.01,86.01,10,0
GHE1227.PL,5,20251027,153500,86,86,86,86,10,0
GHE1227.PL,5,20251105,120500,85.99,85.99,85.99,85.99,6,0
GHE1227.PL,5,20251119,120500,85.98,85.98,85.98,85.98,1,0
GHE1227.PL,5,20251124,092500,75,75,75,75,50,0
GHE1227.PL,5,20251127,141500,81.98,81.98,81.98,81.98,12,0
