<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IZ0831.PL,5,20250708,092000,95.56,95.56,95.56,95.56,5,0
IZ0831.PL,5,20250708,110000,95.56,95.57,95.56,95.57,78,0
IZ0831.PL,5,20250708,153000,95.56,95.56,95.56,95.56,1,0
IZ0831.PL,5,20250709,090000,95.57,95.57,95.57,95.57,12,0
IZ0831.PL,5,20250715,091500,94.64,94.64,94.64,94.64,5,0
IZ0831.PL,5,20250715,131000,95.5,95.5,95.5,95.5,1,0
IZ0831.PL,5,20250721,090000,95.51,95.51,95.51,95.51,7,0
IZ0831.PL,5,20250722,101500,95.51,95.51,95.51,95.51,1,0
IZ0831.PL,5,20250723,110000,95.5,95.5,95.5,95.5,15,0
IZ0831.PL,5,20250728,144000,95.51,95.51,95.51,95.51,1,0
IZ0831.PL,5,20250729,164000,95.88,95.88,95.88,95.88,1,0
IZ0831.PL,5,20250731,101500,95.87,95.87,95.87,95.87,1,0
IZ0831.PL,5,20250731,161000,95.63,95.63,95.63,95.63,1,0
IZ0831.PL,5,20250805,142000,95.75,95.75,95.75,95.75,5,0
IZ0831.PL,5,20250805,161000,95.88,95.88,95.88,95.88,4,0
IZ0831.PL,5,20250806,090000,95.88,95.88,95.88,95.88,5,0
IZ0831.PL,5,20250806,124000,95.88,95.88,95.88,95.88,4,0
IZ0831.PL,5,20250806,161500,95.88,95.88,95.88,95.88,3,0
IZ0831.PL,5,20250808,161500,95.88,95.88,95.88,95.88,3,0
IZ0831.PL,5,20250811,090000,95.88,95.88,95.88,95.88,1,0
IZ0831.PL,5,20250811,091000,95.88,95.88,95.88,95.88,3,0
IZ0831.PL,5,20250811,092500,95.88,95.88,95.88,95.88,1,0
IZ0831.PL,5,20250812,145500,95.97,95.98,95.97,95.98,114,0
IZ0831.PL,5,20250813,115500,94.64,94.64,94.64,94.64,3,0
IZ0831.PL,5,20250814,134000,95.98,95.98,95.98,95.98,3,0
IZ0831.PL,5,20250819,133000,95.98,95.98,95.98,95.98,102,0
IZ0831.PL,5,20250820,114500,95.98,95.98,95.98,95.98,5,0
IZ0831.PL,5,20250821,090000,95.98,95.98,95.98,95.98,1,0
IZ0831.PL,5,20250822,100000,95.98,95.98,95.98,95.98,5,0
IZ0831.PL,5,20250822,101000,95.98,95.98,95.98,95.98,5,0
IZ0831.PL,5,20250825,090000,95.98,95.98,95.98,95.98,9,0
IZ0831.PL,5,20250825,121500,96.5,96.5,96.5,96.5,17,0
IZ0831.PL,5,20250825,122500,96.5,96.5,96.5,96.5,22,0
IZ0831.PL,5,20250827,094000,96.5,96.5,96.5,96.5,4,0
IZ0831.PL,5,20250829,090000,96.5,96.5,96.5,96.5,10,0
IZ0831.PL,5,20250902,134000,96.5,96.5,96.5,96.5,2,0
IZ0831.PL,5,20250908,090000,96.5,96.5,96.5,96.5,7,0
IZ0831.PL,5,20250909,142000,95.52,95.52,95.52,95.52,2,0
IZ0831.PL,5,20250910,102000,95.52,95.52,95.5,95.5,123,0
IZ0831.PL,5,20250910,135500,95.44,95.44,95.44,95.44,10,0
IZ0831.PL,5,20250910,164000,95.44,95.44,95.44,95.44,1,0
IZ0831.PL,5,20250910,164500,95.44,95.44,95.44,95.44,3,0
IZ0831.PL,5,20250911,090000,95.44,95.44,95.44,95.44,2,0
IZ0831.PL,5,20250911,155000,95.44,95.44,95.44,95.44,2,0
IZ0831.PL,5,20250912,090000,94.64,94.64,94.64,94.64,1,0
IZ0831.PL,5,20250912,143500,95.44,95.44,95.44,95.44,1,0
IZ0831.PL,5,20250916,132000,96,96,96,96,4,0
IZ0831.PL,5,20250918,090000,96,96,96,96,10,0
IZ0831.PL,5,20250926,125500,95.69,95.69,95.69,95.69,100,0
IZ0831.PL,5,20250929,160000,96.5,96.5,96.5,96.5,1,0
IZ0831.PL,5,20251001,151500,96.5,96.5,96.5,96.5,39,0
IZ0831.PL,5,20251002,090000,96.5,96.5,96.5,96.5,6,0
IZ0831.PL,5,20251003,090000,96.5,96.5,96.5,96.5,5,0
IZ0831.PL,5,20251003,112000,96.5,96.5,96.5,96.5,9,0
IZ0831.PL,5,20251003,150500,96.5,96.5,96.5,96.5,7,0
IZ0831.PL,5,20251007,114500,96.54,96.54,96.54,96.54,5,0
IZ0831.PL,5,20251007,120500,96.5,96.5,96.5,96.5,1,0
IZ0831.PL,5,20251007,133500,96.5,96.5,96.5,96.5,23,0
IZ0831.PL,5,20251010,163000,96.5,96.5,96.5,96.5,4,0
IZ0831.PL,5,20251013,112500,96.2,96.2,96.2,96.2,1,0
IZ0831.PL,5,20251013,114000,95.6,95.6,95.6,95.6,1992,0
IZ0831.PL,5,20251014,150000,96.5,96.5,96.5,96.5,1,0
IZ0831.PL,5,20251015,103500,95.6,95.6,95.6,95.6,50,0
IZ0831.PL,5,20251017,131500,96.54,96.54,96.54,96.54,3,0
IZ0831.PL,5,20251021,090000,96.54,96.54,96.54,96.54,1,0
IZ0831.PL,5,20251022,090000,96.79,96.79,96.79,96.79,14,0
IZ0831.PL,5,20251022,141000,96.79,96.79,96.79,96.79,1,0
IZ0831.PL,5,20251023,142000,95.56,95.56,95.55,95.55,53,0
IZ0831.PL,5,20251024,090000,96.79,96.79,96.79,96.79,10,0
IZ0831.PL,5,20251024,131500,96.79,96.79,96.79,96.79,2,0
IZ0831.PL,5,20251027,090000,96.7,96.7,96.7,96.7,1,0
IZ0831.PL,5,20251028,162500,96.69,96.69,96.69,96.69,5,0
IZ0831.PL,5,20251030,090000,96.69,96.69,96.69,96.69,3,0
IZ0831.PL,5,20251103,095500,96.69,96.69,96.69,96.69,1,0
IZ0831.PL,5,20251104,112000,96.69,96.69,96.69,96.69,20,0
IZ0831.PL,5,20251104,114000,96.6,96.6,96.56,96.56,30,0
IZ0831.PL,5,20251104,164500,96.5,96.5,96.5,96.5,3,0
IZ0831.PL,5,20251105,114000,96.69,96.69,96.69,96.69,13,0
IZ0831.PL,5,20251105,125500,95.86,95.86,95.85,95.85,56,0
IZ0831.PL,5,20251106,124000,96.69,96.69,96.69,96.69,6,0
IZ0831.PL,5,20251107,135500,96.69,96.69,96.69,96.69,1,0
IZ0831.PL,5,20251107,140000,96.69,96.69,96.69,96.69,1,0
IZ0831.PL,5,20251110,090000,96.69,96.69,96.69,96.69,11,0
IZ0831.PL,5,20251110,114500,96.69,96.69,96.69,96.69,4,0
IZ0831.PL,5,20251112,090000,96.69,96.69,96.69,96.69,9,0
IZ0831.PL,5,20251114,115500,95.65,95.65,95.65,95.65,3,0
IZ0831.PL,5,20251114,120000,95.65,95.65,95.65,95.65,3,0
IZ0831.PL,5,20251114,162000,96.69,96.69,96.69,96.69,20,0
IZ0831.PL,5,20251118,143000,95.61,95.61,95.5,95.5,335,0
IZ0831.PL,5,20251119,152500,96.69,96.69,96.69,96.69,9,0
IZ0831.PL,5,20251120,090000,96.65,96.65,96.65,96.65,1,0
IZ0831.PL,5,20251124,140500,96.6,96.6,96.6,96.6,17,0
IZ0831.PL,5,20251125,164500,96.6,96.6,96.6,96.6,20,0
IZ0831.PL,5,20251126,150000,96.64,96.64,96.64,96.64,7,0
IZ0831.PL,5,20251126,150500,96.64,96.64,96.64,96.64,5,0
IZ0831.PL,5,20251126,152500,96.64,96.64,96.64,96.64,17,0
IZ0831.PL,5,20251126,153000,96.64,96.64,96.64,96.64,1,0
IZ0831.PL,5,20251126,154500,96.64,96.64,96.64,96.64,1,0
