<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OKA0926.PL,5,20250707,163500,100.75,100.75,100.75,100.75,9,0
OKA0926.PL,5,20250709,135000,101,101,101,101,7,0
OKA0926.PL,5,20250710,111500,101,101,101,101,18,0
OKA0926.PL,5,20250710,113500,101,101,101,101,10,0
OKA0926.PL,5,20250715,090000,101.1,101.1,101.1,101.1,47,0
OKA0926.PL,5,20250722,114000,101.1,101.1,101.1,101.1,20,0
OKA0926.PL,5,20250724,094000,101.1,101.1,101.1,101.1,4,0
OKA0926.PL,5,20250724,094500,101.1,101.1,101.1,101.1,14,0
OKA0926.PL,5,20250724,135500,101,101,101,101,26,0
OKA0926.PL,5,20250724,161500,101,101,101,101,4,0
OKA0926.PL,5,20250731,154500,101.2,101.2,101.2,101.2,5,0
OKA0926.PL,5,20250801,125000,101.2,101.2,101.2,101.2,17,0
OKA0926.PL,5,20250804,132000,101.2,101.2,101.2,101.2,14,0
OKA0926.PL,5,20250805,102000,101.2,101.2,101.2,101.2,100,0
OKA0926.PL,5,20250808,090000,101.18,101.18,101.18,101.18,15,0
OKA0926.PL,5,20250811,121000,101.17,101.17,101.17,101.17,15,0
OKA0926.PL,5,20250811,141000,101.18,101.18,101.18,101.18,9,0
OKA0926.PL,5,20250812,090500,101.18,101.18,101.18,101.18,10,0
OKA0926.PL,5,20250813,130500,101.18,101.18,101.18,101.18,4,0
OKA0926.PL,5,20250813,165500,97,97,97,97,21,0
OKA0926.PL,5,20250818,101000,101.18,101.18,101.18,101.18,4,0
OKA0926.PL,5,20250821,132500,101.18,101.18,101.18,101.18,14,0
OKA0926.PL,5,20250826,135000,101.18,101.18,101.18,101.18,13,0
OKA0926.PL,5,20250826,135500,101.18,101.18,101.18,101.18,11,0
OKA0926.PL,5,20250827,121000,101,101,101,101,7,0
OKA0926.PL,5,20250903,121500,101.1,101.1,101.1,101.1,1,0
OKA0926.PL,5,20250903,143500,101.1,101.1,101.1,101.1,30,0
OKA0926.PL,5,20250924,165500,101.5,101.5,101.5,101.5,4,0
OKA0926.PL,5,20250929,123500,101.5,101.5,101.5,101.5,3,0
OKA0926.PL,5,20251002,101000,100.5,100.5,100.5,100.5,10,0
OKA0926.PL,5,20251002,121500,101.5,101.5,101.5,101.5,3,0
OKA0926.PL,5,20251003,112000,101.5,101.5,101.5,101.5,9,0
OKA0926.PL,5,20251008,095000,101.35,101.35,101.35,101.35,6,0
OKA0926.PL,5,20251009,113000,101.1,101.1,101.1,101.1,10,0
OKA0926.PL,5,20251009,134000,101.1,101.1,101.1,101.1,20,0
OKA0926.PL,5,20251013,115000,101.1,101.1,101.1,101.1,10,0
OKA0926.PL,5,20251015,104500,101.5,101.5,101.5,101.5,10,0
OKA0926.PL,5,20251016,113500,101.5,101.5,101.5,101.5,20,0
OKA0926.PL,5,20251016,131000,101.65,101.65,101.65,101.65,10,0
OKA0926.PL,5,20251125,114000,101.2,101.45,101.2,101.45,10,0
OKA0926.PL,5,20251128,164000,100.16,100.16,100.15,100.15,20,0
OKA0926.PL,5,20251201,135000,100.02,100.02,100.02,100.02,10,0
