<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCX0925.PL,5,20250707,090000,99.7,99.7,99.7,99.7,158,0
PCX0925.PL,5,20250708,090000,99.56,99.56,99.56,99.56,181,0
PCX0925.PL,5,20250714,090000,99.8,99.8,99.8,99.8,30,0
PCX0925.PL,5,20250714,141500,99.52,99.52,99.52,99.52,65,0
PCX0925.PL,5,20250714,154500,99.6,99.6,99.6,99.6,100,0
PCX0925.PL,5,20250722,114000,99.77,99.77,99.77,99.77,51,0
PCX0925.PL,5,20250723,164500,99.8,99.8,99.8,99.8,21,0
PCX0925.PL,5,20250724,151500,99.8,99.8,99.8,99.8,79,0
PCX0925.PL,5,20250728,112000,99.7,99.7,99.7,99.7,50,0
PCX0925.PL,5,20250729,091500,99.89,99.89,99.89,99.89,60,0
PCX0925.PL,5,20250801,090000,99.89,99.89,99.89,99.89,181,0
PCX0925.PL,5,20250804,090000,99.9,99.9,99.9,99.9,286,0
PCX0925.PL,5,20250808,090500,99.9,99.9,99.9,99.9,40,0
PCX0925.PL,5,20250808,092000,99.9,99.9,99.9,99.9,30,0
PCX0925.PL,5,20250812,090000,99.8,99.8,99.8,99.8,67,0
PCX0925.PL,5,20250812,091000,99.8,99.8,99.8,99.8,33,0
PCX0925.PL,5,20250812,092500,99.8,99.8,99.8,99.8,70,0
PCX0925.PL,5,20250814,095000,99.7,99.7,99.7,99.7,44,0
PCX0925.PL,5,20250814,140000,99.8,99.8,99.8,99.8,20,0
PCX0925.PL,5,20250819,121500,99.8,99.9,99.8,99.9,510,0
PCX0925.PL,5,20250820,100000,99.9,99.9,99.9,99.9,30,0
PCX0925.PL,5,20250820,102500,99.9,99.9,99.9,99.9,20,0
PCX0925.PL,5,20250821,123000,99.7,99.7,99.7,99.7,26,0
PCX0925.PL,5,20250821,124500,99.7,99.7,99.7,99.7,24,0
PCX0925.PL,5,20250821,130000,99.7,99.7,99.7,99.7,11,0
PCX0925.PL,5,20250821,153500,99.7,99.7,99.7,99.7,19,0
PCX0925.PL,5,20250821,163000,99.7,99.7,99.7,99.7,81,0
PCX0925.PL,5,20250821,165500,99.7,99.7,99.7,99.7,19,0
PCX0925.PL,5,20250825,111000,99.9,99.9,99.9,99.9,5,0
PCX0925.PL,5,20250901,160000,99.7,99.7,99.7,99.7,30,0
PCX0925.PL,5,20250901,165500,99.94,99.94,99.94,99.94,12,0
