<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRF0127.PL,5,20250707,101000,101.2,101.2,101.2,101.2,10,0
PRF0127.PL,5,20250707,155500,100.41,100.41,100.4,100.4,177,0
PRF0127.PL,5,20250707,162500,100.4,100.4,100.4,100.4,224,0
PRF0127.PL,5,20250707,164000,100.4,100.4,100.4,100.4,199,0
PRF0127.PL,5,20250708,134000,100.41,100.41,100.4,100.4,245,0
PRF0127.PL,5,20250708,135000,100.4,100.4,100.4,100.4,245,0
PRF0127.PL,5,20250709,095500,101,101.2,101,101.05,114,0
PRF0127.PL,5,20250709,125000,101.19,101.2,101.19,101.2,33,0
PRF0127.PL,5,20250709,125500,101.2,101.2,101.2,101.2,58,0
PRF0127.PL,5,20250709,130000,101.2,101.2,101.2,101.2,15,0
PRF0127.PL,5,20250709,164500,101.19,101.19,101.19,101.19,150,0
PRF0127.PL,5,20250710,134000,100.6,100.6,100.6,100.6,34,0
PRF0127.PL,5,20250710,134500,100.6,100.6,100.6,100.6,137,0
PRF0127.PL,5,20250714,121000,100.46,100.46,100.45,100.45,47,0
PRF0127.PL,5,20250715,104500,101.05,101.05,101.05,101.05,100,0
PRF0127.PL,5,20250715,111000,101.03,101.04,101.03,101.04,88,0
PRF0127.PL,5,20250715,111500,101.05,101.05,101.05,101.05,60,0
PRF0127.PL,5,20250715,131000,100.4,100.4,100.4,100.4,200,0
PRF0127.PL,5,20250716,093000,100.41,100.41,100.4,100.4,138,0
PRF0127.PL,5,20250716,093500,100.4,100.4,100.4,100.4,6,0
PRF0127.PL,5,20250716,122000,101,101,101,101,20,0
PRF0127.PL,5,20250716,123000,101,101,101,101,80,0
PRF0127.PL,5,20250716,124000,101.04,101.04,101.04,101.04,6,0
PRF0127.PL,5,20250716,132000,101.14,101.14,101.14,101.14,30,0
PRF0127.PL,5,20250716,142500,101.14,101.14,101.14,101.14,84,0
PRF0127.PL,5,20250716,160500,101.1,101.1,101.1,101.1,57,0
PRF0127.PL,5,20250717,160000,101,101,101,101,20,0
PRF0127.PL,5,20250717,165500,101,101,101,101,70,0
PRF0127.PL,5,20250718,092500,100.8,100.8,100.8,100.8,51,0
PRF0127.PL,5,20250718,112000,100.8,100.8,100.8,100.8,80,0
PRF0127.PL,5,20250718,121500,101,101,101,101,15,0
PRF0127.PL,5,20250718,122000,101,101,101,101,100,0
PRF0127.PL,5,20250718,152500,101,101,101,101,28,0
PRF0127.PL,5,20250721,090000,101,101,101,101,94,0
PRF0127.PL,5,20250721,091500,101.14,101.15,101.14,101.15,49,0
PRF0127.PL,5,20250721,092500,101.15,101.15,101.15,101.15,19,0
PRF0127.PL,5,20250721,102000,101.15,101.15,101.15,101.15,2,0
PRF0127.PL,5,20250721,110000,101.2,101.2,101.2,101.2,40,0
PRF0127.PL,5,20250721,121000,101.2,101.37,101.2,101.37,177,0
PRF0127.PL,5,20250721,144000,101.37,101.37,101.37,101.37,50,0
PRF0127.PL,5,20250721,154000,101.37,101.37,101.37,101.37,89,0
PRF0127.PL,5,20250721,154500,101.38,101.38,101.38,101.38,100,0
PRF0127.PL,5,20250721,161000,101.38,101.38,100.33,100.42,588,0
PRF0127.PL,5,20250721,161500,101.47,101.47,101.47,101.47,17,0
PRF0127.PL,5,20250721,163500,101.44,101.44,101.44,101.44,20,0
PRF0127.PL,5,20250722,105000,101.42,101.42,101.42,101.42,74,0
PRF0127.PL,5,20250722,152000,101.4,101.4,101.4,101.4,50,0
PRF0127.PL,5,20250722,165500,101.4,101.4,101.4,101.4,50,0
PRF0127.PL,5,20250723,090000,101.41,101.41,101.4,101.4,55,0
PRF0127.PL,5,20250723,145500,101.4,101.4,101.4,101.4,40,0
PRF0127.PL,5,20250723,165500,101.4,101.4,101.4,101.4,10,0
PRF0127.PL,5,20250724,102500,101.11,101.11,100.4,100.4,177,0
PRF0127.PL,5,20250724,112500,101.42,101.42,101.42,101.42,76,0
PRF0127.PL,5,20250724,113000,101.44,101.44,101.44,101.44,24,0
PRF0127.PL,5,20250725,090000,101.44,101.44,101.44,101.44,66,0
PRF0127.PL,5,20250725,091000,101.57,101.57,101.57,101.57,5,0
PRF0127.PL,5,20250725,115000,101.56,101.56,101.56,101.56,47,0
PRF0127.PL,5,20250725,115500,101.56,101.57,101.56,101.57,49,0
PRF0127.PL,5,20250725,162000,101.56,101.57,101.56,101.57,70,0
PRF0127.PL,5,20250728,112000,101.57,101.58,101.57,101.58,64,0
PRF0127.PL,5,20250728,112500,101.57,101.57,101.57,101.57,48,0
PRF0127.PL,5,20250728,131000,101.57,101.57,101.57,101.57,50,0
PRF0127.PL,5,20250728,133000,101.57,101.57,101.57,101.57,27,0
PRF0127.PL,5,20250729,152000,101.58,101.6,101.58,101.6,220,0
PRF0127.PL,5,20250730,090000,101.6,101.6,101.6,101.6,100,0
PRF0127.PL,5,20250730,102500,101.6,101.6,101.6,101.6,27,0
PRF0127.PL,5,20250730,113500,101.6,101.6,101.6,101.6,23,0
PRF0127.PL,5,20250730,165500,101.77,101.77,101.77,101.77,30,0
PRF0127.PL,5,20250731,092500,101.77,101.77,101.77,101.77,13,0
PRF0127.PL,5,20250731,163000,101.77,101.77,101.77,101.77,75,0
PRF0127.PL,5,20250731,165500,101.77,101.77,101.77,101.77,30,0
PRF0127.PL,5,20250801,090000,101.77,101.77,101.77,101.77,8,0
