<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EAIFIZ.PL,5,20250709,160500,1885,1885,1885,1885,6,0
EAIFIZ.PL,5,20250729,103000,1880,1880,1880,1880,1,0
EAIFIZ.PL,5,20250903,153000,1925,1925,1880,1880,24,0
EAIFIZ.PL,5,20250909,090000,1885,1885,1885,1885,22,0
EAIFIZ.PL,5,20250917,164500,1930,1930,1930,1930,6,0
EAIFIZ.PL,5,20251010,152500,1940.1,1940.1,1940.1,1940.1,1,0
EAIFIZ.PL,5,20251020,090000,1985,1985,1985,1985,1,0
EAIFIZ.PL,5,20251021,100000,1985,1985,1985,1985,1,0
EAIFIZ.PL,5,20251021,155000,1990,1990,1990,1990,2,0
EAIFIZ.PL,5,20251027,161000,2000,2000,2000,2000,1,0
EAIFIZ.PL,5,20251119,163500,2000,2000,2000,2000,1,0
EAIFIZ.PL,5,20251124,135000,1965,1965,1965,1965,6,0
EAIFIZ.PL,5,20251128,125500,1970,1970,1970,1970,6,0
