<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INVCEEFIZ.PL,5,20250707,123500,557.1,557.1,557.1,557.1,3,0
INVCEEFIZ.PL,5,20250723,105000,522.1,522.1,522.1,522.1,37,0
INVCEEFIZ.PL,5,20250807,135000,618.15,619,618.15,619,13,0
INVCEEFIZ.PL,5,20250827,141500,590,590,590,590,5,0
INVCEEFIZ.PL,5,20250827,164500,603.99,603.99,603.99,603.99,28,0
INVCEEFIZ.PL,5,20250912,090000,601.1,601.1,601.1,601.1,48,0
INVCEEFIZ.PL,5,20250912,091000,639.9,639.9,639.9,639.9,3,0
INVCEEFIZ.PL,5,20251010,105000,610.1,610.1,610.1,610.1,5,0
INVCEEFIZ.PL,5,20251010,162500,609,609,609,609,3,0
INVCEEFIZ.PL,5,20251021,125500,609,609,609,609,37,0
INVCEEFIZ.PL,5,20251103,090000,601.1,601.1,601.1,601.1,11,0
INVCEEFIZ.PL,5,20251104,161000,620,620,620,620,1,0
INVCEEFIZ.PL,5,20251119,150500,580.1,580.1,580.1,580.1,7,0
INVCEEFIZ.PL,5,20251202,132000,583.1,583.1,583.1,583.1,1,0
