<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKOASZEWZ.PL,5,20250709,164500,109.05,109.05,109.05,109.05,38,0
PKOASZEWZ.PL,5,20250725,142000,109.31,109.31,109.31,109.31,100,0
PKOASZEWZ.PL,5,20250730,131500,109.48,109.48,109.48,109.48,100,0
PKOASZEWZ.PL,5,20250804,121000,109.56,109.56,109.56,109.56,500,0
PKOASZEWZ.PL,5,20250808,143000,109.77,109.77,109.77,109.77,100,0
PKOASZEWZ.PL,5,20250826,095000,110.53,110.53,110.53,110.53,100,0
PKOASZEWZ.PL,5,20250905,102000,110.55,110.55,110.5,110.5,450,0
PKOASZEWZ.PL,5,20250909,145000,110.31,110.31,110.31,110.31,100,0
PKOASZEWZ.PL,5,20250910,124000,110.34,110.34,110.34,110.34,198,0
PKOASZEWZ.PL,5,20250910,143000,110.34,110.34,110.34,110.34,100,0
PKOASZEWZ.PL,5,20250918,121000,109.37,109.37,109.37,109.37,100,0
PKOASZEWZ.PL,5,20251031,164000,110.03,110.03,110.03,110.03,10,0
PKOASZEWZ.PL,5,20251120,112000,110.21,110.21,110.2,110.2,100,0
PKOASZEWZ.PL,5,20251124,152000,110.23,110.23,110.22,110.22,145,0
