<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETFSP500.PL,5,20250707,090500,233.3,233.4,233.2,233.2,679,0
ETFSP500.PL,5,20250707,091000,233.1,233.4,232.5,233.4,24,0
ETFSP500.PL,5,20250707,092000,232.6,233.4,232.6,233.4,14,0
ETFSP500.PL,5,20250707,092500,233.4,233.4,233.4,233.4,29,0
ETFSP500.PL,5,20250707,093000,233.4,233.4,233.4,233.4,13,0
ETFSP500.PL,5,20250707,093500,233.4,233.4,233.4,233.4,1,0
ETFSP500.PL,5,20250707,094500,233.4,233.4,233.4,233.4,17,0
ETFSP500.PL,5,20250707,100000,233.4,233.4,232.6,232.6,33,0
ETFSP500.PL,5,20250707,100500,233.4,233.4,233.4,233.4,19,0
ETFSP500.PL,5,20250707,101000,233.4,233.4,233.4,233.4,3,0
ETFSP500.PL,5,20250707,102000,233.3,233.3,233.25,233.3,16,0
ETFSP500.PL,5,20250707,102500,233.3,233.3,233.3,233.3,6,0
ETFSP500.PL,5,20250707,103000,233.3,233.3,233.3,233.3,11,0
ETFSP500.PL,5,20250707,103500,233,233,233,233,7,0
ETFSP500.PL,5,20250707,104000,233,233,232.95,232.95,43,0
ETFSP500.PL,5,20250707,104500,232.95,233,232.95,233,55,0
ETFSP500.PL,5,20250707,105000,233,233.4,232.95,233.4,54,0
ETFSP500.PL,5,20250707,105500,233.4,233.4,233.4,233.4,6,0
ETFSP500.PL,5,20250707,110000,233.4,233.4,233.4,233.4,2,0
ETFSP500.PL,5,20250707,110500,233.4,233.4,233.4,233.4,11,0
ETFSP500.PL,5,20250707,111000,233,233.4,233,233.4,11,0
ETFSP500.PL,5,20250707,111500,233,233,233,233,10,0
ETFSP500.PL,5,20250707,112000,233.4,233.4,233.4,233.4,2,0
ETFSP500.PL,5,20250707,112500,233.4,233.4,233.4,233.4,6,0
ETFSP500.PL,5,20250707,113000,233.4,233.5,233.4,233.5,9,0
ETFSP500.PL,5,20250707,113500,233.5,233.5,233.5,233.5,1,0
ETFSP500.PL,5,20250707,114000,233.5,233.5,233.5,233.5,5,0
ETFSP500.PL,5,20250707,114500,233.5,233.5,233.5,233.5,1,0
ETFSP500.PL,5,20250707,115000,233.5,233.5,233.5,233.5,70,0
ETFSP500.PL,5,20250707,115500,233.5,233.5,233.5,233.5,15,0
ETFSP500.PL,5,20250707,120500,233.5,233.5,233.5,233.5,1,0
ETFSP500.PL,5,20250707,121000,233.5,233.5,233.5,233.5,71,0
ETFSP500.PL,5,20250707,122500,233.5,233.5,233.5,233.5,26,0
ETFSP500.PL,5,20250707,123000,233.6,234,233.6,234,39,0
ETFSP500.PL,5,20250707,123500,234.2,234.2,234.2,234.2,13,0
ETFSP500.PL,5,20250707,124000,234.2,234.95,234.2,234.95,5,0
ETFSP500.PL,5,20250707,124500,234.95,234.95,234.95,234.95,29,0
ETFSP500.PL,5,20250707,125000,234.95,234.95,234.95,234.95,200,0
ETFSP500.PL,5,20250707,125500,234.95,234.95,234.95,234.95,40,0
ETFSP500.PL,5,20250707,130500,234.95,234.95,234.95,234.95,9,0
ETFSP500.PL,5,20250707,131000,234.95,234.95,234.95,234.95,2,0
ETFSP500.PL,5,20250707,131500,233.2,233.2,233.2,233.2,23,0
ETFSP500.PL,5,20250707,132000,234.95,234.95,234.95,234.95,8,0
ETFSP500.PL,5,20250707,132500,234.95,234.95,234.95,234.95,5,0
