<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAPRZ25,5,20250912,103500,19.284,19.284,19.284,19.284,2,0
FAPRZ25,5,20250917,114000,19.12,19.12,19.1,19.1,3,4
FAPRZ25,5,20250917,121000,19,19,19,19,1,5
FAPRZ25,5,20250917,150500,18.78,18.78,18.78,18.78,1,6
FAPRZ25,5,20250918,090500,18.493,18.493,18.493,18.493,1,7
FAPRZ25,5,20250918,094500,18.292,18.292,18.292,18.292,1,8
FAPRZ25,5,20250918,133000,18.52,18.54,18.52,18.54,2,8
FAPRZ25,5,20250918,140000,18.72,18.95,18.72,18.95,5,4
FAPRZ25,5,20250918,150500,19.4,19.4,19.4,19.4,1,2
FAPRZ25,5,20250918,164500,19.8,19.826,19.8,19.826,2,3
FAPRZ25,5,20250919,090500,19.46,19.46,19.41,19.41,2,4
FAPRZ25,5,20250919,091000,19.55,19.55,19.55,19.55,4,7
FAPRZ25,5,20250919,102000,19.48,19.731,19.48,19.731,5,13
FAPRZ25,5,20250922,094500,19.41,19.41,19.41,19.41,3,13
FAPRZ25,5,20250922,164500,19,19,19,19,4,16
FAPRZ25,5,20250923,111500,19.624,19.624,19.624,19.624,1,20
FAPRZ25,5,20250923,112000,19.624,19.624,19.624,19.624,3,21
FAPRZ25,5,20250923,120000,19.426,19.426,19.426,19.426,1,24
FAPRZ25,5,20250923,154000,19.573,19.574,19.573,19.574,5,24
FAPRZ25,5,20250923,165500,20.24,20.24,20.24,20.24,1,29
FAPRZ25,5,20250925,114000,19.9,19.9,19.9,19.9,2,31
FAPRZ25,5,20250925,114500,19.746,19.746,19.746,19.746,2,32
FAPRZ25,5,20250925,121000,19.929,19.929,19.929,19.929,1,32
FAPRZ25,5,20251001,092500,18.709,18.709,18.709,18.709,2,33
FAPRZ25,5,20251001,140000,18.861,18.861,18.861,18.861,1,35
FAPRZ25,5,20251001,142000,18.861,18.861,18.861,18.861,1,36
FAPRZ25,5,20251002,094500,19.014,19.014,19.014,19.014,1,37
FAPRZ25,5,20251003,114500,18.862,18.862,18.862,18.862,1,38
FAPRZ25,5,20251003,124500,18.963,18.963,18.963,18.963,1,39
FAPRZ25,5,20251003,164500,18.963,18.963,18.963,18.963,1,40
FAPRZ25,5,20251006,085000,18.3,18.3,18.3,18.3,3,41
FAPRZ25,5,20251006,090000,18.793,18.793,18.793,18.793,1,41
FAPRZ25,5,20251006,091500,18.7,18.7,18.7,18.7,1,42
FAPRZ25,5,20251006,093500,18.7,18.7,18.7,18.7,1,42
FAPRZ25,5,20251008,125500,18.7,18.7,18.7,18.7,1,0
FAPRZ25,5,20251008,154000,19.052,19.052,19.052,19.052,1,41
FAPRZ25,5,20251009,145000,19.299,19.299,19.299,19.299,1,42
FAPRZ25,5,20251015,100000,19.039,19.039,19.039,19.039,1,43
FAPRZ25,5,20251016,102500,18.28,18.28,18.28,18.28,5,43
FAPRZ25,5,20251017,103000,18.042,18.042,18,18,2,43
FAPRZ25,5,20251017,105500,18.03,18.03,18.03,18.03,5,41
FAPRZ25,5,20251022,122500,18.19,18.19,18.19,18.19,2,0
FAPRZ25,5,20251024,092000,18.35,18.35,18.35,18.35,2,39
FAPRZ25,5,20251024,092500,18.35,18.35,18.35,18.35,2,41
FAPRZ25,5,20251024,140500,18.1,18.1,18.1,18.1,5,43
FAPRZ25,5,20251027,090500,18.31,18.31,18.31,18.31,5,40
FAPRZ25,5,20251028,103000,17.83,17.83,17.83,17.83,3,43
FAPRZ25,5,20251029,090500,18.02,18.02,18.02,18.02,1,46
FAPRZ25,5,20251031,090000,18.23,18.23,18.23,18.23,4,47
FAPRZ25,5,20251103,130000,17.95,17.95,17.95,17.95,2,47
FAPRZ25,5,20251104,135500,17.93,17.93,17.93,17.93,1,49
FAPRZ25,5,20251107,142000,17.91,17.91,17.91,17.91,1,47
FAPRZ25,5,20251114,092000,17.57,17.57,17.57,17.57,1,47
FAPRZ25,5,20251114,095000,17.69,17.69,17.69,17.69,1,48
FAPRZ25,5,20251119,154000,16.94,16.94,16.854,16.854,3,49
FAPRZ25,5,20251119,163500,17.1,17.1,17.1,17.1,1,46
FAPRZ25,5,20251120,110000,16.96,16.96,16.96,16.96,5,0
FAPRZ25,5,20251121,093500,15.9,15.9,15.9,15.9,2,42
FAPRZ25,5,20251121,111500,15.8,15.839,15.8,15.839,4,44
FAPRZ25,5,20251121,134000,15.71,15.71,15.625,15.625,3,48
FAPRZ25,5,20251127,090500,16.511,16.511,16.511,16.511,1,45
FAPRZ25,5,20251127,093000,16.67,16.7,16.67,16.7,10,44
FAPRZ25,5,20251128,114000,16.65,16.65,16.65,16.65,2,44
FAPRZ25,5,20251201,115000,16.825,16.825,16.825,16.825,1,42
FAPRZ25,5,20251202,162000,16.82,16.82,16.82,16.82,1,41
