<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FASBU25,5,20250708,100500,26.52,26.52,26.52,26.52,1,10
FASBU25,5,20250708,150500,27.18,27.18,27.18,27.18,1,10
FASBU25,5,20250710,121500,26.449,26.449,26.449,26.449,1,10
FASBU25,5,20250711,112000,25.63,25.63,25.63,25.63,4,10
FASBU25,5,20250715,120500,26.36,26.36,26.36,26.36,1,10
FASBU25,5,20250721,091000,27.479,27.479,27.479,27.479,1,10
FASBU25,5,20250721,101500,27.233,27.233,27.233,27.233,1,9
FASBU25,5,20250723,091000,29.88,29.88,29.88,29.88,1,10
FASBU25,5,20250723,104500,29.54,29.54,29.54,29.54,1,9
FASBU25,5,20250723,135500,29.36,29.36,29.36,29.36,1,9
FASBU25,5,20250724,142000,28.84,28.85,28.84,28.85,2,9
FASBU25,5,20250725,102500,29,29,29,29,1,11
FASBU25,5,20250728,110000,28.19,28.19,28.19,28.19,1,12
FASBU25,5,20250728,160000,28.42,28.42,28.42,28.42,1,12
FASBU25,5,20250804,094000,27.759,27.8,27.759,27.8,2,12
FASBU25,5,20250804,133000,28.131,28.131,28.131,28.131,3,14
FASBU25,5,20250805,103000,28.39,28.396,28.39,28.396,8,14
FASBU25,5,20250805,104500,28.37,28.37,28.37,28.37,4,12
FASBU25,5,20250807,101500,27.72,27.72,27.72,27.72,1,12
FASBU25,5,20250821,152000,27.93,27.93,27.93,27.93,1,12
FASBU25,5,20250829,094000,27.461,27.461,27.461,27.461,1,12
FASBU25,5,20250901,103500,26.5,26.5,26.5,26.5,1,12
FASBU25,5,20250901,140500,26.5,26.5,26.22,26.22,4,12
FASBU25,5,20250901,141000,26.32,26.32,26.32,26.32,1,15
FASBU25,5,20250901,142500,26.32,26.32,26.32,26.32,1,16
FASBU25,5,20250901,153000,26.108,26.108,26.108,26.108,1,17
FASBU25,5,20250901,154500,26.09,26.09,26,26,3,18
FASBU25,5,20250902,134500,26.65,26.65,26.65,26.65,1,18
FASBU25,5,20250902,135000,26.65,26.65,26.65,26.65,3,19
FASBU25,5,20250903,093000,27.13,27.13,27.13,27.13,1,19
FASBU25,5,20250903,115000,27.38,27.38,27.38,27.38,1,19
FASBU25,5,20250903,133500,27.38,27.38,27.38,27.38,1,19
FASBU25,5,20250903,161500,27.3,27.3,27.3,27.3,1,19
FASBU25,5,20250904,090000,27.5,27.5,27.5,27.5,3,0
FASBU25,5,20250904,113500,27.18,27.18,27.18,27.18,3,19
FASBU25,5,20250904,123500,27.32,27.32,27.32,27.32,1,19
FASBU25,5,20250904,135000,27.501,27.501,27.501,27.501,1,19
FASBU25,5,20250905,103500,28,28,28,28,1,19
FASBU25,5,20250905,145500,27.8,27.8,27.8,27.8,1,19
FASBU25,5,20250908,092000,27.82,27.82,27.82,27.82,1,19
FASBU25,5,20250908,092500,27.839,27.839,27.839,27.839,1,19
FASBU25,5,20250908,105000,27.9,27.9,27.9,27.9,1,19
FASBU25,5,20250908,114000,28.03,28.03,28.03,28.03,1,19
FASBU25,5,20250909,090500,28.01,28.01,28.01,28.01,1,19
FASBU25,5,20250910,141500,27.223,27.272,27.223,27.272,8,16
FASBU25,5,20250910,161000,27.2,27.2,27.2,27.2,2,11
FASBU25,5,20250918,105000,27.25,27.25,27.25,27.25,2,13
FASBU25,5,20250919,120500,27.719,27.719,27.719,27.719,2,0
