<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FBDX,5,20250707,090500,543,543,543,543,2,237
FBDX,5,20250707,121000,548,548,548,548,2,238
FBDX,5,20250707,145000,550,550,550,550,1,237
FBDX,5,20250707,161000,545,547.2,545,545,9,237
FBDX,5,20250707,164500,550,550,550,550,1,236
FBDX,5,20250708,103000,540,540,540,540,1,236
FBDX,5,20250708,112500,540,540,540,540,1,236
FBDX,5,20250708,133000,544.7,544.7,544.7,544.7,4,237
FBDX,5,20250709,090500,537,537,535,535,9,238
FBDX,5,20250709,103000,543.6,543.6,543.6,543.6,3,246
FBDX,5,20250709,122500,540,540,540,540,1,246
FBDX,5,20250709,162500,542,542,542,542,1,247
FBDX,5,20250709,163000,541.6,542,541.6,542,10,248
FBDX,5,20250709,163500,542.5,542.5,542.5,542.5,10,254
FBDX,5,20250709,164500,545.69,545.69,545.69,545.69,1,264
FBDX,5,20250710,090000,551.68,551.68,551.68,551.68,1,265
FBDX,5,20250710,090500,553.76,553.76,552,552,2,267
FBDX,5,20250710,091000,554,554,553,553,4,267
FBDX,5,20250710,091500,551,551,551,551,1,267
FBDX,5,20250710,092000,554,554,554,554,2,268
FBDX,5,20250710,101000,555.5,555.5,555,555,2,267
FBDX,5,20250710,103500,556,556,556,556,2,268
FBDX,5,20250710,104000,554.5,554.5,554.5,554.5,1,267
FBDX,5,20250710,105500,557.5,557.5,557.5,557.5,1,267
FBDX,5,20250710,110000,560,560,560,560,2,267
FBDX,5,20250710,111500,560,560,560,560,1,265
FBDX,5,20250710,112500,559,559,559,559,1,264
FBDX,5,20250710,123500,560,560,560,560,6,264
FBDX,5,20250710,153500,553,553,553,553,1,264
FBDX,5,20250710,162000,557.4,557.4,557.4,557.4,3,263
FBDX,5,20250710,163000,556,556,556,556,3,265
FBDX,5,20250711,091500,551.9,555.1,551.9,555.1,12,269
FBDX,5,20250711,092000,557.3,557.3,557.3,557.3,4,269
FBDX,5,20250711,131000,561,561,561,561,4,269
FBDX,5,20250711,133000,563,563.8,563,563.8,16,266
FBDX,5,20250711,140000,564.7,564.7,564.7,564.7,4,266
FBDX,5,20250711,145000,565.6,565.6,565.6,565.6,2,46
FBDX,5,20250714,105000,569,570,569,570,3,266
FBDX,5,20250714,110000,569.64,569.64,568,568,5,266
FBDX,5,20250714,111000,572,572,572,572,1,265
FBDX,5,20250714,111500,573,573,573,573,2,266
FBDX,5,20250714,112500,573,573,573,573,1,264
FBDX,5,20250714,143000,574,574,574,574,1,263
FBDX,5,20250714,160000,571.8,571.8,571.8,571.8,1,264
FBDX,5,20250714,161000,574.44,574.44,574.44,574.44,1,263
FBDX,5,20250714,163000,575,575,575,575,1,264
FBDX,5,20250714,163500,575.2,575.2,575,575,5,264
FBDX,5,20250715,092000,589,589,589,589,2,265
FBDX,5,20250715,094500,585.8,585.8,585.8,585.8,1,265
FBDX,5,20250715,095000,588.9,588.9,588.9,588.9,20,280
FBDX,5,20250715,101500,585.82,585.82,585.7,585.7,5,285
