<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FBDXZ25,5,20250710,160000,550.25,550.25,550.25,550.25,1,25
FBDXZ25,5,20250721,132000,634,634,634,634,20,26
FBDXZ25,5,20250721,145000,632,632,632,632,20,37
FBDXZ25,5,20250728,153500,602,602,602,602,20,26
FBDXZ25,5,20250729,112000,582,582,582,582,20,17
FBDXZ25,5,20250908,145000,540,540,540,540,1,26
FBDXZ25,5,20250909,114500,538.57,538.57,538.57,538.57,2,26
FBDXZ25,5,20250909,152000,535.51,535.51,535.51,535.51,1,26
FBDXZ25,5,20250910,120000,519.6,519.6,519.6,519.6,2,27
FBDXZ25,5,20250916,155000,530,530,530,530,1,26
FBDXZ25,5,20250917,090000,528,528,528,528,1,27
FBDXZ25,5,20250917,125000,527.5,527.5,527,527,2,29
FBDXZ25,5,20250917,131500,525,525,525,525,1,29
FBDXZ25,5,20250918,091000,525,525,525,525,10,30
FBDXZ25,5,20250918,092000,525,525,525,525,1,30
FBDXZ25,5,20250918,113500,525,525,525,525,5,29
FBDXZ25,5,20250918,115500,525,525,525,525,3,29
FBDXZ25,5,20250918,120500,525,525,525,525,1,29
FBDXZ25,5,20250919,102000,535,535,535,535,1,0
FBDXZ25,5,20250919,103000,537.4,537.4,537.4,537.4,2,29
FBDXZ25,5,20250919,103500,535,535,535,535,1,29
FBDXZ25,5,20250919,105000,535,535,535,535,2,30
FBDXZ25,5,20250919,131000,535.2,535.2,535.2,535.2,1,0
FBDXZ25,5,20250919,132500,532.2,532.2,532.2,532.2,1,34
FBDXZ25,5,20250919,135500,530,530,530,530,1,35
FBDXZ25,5,20250919,145500,530,530,530,530,2,35
FBDXZ25,5,20250919,151000,530,530,530,530,1,35
FBDXZ25,5,20250919,164500,521,521,521,521,10,0
FBDXZ25,5,20250922,090000,524.3,524.3,524.3,524.3,1,46
FBDXZ25,5,20250922,113000,526,527,526,527,5,47
FBDXZ25,5,20250922,122000,529.04,529.04,529.04,529.04,1,47
FBDXZ25,5,20250923,090000,529,529,529,529,2,47
FBDXZ25,5,20250923,122500,531,531,531,531,1,48
FBDXZ25,5,20250923,154500,529.02,529.02,529.01,529.01,3,48
FBDXZ25,5,20250924,104500,523,523,523,523,3,51
FBDXZ25,5,20250924,134000,527,527,527,527,2,53
FBDXZ25,5,20250924,152000,527.4,527.4,527.4,527.4,1,54
FBDXZ25,5,20250924,154500,529,529,529,529,3,55
FBDXZ25,5,20250924,163000,530,530,530,530,1,55
FBDXZ25,5,20250924,164500,528.65,528.65,528.65,528.65,1,55
FBDXZ25,5,20250925,090000,529.32,529.33,529.32,529.33,4,55
FBDXZ25,5,20250925,091000,525.01,525.01,525,525,4,59
FBDXZ25,5,20250925,132000,524.2,524.2,524.1,524.1,2,63
FBDXZ25,5,20250925,134000,524.1,524.1,524,524,4,67
FBDXZ25,5,20250925,140000,523,523,523,523,1,69
FBDXZ25,5,20250925,140500,523,523,523,523,2,70
FBDXZ25,5,20250926,084500,516.1,516.1,516.1,516.1,2,72
FBDXZ25,5,20250926,090000,510,515,503.45,503.45,9,72
FBDXZ25,5,20250926,090500,508,508,508,508,2,74
FBDXZ25,5,20250926,113500,511,511,511,511,1,0
FBDXZ25,5,20250926,131000,512,512,512,512,1,76
FBDXZ25,5,20250926,150000,515,515,515,515,2,76
FBDXZ25,5,20250926,151500,515,515,515,515,1,75
FBDXZ25,5,20250929,085000,525,533,525,533,3,73
FBDXZ25,5,20250929,091500,520,520,520,520,2,73
FBDXZ25,5,20250929,135500,512,512,512,512,1,74
FBDXZ25,5,20250929,150500,508,508,508,508,2,74
FBDXZ25,5,20250929,151000,508,508,508,508,3,75
FBDXZ25,5,20250929,154000,507,507,507,507,1,75
FBDXZ25,5,20250929,164500,506.39,506.39,506.39,506.39,1,76
FBDXZ25,5,20250930,084500,505.2,505.2,505.2,505.2,3,75
FBDXZ25,5,20250930,085500,510,510,510,510,1,78
FBDXZ25,5,20250930,093500,504.05,504.05,504.05,504.05,1,78
FBDXZ25,5,20250930,130500,505.95,505.95,505.95,505.95,1,78
FBDXZ25,5,20250930,152000,515,515,515,515,1,77
FBDXZ25,5,20251001,105000,524.13,524.53,524.13,524.53,10,83
FBDXZ25,5,20251001,105500,524.53,524.53,524.53,524.53,1,87
FBDXZ25,5,20251001,123500,527.35,527.35,527.35,527.35,1,87
FBDXZ25,5,20251001,153500,527,527,527,527,1,87
FBDXZ25,5,20251002,090500,528.5,528.5,528.5,528.5,2,86
FBDXZ25,5,20251002,114000,523,523,523,523,2,88
FBDXZ25,5,20251002,160500,523,523,523,523,1,90
FBDXZ25,5,20251002,163500,516.2,516.2,516.2,516.2,1,91
FBDXZ25,5,20251002,164000,516.4,516.4,516.4,516.4,1,90
FBDXZ25,5,20251003,090000,526.34,526.34,526.34,526.34,4,90
FBDXZ25,5,20251003,101000,526.34,526.34,526.34,526.34,1,94
FBDXZ25,5,20251003,124000,525.99,525.99,525.99,525.99,1,95
FBDXZ25,5,20251003,155000,522,522,522,522,2,95
FBDXZ25,5,20251003,164500,521,521,521,521,2,95
FBDXZ25,5,20251006,092500,530,530,530,530,2,94
FBDXZ25,5,20251006,102000,530.86,530.86,530.86,530.86,1,92
FBDXZ25,5,20251006,111500,530,530,530,530,3,93
FBDXZ25,5,20251006,122000,534.99,534.99,534.99,534.99,1,90
FBDXZ25,5,20251006,155500,523.8,523.8,523.8,523.8,1,89
FBDXZ25,5,20251006,162000,524.7,524.7,524.7,524.7,1,90
FBDXZ25,5,20251006,164000,520.01,520.01,520.01,520.01,2,91
FBDXZ25,5,20251007,162500,525,525,525,525,2,92
FBDXZ25,5,20251008,100000,515,515,515,515,1,90
FBDXZ25,5,20251008,113500,517,517,517,517,1,0
FBDXZ25,5,20251008,164500,513.4,513.4,513.4,513.4,1,90
FBDXZ25,5,20251009,155000,515,515,515,515,1,89
FBDXZ25,5,20251010,125000,516.2,516.2,516.2,516.2,1,89
FBDXZ25,5,20251010,132000,517.8,517.8,517.8,517.8,1,88
FBDXZ25,5,20251010,134500,518,518,518,518,5,84
FBDXZ25,5,20251013,084500,504,504,504,504,2,82
FBDXZ25,5,20251013,090000,510.2,510.2,510.2,510.2,1,82
FBDXZ25,5,20251013,092000,516,516,516,516,1,81
FBDXZ25,5,20251013,161000,524,526,524,526,3,0
FBDXZ25,5,20251014,130000,514.4,514.4,514.4,514.4,1,78
FBDXZ25,5,20251014,130500,514.8,514.8,514.6,514.6,3,77
FBDXZ25,5,20251014,131000,517.8,517.8,517.8,517.8,1,74
FBDXZ25,5,20251014,131500,517.8,517.8,517.8,517.8,3,74
FBDXZ25,5,20251014,155000,524,524,524,524,1,74
FBDXZ25,5,20251014,160000,525.99,525.99,525.99,525.99,3,74
FBDXZ25,5,20251014,161000,526.4,529.99,526.4,529.99,12,64
FBDXZ25,5,20251014,161500,532.8,532.8,532.8,532.8,5,63
FBDXZ25,5,20251014,162000,532.8,532.8,532.8,532.8,5,65
FBDXZ25,5,20251014,164000,531,531,531,531,1,69
FBDXZ25,5,20251014,164500,532,532,532,532,1,68
FBDXZ25,5,20251015,090000,534.99,534.99,534.99,534.99,1,69
FBDXZ25,5,20251015,091500,538.69,538.69,538.69,538.69,1,69
FBDXZ25,5,20251015,093500,544.04,544.04,544.04,544.04,1,70
FBDXZ25,5,20251015,102000,543.9,543.9,543.9,543.9,1,71
FBDXZ25,5,20251015,111500,542,542,542,542,1,72
FBDXZ25,5,20251015,112000,542,542,542,542,1,71
FBDXZ25,5,20251015,120500,539.6,539.6,539.6,539.6,1,71
FBDXZ25,5,20251015,162500,540,540,540,540,1,70
FBDXZ25,5,20251016,090500,545,552.1,545,552.1,2,69
FBDXZ25,5,20251016,091500,550.09,550.1,550.09,550.1,3,71
FBDXZ25,5,20251016,092000,547.5,547.5,547.5,547.5,2,73
FBDXZ25,5,20251016,092500,547.5,547.5,547.5,547.5,2,74
FBDXZ25,5,20251016,100500,545,545,545,545,2,76
FBDXZ25,5,20251016,104000,547,547,547,547,1,76
FBDXZ25,5,20251016,122000,545,545,545,545,1,75
FBDXZ25,5,20251016,142000,542,542,542,542,1,76
FBDXZ25,5,20251016,161000,533,533,533,533,2,76
FBDXZ25,5,20251016,161500,533,533,533,533,2,77
FBDXZ25,5,20251017,094000,533.6,533.6,533.6,533.6,2,79
FBDXZ25,5,20251017,100500,532.5,532.5,532.5,532.5,3,77
FBDXZ25,5,20251017,101000,532.1,532.1,532.1,532.1,2,77
FBDXZ25,5,20251017,104000,540,540,540,540,1,77
FBDXZ25,5,20251017,134000,537,538,537,538,2,77
FBDXZ25,5,20251017,140000,544,544,544,544,3,78
FBDXZ25,5,20251017,162500,541.5,541.5,541.5,541.5,1,78
FBDXZ25,5,20251020,095000,550.8,551.2,550.8,551.2,4,79
FBDXZ25,5,20251020,095500,551.28,551.28,551.1,551.1,3,81
FBDXZ25,5,20251020,112500,552,552,552,552,1,83
FBDXZ25,5,20251020,162500,552,552,552,552,1,82
FBDXZ25,5,20251021,093500,552.5,552.5,552.5,552.5,3,84
FBDXZ25,5,20251021,094000,551,551,551,551,3,85
FBDXZ25,5,20251021,102000,549.7,549.7,549.7,549.7,1,85
FBDXZ25,5,20251021,103000,548,548,548,548,1,86
FBDXZ25,5,20251021,115000,554.6,554.6,554.6,554.6,1,86
FBDXZ25,5,20251022,090500,545,545,545,545,1,85
FBDXZ25,5,20251022,154500,551.6,551.6,551.6,551.6,1,0
FBDXZ25,5,20251023,091500,545,545,545,545,1,85
FBDXZ25,5,20251023,100500,545,545,545,545,2,86
FBDXZ25,5,20251023,101500,545,545,545,545,2,88
FBDXZ25,5,20251023,104000,541.8,541.8,541.8,541.8,1,90
FBDXZ25,5,20251023,150500,540.5,541,540.5,541,4,0
FBDXZ25,5,20251023,152500,540,540,540,540,1,93
FBDXZ25,5,20251023,154000,540.1,540.1,540.1,540.1,2,94
FBDXZ25,5,20251023,161500,537.5,537.5,534,534,4,96
FBDXZ25,5,20251023,164500,536.65,536.65,536.65,536.65,1,93
FBDXZ25,5,20251024,091000,536.8,536.8,536.8,536.8,3,94
FBDXZ25,5,20251024,104000,534.5,534.5,534.5,534.5,1,91
