<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCHF,5,20250707,115000,4.5896,4.5896,4.5896,4.5896,1,8004
FCHF,5,20250707,155000,4.5901,4.5901,4.5901,4.5901,5,8004
FCHF,5,20250708,085500,4.5858,4.5858,4.5858,4.5858,1,8016
FCHF,5,20250708,094500,4.582,4.5821,4.582,4.5821,4,8016
FCHF,5,20250708,095000,4.5789,4.5789,4.5789,4.5789,7,8016
FCHF,5,20250708,103500,4.5751,4.5751,4.575,4.575,7,8016
FCHF,5,20250708,122500,4.5849,4.5849,4.5849,4.5849,1,8019
FCHF,5,20250708,123000,4.5846,4.585,4.5846,4.585,8,8019
FCHF,5,20250708,124500,4.5864,4.5864,4.5864,4.5864,1,8020
FCHF,5,20250708,153000,4.5865,4.5865,4.5865,4.5865,9,8014
FCHF,5,20250708,155500,4.5889,4.5889,4.5889,4.5889,1,8014
FCHF,5,20250708,161500,4.5898,4.5898,4.5898,4.5898,2,8014
FCHF,5,20250708,162000,4.5894,4.5894,4.5894,4.5894,1,8014
FCHF,5,20250709,084500,4.5894,4.5894,4.5894,4.5894,5,7979
FCHF,5,20250709,110500,4.5894,4.5894,4.5894,4.5894,3,7980
FCHF,5,20250709,113500,4.5913,4.5913,4.5913,4.5913,6,7982
FCHF,5,20250709,122500,4.5935,4.5935,4.5935,4.5935,2,7982
FCHF,5,20250709,144500,4.5945,4.5946,4.5945,4.5946,3,7982
FCHF,5,20250709,152000,4.5963,4.5963,4.5963,4.5963,4,7982
FCHF,5,20250709,152500,4.5968,4.5968,4.5968,4.5968,1,7982
FCHF,5,20250709,155000,4.6018,4.6018,4.6018,4.6018,5,7983
FCHF,5,20250709,160500,4.5901,4.5901,4.5801,4.5801,2,7984
FCHF,5,20250709,161000,4.5894,4.59,4.5894,4.59,3,7984
FCHF,5,20250709,161500,4.6024,4.6024,4.6022,4.6023,8,7984
FCHF,5,20250709,162000,4.6022,4.6022,4.6022,4.6022,2,7985
FCHF,5,20250710,090000,4.5951,4.5951,4.5941,4.5941,2,7991
FCHF,5,20250710,090500,4.5941,4.5941,4.5941,4.5941,1,7991
FCHF,5,20250710,091000,4.5905,4.5905,4.5905,4.5905,1,7991
FCHF,5,20250710,100500,4.6,4.6,4.5999,4.5999,3,7992
FCHF,5,20250710,102000,4.6011,4.6011,4.6011,4.6011,1,7994
FCHF,5,20250710,122000,4.5974,4.5974,4.5974,4.5974,1,7995
