<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCPSH26,5,20250708,104000,17.606,17.606,17.606,17.606,1,4
FCPSH26,5,20250708,105000,17.585,17.585,17.585,17.585,1,5
FCPSH26,5,20250708,153000,17.492,17.492,17.492,17.492,1,6
FCPSH26,5,20250710,142500,17.373,17.373,17.373,17.373,1,7
FCPSH26,5,20250711,132500,17.366,17.366,17.366,17.366,8,8
FCPSH26,5,20250729,151000,16.089,16.089,16.089,16.089,1,10
FCPSH26,5,20250729,164500,15.995,15.995,15.995,15.995,1,11
FCPSH26,5,20250730,090500,15.964,15.964,15.964,15.964,1,12
FCPSH26,5,20250730,132500,15.824,15.824,15.824,15.824,3,13
FCPSH26,5,20250730,164500,15.824,15.824,15.824,15.824,2,16
FCPSH26,5,20250731,101500,15.747,15.747,15.747,15.747,1,16
FCPSH26,5,20250811,154500,15.2,15.2,15.2,15.2,10,17
FCPSH26,5,20250811,155000,15.2,15.2,15.2,15.2,10,32
FCPSH26,5,20250819,114500,15.75,15.75,15.75,15.75,1,37
FCPSH26,5,20250822,105500,16.042,16.042,16.042,16.042,1,37
FCPSH26,5,20250822,110500,15.99,15.99,15.99,15.99,2,37
FCPSH26,5,20250822,111000,15.96,15.96,15.96,15.96,8,39
FCPSH26,5,20250825,100000,15.544,15.544,15.544,15.544,10,47
FCPSH26,5,20250825,105500,15.534,15.534,15.534,15.534,2,57
FCPSH26,5,20250826,090500,15.583,15.583,15.583,15.583,4,59
FCPSH26,5,20250827,091000,15.621,15.621,15.621,15.621,10,63
FCPSH26,5,20250827,141500,15.475,15.475,15.475,15.475,1,73
FCPSH26,5,20250829,094000,15.148,15.166,15.148,15.166,15,84
FCPSH26,5,20250902,091000,14.818,14.818,14.818,14.818,10,89
FCPSH26,5,20250902,091500,14.818,14.818,14.818,14.818,1,99
FCPSH26,5,20250902,093000,14.795,14.795,14.795,14.795,10,100
