<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FDNP,5,20250707,104000,52.655,52.655,52.655,52.655,10,2417
FDNP,5,20250707,131000,52.68,52.68,52.68,52.68,10,2418
FDNP,5,20250707,143500,52.38,52.38,52.38,52.38,20,2418
FDNP,5,20250707,145000,52.77,52.77,52.77,52.77,30,2417
FDNP,5,20250708,123000,52.8,52.8,52.8,52.8,10,2415
FDNP,5,20250708,143500,53.006,53.006,53.006,53.006,10,2416
FDNP,5,20250708,144500,53.19,53.198,53.19,53.198,30,2417
FDNP,5,20250708,145500,53.08,53.08,53.08,53.08,10,2418
FDNP,5,20250708,150000,53.057,53.057,53.057,53.057,10,2418
FDNP,5,20250708,151500,53.022,53.022,53.022,53.022,10,2418
FDNP,5,20250708,162500,52.9,52.9,52.9,52.9,10,2418
FDNP,5,20250709,093000,52.7,52.7,52.7,52.7,10,2417
FDNP,5,20250709,095000,53.12,53.12,53.12,53.12,10,2417
FDNP,5,20250709,111000,53.12,53.12,53.12,53.12,10,2418
FDNP,5,20250709,112000,53.188,53.188,53.188,53.188,10,2419
FDNP,5,20250709,112500,53.189,53.189,53.189,53.189,10,2420
FDNP,5,20250709,113000,53.26,53.26,53.26,53.26,20,2421
FDNP,5,20250709,114000,53.3,53.3,53.3,53.3,10,2421
FDNP,5,20250709,120000,53.4,53.4,53.4,53.4,20,2422
FDNP,5,20250709,121000,53.4,53.4,53.4,53.4,10,2424
FDNP,5,20250709,122500,53.55,53.55,53.55,53.55,10,2425
FDNP,5,20250709,125000,53.55,53.59,53.55,53.59,30,2426
FDNP,5,20250709,125500,53.6,53.6,53.599,53.6,40,2428
FDNP,5,20250709,130000,53.679,53.698,53.679,53.698,30,2432
FDNP,5,20250709,131500,53.72,53.9,53.72,53.9,50,2437
FDNP,5,20250709,132000,53.9,53.9,53.9,53.9,10,2440
FDNP,5,20250709,133500,54,54,54,54,10,2441
FDNP,5,20250709,135000,54,54,54,54,20,2442
FDNP,5,20250709,141000,54.05,54.05,54.05,54.05,10,2444
FDNP,5,20250709,141500,54.1,54.1,54.1,54.1,10,2445
FDNP,5,20250709,142000,54.199,54.199,54.199,54.199,10,2446
FDNP,5,20250709,142500,54.2,54.209,54.2,54.209,30,2448
FDNP,5,20250709,145500,54.4,54.4,54.4,54.4,20,2450
FDNP,5,20250709,150000,54.4,54.4,54.4,54.4,10,2452
FDNP,5,20250709,151000,54.498,54.5,54.498,54.5,20,2453
FDNP,5,20250709,151500,54.6,54.6,54.6,54.6,10,2455
FDNP,5,20250709,152000,54.68,54.7,54.6,54.6,40,2457
FDNP,5,20250709,153500,54.6,54.6,54.6,54.6,30,2458
FDNP,5,20250709,155000,54.65,54.7,54.65,54.7,30,2458
FDNP,5,20250709,155500,54.798,54.799,54.798,54.799,20,2459
FDNP,5,20250709,160500,54.8,54.8,54.8,54.8,30,2461
FDNP,5,20250709,162000,54.7,54.7,54.7,54.7,20,2460
FDNP,5,20250709,162500,54.6,54.6,54.6,54.6,10,2462
FDNP,5,20250709,164500,54.51,54.6,54.501,54.6,30,2460
FDNP,5,20250710,091000,54.85,54.85,54.799,54.799,20,2460
FDNP,5,20250710,093000,54.501,54.501,54.501,54.501,10,2462
FDNP,5,20250710,113000,54.8,54.8,54.8,54.8,10,2462
FDNP,5,20250710,113500,54.5,54.5,54.5,54.5,10,2462
FDNP,5,20250710,115500,54.5,54.5,54.5,54.5,10,2462
FDNP,5,20250710,141500,54.4,54.4,54.4,54.4,10,2462
FDNP,5,20250710,142000,54.4,54.4,54.2,54.2,60,2462
FDNP,5,20250710,142500,54.18,54.18,54.15,54.18,40,2460
FDNP,5,20250710,143000,54.2,54.2,54.18,54.18,20,2459
FDNP,5,20250710,143500,54.169,54.169,54.16,54.16,30,2459
FDNP,5,20250710,150500,54.05,54.05,53.98,53.98,30,2459
FDNP,5,20250710,151000,53.952,53.952,53.952,53.952,10,2459
FDNP,5,20250710,151500,53.941,53.941,53.911,53.911,30,2458
FDNP,5,20250710,152000,53.82,53.84,53.802,53.802,40,2460
FDNP,5,20250710,152500,53.7,53.7,53.7,53.7,20,2461
FDNP,5,20250710,153000,53.66,53.66,53.66,53.66,10,2461
FDNP,5,20250710,153500,53.62,53.66,53.62,53.66,20,2461
FDNP,5,20250710,154000,53.6,53.6,53.52,53.52,50,2462
FDNP,5,20250710,154500,53.52,53.52,53.5,53.5,50,2463
FDNP,5,20250710,155000,53.301,53.301,53.2,53.2,20,2463
FDNP,5,20250710,155500,53.24,53.24,53.201,53.201,30,2462
FDNP,5,20250710,160000,53.201,53.205,53.201,53.205,40,2459
FDNP,5,20250710,162500,53.245,53.245,53.24,53.24,20,2459
FDNP,5,20250710,163000,53.4,53.4,53.4,53.4,10,2459
FDNP,5,20250710,164500,53.36,53.36,53.27,53.27,20,2459
FDNP,5,20250711,092000,53.57,53.609,53.57,53.57,80,2461
FDNP,5,20250711,092500,53.706,53.71,53.706,53.71,120,2461
FDNP,5,20250711,093500,53.71,53.71,53.71,53.71,40,2463
FDNP,5,20250711,095000,53.818,53.818,53.818,53.818,40,2464
FDNP,5,20250711,104500,53.68,53.68,53.68,53.68,40,2463
FDNP,5,20250711,110500,53.501,53.501,53.501,53.501,40,2464
FDNP,5,20250711,113500,53.45,53.45,53.45,53.45,40,2464
FDNP,5,20250711,114500,53.69,53.7,53.69,53.7,120,2464
FDNP,5,20250711,122000,53.4,53.4,53.4,53.4,40,2465
FDNP,5,20250711,125500,53.467,53.467,53.467,53.467,40,2464
FDNP,5,20250711,130000,53.323,53.323,53.323,53.323,40,2464
FDNP,5,20250711,130500,53.32,53.32,53.32,53.32,40,2464
FDNP,5,20250711,153000,53.599,53.599,53.599,53.599,20,2464
FDNP,5,20250711,155000,53.202,53.202,53.202,53.202,20,2464
FDNP,5,20250711,161000,53.258,53.258,53.258,53.258,20,2464
FDNP,5,20250711,164500,53.18,53.18,53.18,53.18,20,20
FDNP,5,20250714,090500,53.14,53.14,53.14,53.14,10,2464
FDNP,5,20250714,092500,52.85,52.85,52.85,52.85,10,2464
FDNP,5,20250714,095000,52.78,52.78,52.78,52.78,20,2464
FDNP,5,20250714,100500,52.86,52.878,52.86,52.878,20,2464
FDNP,5,20250714,114000,52.732,52.732,52.732,52.732,10,2464
FDNP,5,20250714,132000,53.1,53.1,53.1,53.1,10,2464
FDNP,5,20250714,134500,53.2,53.2,53.2,53.2,10,2464
FDNP,5,20250714,141500,53.1,53.1,53.1,53.1,10,2464
FDNP,5,20250714,143000,53.249,53.249,53.249,53.249,10,2464
FDNP,5,20250714,144000,53.3,53.3,53.3,53.3,10,2464
FDNP,5,20250714,145000,53.202,53.3,53.202,53.3,20,2464
FDNP,5,20250714,154000,53.4,53.4,53.4,53.4,10,2465
FDNP,5,20250714,164000,53.129,53.129,53.129,53.129,10,2466
FDNP,5,20250714,164500,53.1,53.1,53.1,53.1,10,2466
FDNP,5,20250715,090000,53.4,53.54,53.4,53.54,40,2465
FDNP,5,20250715,091000,53.55,53.55,53.55,53.55,10,2466
FDNP,5,20250715,091500,53.549,53.55,53.549,53.55,20,2466
FDNP,5,20250715,092000,53.6,53.6,53.6,53.6,10,2467
FDNP,5,20250715,093500,53.749,53.749,53.749,53.749,10,2468
FDNP,5,20250715,094000,53.75,53.75,53.75,53.75,10,2469
FDNP,5,20250715,095000,53.898,53.899,53.898,53.899,20,2468
FDNP,5,20250715,101500,53.5,53.5,53.5,53.5,10,2470
FDNP,5,20250715,105000,53.7,53.7,53.7,53.7,10,2469
FDNP,5,20250715,124500,53.6,53.6,53.6,53.6,10,2470
FDNP,5,20250715,130000,53.48,53.48,53.48,53.48,10,2469
FDNP,5,20250715,134000,53.401,53.401,53.401,53.401,10,2468
FDNP,5,20250715,134500,53.33,53.33,53.33,53.33,10,2468
FDNP,5,20250715,145500,52.9,52.9,52.9,52.9,10,2468
FDNP,5,20250715,151500,53,53,53,53,10,2467
FDNP,5,20250715,155000,52.502,52.502,52.502,52.502,10,2468
FDNP,5,20250715,155500,52.411,52.411,52.382,52.382,60,2468
FDNP,5,20250715,160500,52.4,52.4,52.4,52.4,10,2462
FDNP,5,20250715,162500,52.45,52.45,52.45,52.45,20,2462
FDNP,5,20250716,090000,52.46,52.46,52.46,52.46,10,2463
FDNP,5,20250716,090500,52,52,51.8,51.8,70,2463
FDNP,5,20250716,091000,51.86,51.86,51.86,51.86,10,2463
FDNP,5,20250716,091500,51.75,51.75,51.6,51.6,60,2461
FDNP,5,20250716,092000,51.6,51.6,51.2,51.393,60,2457
FDNP,5,20250716,093000,51.5,51.5,51.5,51.5,10,2457
FDNP,5,20250716,104000,51.8,51.8,51.8,51.8,10,2456
FDNP,5,20250716,104500,51.867,52.07,51.867,52.07,30,2453
FDNP,5,20250716,111500,51.75,51.75,51.75,51.75,10,2454
FDNP,5,20250716,122500,51.769,51.769,51.769,51.769,10,2455
FDNP,5,20250716,123000,51.75,51.75,51.702,51.702,40,2459
FDNP,5,20250716,123500,51.62,51.62,51.62,51.62,10,2460
FDNP,5,20250716,130000,51.58,51.58,51.58,51.58,20,2462
FDNP,5,20250716,133000,51.518,51.518,51.518,51.518,10,2463
FDNP,5,20250716,134000,51.55,51.55,51.55,51.55,10,2463
FDNP,5,20250716,145500,51.57,51.57,51.57,51.57,20,2464
FDNP,5,20250716,155500,51.3,51.3,51.3,51.3,10,2462
FDNP,5,20250716,160500,51.29,51.29,51.29,51.29,10,2461
FDNP,5,20250716,164500,51.33,51.33,51.22,51.22,30,2462
FDNP,5,20250717,090000,51.502,51.502,51.502,51.502,10,2462
FDNP,5,20250717,091500,51.253,51.253,51.253,51.253,10,2462
FDNP,5,20250717,094500,51.18,51.18,51.18,51.18,10,2462
FDNP,5,20250717,095500,51.06,51.06,51.06,51.06,10,2463
FDNP,5,20250717,121000,50.951,50.951,50.951,50.951,10,2464
FDNP,5,20250717,142000,51.518,51.518,51.518,51.518,10,2463
FDNP,5,20250717,142500,51.411,51.411,51.411,51.411,10,2462
FDNP,5,20250717,151000,51.61,51.61,51.61,51.61,10,2463
FDNP,5,20250717,163000,51.53,51.53,51.53,51.53,20,2462
FDNP,5,20250718,090000,52.5,52.5,52.5,52.5,10,2460
FDNP,5,20250718,114000,52.426,52.426,52.4,52.42,50,2460
FDNP,5,20250718,131500,51.67,51.67,51.67,51.67,10,2457
FDNP,5,20250718,132000,51.585,51.585,51.58,51.58,30,2458
FDNP,5,20250718,145000,51.275,51.275,51.275,51.275,10,2458
FDNP,5,20250718,164500,51.4,51.4,51.4,51.4,10,2458
FDNP,5,20250721,103000,51.597,51.597,51.597,51.597,20,2457
FDNP,5,20250721,110000,51.81,51.81,51.81,51.81,10,2457
FDNP,5,20250721,111500,51.81,51.81,51.81,51.81,10,2457
FDNP,5,20250721,153000,51.25,51.25,51.25,51.25,10,2457
FDNP,5,20250722,095000,51.17,51.17,51.17,51.17,10,2457
FDNP,5,20250722,100000,51.2,51.2,51.2,51.2,10,2458
FDNP,5,20250722,104000,51.155,51.155,51.155,51.155,10,2457
FDNP,5,20250722,113500,50.951,50.951,50.951,50.951,10,2457
FDNP,5,20250722,114500,50.96,50.96,50.96,50.96,10,2457
FDNP,5,20250722,115000,51.065,51.065,51.065,51.065,10,2457
FDNP,5,20250722,123000,51,51,51,51,10,2456
FDNP,5,20250722,125000,50.802,50.802,50.802,50.802,10,2456
FDNP,5,20250722,134000,50.645,50.645,50.645,50.645,10,2457
FDNP,5,20250722,134500,50.62,50.62,50.6,50.6,30,2457
FDNP,5,20250722,144500,50.828,50.828,50.828,50.828,10,2456
FDNP,5,20250722,154500,50.603,50.603,50.603,50.603,10,2455
FDNP,5,20250722,155000,50.603,50.603,50.602,50.602,20,2455
FDNP,5,20250722,162000,50.6,50.6,50.6,50.6,10,2455
FDNP,5,20250722,162500,50.6,50.6,50.6,50.6,10,2455
FDNP,5,20250722,164500,50.5,50.5,50.5,50.5,10,2454
FDNP,5,20250723,090000,51.209,51.209,50.876,50.876,60,2458
FDNP,5,20250723,091000,50.955,50.978,50.955,50.978,20,2458
FDNP,5,20250723,091500,50.87,50.87,50.87,50.87,10,2457
FDNP,5,20250723,093000,50.7,50.7,50.7,50.7,10,2457
FDNP,5,20250723,100500,50.895,50.895,50.895,50.895,10,2456
FDNP,5,20250723,112000,50.503,50.503,50.5,50.5,20,2457
FDNP,5,20250723,114500,50.55,50.55,50.55,50.55,10,2457
FDNP,5,20250723,122000,50.47,50.47,50.47,50.47,10,2457
FDNP,5,20250723,124000,50.41,50.41,50.41,50.41,10,2458
FDNP,5,20250723,124500,50.206,50.35,50.206,50.35,20,2459
FDNP,5,20250723,131000,50.2,50.2,50.197,50.197,20,2460
FDNP,5,20250723,133500,50.514,50.514,50.514,50.514,10,2459
FDNP,5,20250723,142500,50.75,50.75,50.75,50.75,10,2458
FDNP,5,20250723,162000,50.233,50.233,50.233,50.233,10,2459
FDNP,5,20250723,163500,50.385,50.385,50.385,50.385,10,2459
FDNP,5,20250724,090500,50.3,50.3,50.3,50.3,10,2460
