<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEURQ25,5,20250718,100000,4.2584,4.2584,4.2584,4.2584,2,0
FEURQ25,5,20250718,110500,4.2559,4.2559,4.2559,4.2559,2,2
FEURQ25,5,20250718,114000,4.2578,4.2578,4.2578,4.2578,35,4
FEURQ25,5,20250718,153500,4.258,4.258,4.258,4.258,1,35
FEURQ25,5,20250721,084500,4.2485,4.2485,4.2485,4.2485,1,35
FEURQ25,5,20250721,090000,4.25,4.25,4.25,4.25,2,36
FEURQ25,5,20250721,101500,4.2508,4.2508,4.2508,4.2508,2,36
FEURQ25,5,20250721,122000,4.2498,4.2498,4.2498,4.2498,1,36
FEURQ25,5,20250722,092000,4.253,4.253,4.253,4.253,1,37
FEURQ25,5,20250724,101500,4.258,4.258,4.258,4.258,2,36
FEURQ25,5,20250724,161000,4.2621,4.2621,4.2621,4.2621,35,36
FEURQ25,5,20250725,162000,4.258,4.258,4.258,4.258,10,11
FEURQ25,5,20250725,163000,4.257,4.257,4.257,4.257,10,11
FEURQ25,5,20250729,090000,4.27,4.27,4.27,4.27,1,21
FEURQ25,5,20250729,110000,4.2776,4.2776,4.2776,4.2776,6,21
FEURQ25,5,20250729,110500,4.28,4.28,4.28,4.28,1,21
FEURQ25,5,20250731,095500,4.271,4.271,4.271,4.271,10,21
FEURQ25,5,20250731,100000,4.27,4.27,4.27,4.27,1,21
FEURQ25,5,20250801,151000,4.27,4.27,4.27,4.27,1,31
FEURQ25,5,20250805,115500,4.276,4.276,4.276,4.276,10,31
FEURQ25,5,20250806,122000,4.281,4.281,4.281,4.281,3,36
FEURQ25,5,20250806,145500,4.277,4.277,4.277,4.277,2,36
FEURQ25,5,20250807,100000,4.27,4.27,4.27,4.27,2,36
FEURQ25,5,20250807,103000,4.265,4.265,4.265,4.265,2,36
FEURQ25,5,20250807,111000,4.26,4.26,4.26,4.26,7,36
FEURQ25,5,20250807,130000,4.26,4.26,4.26,4.26,10,36
FEURQ25,5,20250807,145000,4.262,4.262,4.262,4.262,4,46
FEURQ25,5,20250807,151000,4.257,4.257,4.257,4.257,5,46
FEURQ25,5,20250807,151500,4.256,4.256,4.255,4.255,5,51
FEURQ25,5,20250807,164500,4.2604,4.2604,4.2604,4.2604,1,51
FEURQ25,5,20250808,091500,4.25,4.25,4.25,4.25,1,51
