<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMBKM26,5,20251027,105500,1001.58,1001.58,1001.58,1001.58,1,0
FMBKM26,5,20251027,121500,1003.7,1003.7,1003.7,1003.7,1,1
FMBKM26,5,20251027,145500,1003.7,1003.7,1003.7,1003.7,1,2
FMBKM26,5,20251027,150500,1003.7,1003.7,1003.7,1003.7,1,3
FMBKM26,5,20251028,113000,1027,1027,1027,1027,1,4
FMBKM26,5,20251028,115000,1030,1030,1030,1030,1,5
FMBKM26,5,20251029,121500,1069,1069,1069,1069,1,6
FMBKM26,5,20251029,122000,1069.02,1069.02,1068,1068,9,2
FMBKM26,5,20251031,102500,1010,1010,1010,1010,4,2
FMBKM26,5,20251103,091500,1035,1051.23,1035,1051.23,4,2
FMBKM26,5,20251110,102000,1043.25,1043.25,1043.25,1043.25,1,1
FMBKM26,5,20251128,090500,1020,1020,1016.31,1016.31,5,2
