<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMILZ25,5,20250711,100000,13.844,13.844,13.844,13.844,4,8
FMILZ25,5,20250715,154000,14.071,14.071,14.071,14.071,1,9
FMILZ25,5,20250804,103500,14.614,14.614,14.614,14.614,2,10
FMILZ25,5,20250807,150000,15.99,15.99,15.99,15.99,1,8
FMILZ25,5,20250822,095000,14.966,14.966,14.966,14.966,1,9
FMILZ25,5,20250822,110000,15.039,15.039,15.039,15.039,1,9
FMILZ25,5,20250901,162500,14.238,14.238,14.238,14.238,1,9
FMILZ25,5,20250901,164000,14.21,14.21,14.21,14.21,1,8
FMILZ25,5,20250903,165500,14.374,14.374,14.374,14.374,2,7
FMILZ25,5,20250908,100500,14.8,14.8,14.8,14.8,1,7
FMILZ25,5,20250909,164500,14.739,14.739,14.739,14.739,1,8
FMILZ25,5,20250910,092500,14.55,14.55,14.55,14.55,1,9
FMILZ25,5,20250911,124500,14.568,14.568,14.568,14.568,1,8
FMILZ25,5,20250911,145500,14.59,14.59,14.59,14.59,1,9
FMILZ25,5,20250911,152000,14.699,14.699,14.699,14.699,1,10
FMILZ25,5,20250911,162000,14.79,14.79,14.79,14.79,1,11
FMILZ25,5,20250912,121500,14.78,14.78,14.78,14.78,1,12
FMILZ25,5,20250912,122500,14.775,14.775,14.775,14.775,1,12
FMILZ25,5,20250915,095000,14.78,14.789,14.78,14.789,2,14
FMILZ25,5,20250915,115500,14.82,14.82,14.82,14.82,1,15
FMILZ25,5,20250915,123000,14.86,14.86,14.86,14.86,1,16
FMILZ25,5,20250915,124000,14.9,14.9,14.9,14.9,1,17
FMILZ25,5,20250915,131500,14.972,14.972,14.972,14.972,1,18
FMILZ25,5,20250915,134000,15.04,15.04,15.04,15.04,1,19
FMILZ25,5,20250915,162500,15.08,15.149,15.08,15.149,4,23
FMILZ25,5,20250916,100500,15.15,15.15,15.15,15.15,2,24
FMILZ25,5,20250916,112000,15.131,15.131,15.131,15.131,1,26
FMILZ25,5,20250916,155000,14.95,14.95,14.95,14.95,1,27
FMILZ25,5,20250916,155500,14.93,14.93,14.93,14.93,1,27
FMILZ25,5,20250917,090500,14.909,14.909,14.909,14.909,1,27
FMILZ25,5,20250917,093500,14.8,14.8,14.8,14.8,1,28
FMILZ25,5,20250917,120500,14.8,14.8,14.8,14.8,1,28
FMILZ25,5,20250917,164000,14.789,14.789,14.789,14.789,1,29
FMILZ25,5,20250917,164500,14.8,14.8,14.8,14.8,1,29
