<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPZU,5,20250707,084500,62.79,62.79,62.79,62.79,2,563
FPZU,5,20250707,085000,62.53,62.53,62.53,62.53,1,563
FPZU,5,20250707,090000,62.48,62.48,62,62.01,14,563
FPZU,5,20250707,090500,62.15,62.15,62.15,62.15,2,561
FPZU,5,20250707,091000,62,62.12,61.91,62.12,9,563
FPZU,5,20250707,092500,62.22,62.22,62.01,62.01,7,562
FPZU,5,20250707,093000,62.01,62.04,62,62.04,7,561
FPZU,5,20250707,095500,62.15,62.15,62.15,62.15,1,561
FPZU,5,20250707,100000,62.2,62.2,62.2,62.2,1,561
FPZU,5,20250707,100500,62.15,62.15,62.06,62.06,7,561
FPZU,5,20250707,101000,61.98,61.99,61.97,61.97,4,564
FPZU,5,20250707,101500,61.92,61.95,61.91,61.93,7,565
FPZU,5,20250707,102000,61.9,61.9,61.89,61.9,12,566
FPZU,5,20250707,102500,61.96,61.96,61.96,61.96,4,559
FPZU,5,20250707,103500,61.96,61.96,61.96,61.96,8,564
FPZU,5,20250707,104000,61.87,61.87,61.87,61.87,1,565
FPZU,5,20250707,104500,61.9,61.9,61.79,61.79,4,565
FPZU,5,20250707,105000,61.78,61.78,61.71,61.71,16,565
FPZU,5,20250707,110500,61.72,61.72,61.72,61.72,1,568
FPZU,5,20250707,111000,61.76,61.76,61.76,61.76,5,569
FPZU,5,20250707,113000,61.85,61.85,61.85,61.85,1,574
FPZU,5,20250707,121000,61.92,61.92,61.92,61.92,1,574
FPZU,5,20250707,124500,61.92,61.92,61.92,61.92,1,574
FPZU,5,20250707,125500,61.99,61.99,61.99,61.99,1,573
FPZU,5,20250707,131000,61.9,61.9,61.9,61.9,2,573
FPZU,5,20250707,133500,61.88,61.88,61.88,61.88,2,571
FPZU,5,20250707,135500,61.88,61.88,61.88,61.88,1,570
FPZU,5,20250707,140500,61.95,61.95,61.95,61.95,1,570
FPZU,5,20250707,141500,61.88,61.88,61.88,61.88,1,570
FPZU,5,20250707,144000,61.82,61.82,61.81,61.81,2,570
FPZU,5,20250707,151000,61.8,61.8,61.8,61.8,1,570
FPZU,5,20250707,152500,61.76,61.76,61.76,61.76,1,569
FPZU,5,20250707,154500,61.85,61.85,61.85,61.85,5,572
FPZU,5,20250707,155000,61.92,61.92,61.92,61.92,1,574
FPZU,5,20250707,161500,61.76,61.8,61.75,61.8,53,615
FPZU,5,20250707,162000,61.8,61.8,61.8,61.8,1,619
FPZU,5,20250707,162500,61.75,61.75,61.68,61.69,7,620
FPZU,5,20250707,163000,61.68,61.68,61.6,61.6,12,630
FPZU,5,20250707,163500,61.52,61.6,61.51,61.51,20,628
FPZU,5,20250707,164000,61.42,61.54,61.4,61.54,11,638
FPZU,5,20250707,164500,61.54,61.55,61.48,61.55,5,638
FPZU,5,20250708,084500,61.56,61.56,61.56,61.56,3,639
FPZU,5,20250708,090000,61.7,61.86,61.7,61.86,3,640
FPZU,5,20250708,090500,61.8,61.8,61.8,61.8,1,640
FPZU,5,20250708,091000,61.55,61.55,61.36,61.36,4,640
FPZU,5,20250708,091500,61.55,61.55,61.55,61.55,1,639
FPZU,5,20250708,092500,61.63,61.63,61.5,61.55,5,640
FPZU,5,20250708,093000,61.59,61.61,61.59,61.6,5,643
FPZU,5,20250708,093500,61.59,61.6,61.58,61.58,3,645
FPZU,5,20250708,094000,61.43,61.43,61.43,61.43,1,646
FPZU,5,20250708,095000,61.7,61.7,61.68,61.7,5,646
FPZU,5,20250708,095500,61.6,61.64,61.6,61.64,3,644
FPZU,5,20250708,100000,61.61,61.61,61.61,61.61,1,645
FPZU,5,20250708,102000,61.53,61.53,61.53,61.53,1,645
FPZU,5,20250708,102500,61.52,61.52,61.42,61.42,3,648
FPZU,5,20250708,104000,61.38,61.38,61.3,61.3,8,648
FPZU,5,20250708,104500,61.3,61.3,61.3,61.3,1,652
FPZU,5,20250708,105000,61.26,61.26,61.26,61.26,1,651
FPZU,5,20250708,110000,61.55,61.55,61.55,61.55,1,650
FPZU,5,20250708,123000,61.64,61.65,61.64,61.65,2,651
FPZU,5,20250708,123500,61.68,61.69,61.68,61.69,2,650
FPZU,5,20250708,132000,61.56,61.56,61.56,61.56,1,650
FPZU,5,20250708,143000,61.75,61.75,61.75,61.75,1,650
FPZU,5,20250708,143500,61.78,61.78,61.78,61.78,1,650
FPZU,5,20250708,144500,61.75,61.75,61.75,61.75,2,650
FPZU,5,20250708,145500,61.78,61.85,61.78,61.85,4,650
FPZU,5,20250708,150500,61.9,61.92,61.9,61.92,3,650
FPZU,5,20250708,151000,61.95,61.99,61.95,61.99,3,647
FPZU,5,20250708,151500,62,62,62,62,1,646
FPZU,5,20250708,152000,62.05,62.1,62.05,62.1,2,648
FPZU,5,20250708,152500,62.25,62.25,62.25,62.25,1,648
FPZU,5,20250708,154000,62.22,62.22,62.22,62.22,1,648
FPZU,5,20250708,155000,62.18,62.28,62.18,62.28,20,644
FPZU,5,20250708,161000,62.25,62.3,62.25,62.3,3,645
FPZU,5,20250708,161500,62.3,62.38,62.3,62.38,3,647
FPZU,5,20250708,162000,62.32,62.4,62.32,62.4,3,647
FPZU,5,20250708,162500,62.29,62.29,62.29,62.29,2,647
FPZU,5,20250708,163000,62.35,62.38,62.35,62.38,2,649
FPZU,5,20250708,164000,62.35,62.52,62.35,62.52,15,649
FPZU,5,20250708,164500,62.54,62.68,62.45,62.68,15,640
FPZU,5,20250709,090000,62.5,62.5,62.5,62.5,1,642
FPZU,5,20250709,091000,62.13,62.2,62.13,62.13,4,642
FPZU,5,20250709,091500,62.24,62.24,62.01,62.05,13,647
FPZU,5,20250709,093000,62.05,62.05,62.05,62.05,1,647
FPZU,5,20250709,093500,62.01,62.24,62.01,62.24,3,648
FPZU,5,20250709,094500,62.25,62.39,62.25,62.39,4,647
FPZU,5,20250709,095000,62.38,62.38,62.38,62.38,1,647
FPZU,5,20250709,100000,62.25,62.25,62.25,62.25,5,647
FPZU,5,20250709,103000,62.15,62.15,62.15,62.15,1,644
FPZU,5,20250709,105500,62.15,62.18,62.15,62.18,2,646
FPZU,5,20250709,111000,62.1,62.1,61.86,61.86,11,649
FPZU,5,20250709,114000,61.9,61.9,61.9,61.9,1,645
FPZU,5,20250709,114500,61.98,61.98,61.98,61.98,1,645
FPZU,5,20250709,115000,61.9,61.9,61.86,61.86,3,646
FPZU,5,20250709,115500,61.85,61.85,61.85,61.85,2,647
FPZU,5,20250709,121000,61.85,61.85,61.85,61.85,11,653
FPZU,5,20250709,121500,61.86,61.86,61.86,61.86,2,655
FPZU,5,20250709,122000,61.8,61.8,61.8,61.8,2,655
FPZU,5,20250709,124000,61.81,61.81,61.72,61.72,5,659
FPZU,5,20250709,125000,61.76,61.76,61.76,61.76,4,659
FPZU,5,20250709,130500,62,62,62,62,1,662
FPZU,5,20250709,132000,62.07,62.09,62.07,62.09,2,661
FPZU,5,20250709,132500,62.2,62.2,62.1,62.1,2,661
FPZU,5,20250709,140000,62,62,62,62,3,662
FPZU,5,20250709,141500,61.97,61.97,61.97,61.97,1,662
FPZU,5,20250709,143500,61.94,61.94,61.94,61.94,2,663
FPZU,5,20250709,144500,61.9,61.9,61.9,61.9,1,663
FPZU,5,20250709,145000,61.92,61.92,61.92,61.92,1,663
FPZU,5,20250709,152500,61.87,61.87,61.87,61.87,1,663
FPZU,5,20250709,153000,61.87,61.87,61.73,61.73,4,664
FPZU,5,20250709,160000,61.77,61.77,61.72,61.72,6,666
FPZU,5,20250709,160500,61.69,61.7,61.64,61.64,6,669
FPZU,5,20250709,162000,61.75,61.75,61.75,61.75,4,668
FPZU,5,20250709,163000,61.74,61.74,61.74,61.74,1,671
FPZU,5,20250709,163500,61.73,61.73,61.68,61.68,2,673
FPZU,5,20250709,164000,61.62,61.62,61.61,61.61,5,677
FPZU,5,20250709,164500,61.61,61.61,61.61,61.61,8,676
FPZU,5,20250710,085000,61.64,61.64,61.64,61.64,1,681
FPZU,5,20250710,085500,61.6,61.6,61.6,61.6,2,681
FPZU,5,20250710,090000,61.7,61.79,61.6,61.6,12,681
FPZU,5,20250710,090500,61.6,61.6,61.55,61.6,6,679
FPZU,5,20250710,091500,61.57,61.57,61.56,61.56,2,679
FPZU,5,20250710,092500,61.5,61.5,61.5,61.5,2,679
FPZU,5,20250710,093000,61.4,61.4,61.4,61.4,2,680
FPZU,5,20250710,093500,61.38,61.38,61.36,61.36,3,681
FPZU,5,20250710,095000,61.39,61.39,61.39,61.39,2,681
FPZU,5,20250710,095500,61.32,61.32,61.3,61.3,3,683
FPZU,5,20250710,101500,61.32,61.32,61.31,61.31,2,684
FPZU,5,20250710,102000,61.25,61.25,61.25,61.25,1,686
FPZU,5,20250710,103000,61.37,61.37,61.37,61.37,1,687
FPZU,5,20250710,104000,61.44,61.44,61.43,61.43,3,686
FPZU,5,20250710,105000,61.44,61.45,61.44,61.45,4,686
FPZU,5,20250710,110500,61.45,61.45,61.45,61.45,2,684
FPZU,5,20250710,111500,61.26,61.26,61.25,61.25,2,684
FPZU,5,20250710,112000,61.24,61.24,61.23,61.23,2,682
FPZU,5,20250710,112500,61.14,61.14,61.14,61.14,1,682
FPZU,5,20250710,113000,61.13,61.13,61.13,61.13,1,681
FPZU,5,20250710,113500,61.07,61.07,61,61,11,680
FPZU,5,20250710,114000,60.66,60.66,60.55,60.55,4,680
FPZU,5,20250710,114500,60.6,60.62,60.55,60.55,8,678
FPZU,5,20250710,115500,60.67,60.67,60.67,60.67,2,680
FPZU,5,20250710,120500,60.77,60.77,60.77,60.77,2,680
FPZU,5,20250710,121000,60.7,60.7,60.7,60.7,2,681
FPZU,5,20250710,122500,60.84,60.85,60.69,60.85,5,678
FPZU,5,20250710,124000,60.85,60.85,60.85,60.85,1,676
FPZU,5,20250710,130000,60.85,60.85,60.85,60.85,4,677
FPZU,5,20250710,130500,60.77,60.77,60.77,60.77,1,680
FPZU,5,20250710,131500,60.95,60.95,60.85,60.85,2,681
FPZU,5,20250710,132000,60.8,60.87,60.75,60.87,3,684
FPZU,5,20250710,132500,60.72,60.73,60.72,60.73,3,685
FPZU,5,20250710,133500,60.7,60.7,60.7,60.7,1,686
FPZU,5,20250710,135500,60.67,60.67,60.67,60.67,1,685
FPZU,5,20250710,140500,60.84,60.84,60.84,60.84,2,685
FPZU,5,20250710,141000,60.65,60.82,60.65,60.82,4,688
FPZU,5,20250710,141500,60.82,60.88,60.82,60.88,3,688
FPZU,5,20250710,143500,60.62,60.62,60.62,60.62,1,689
FPZU,5,20250710,145000,60.7,60.7,60.6,60.6,3,692
FPZU,5,20250710,150000,60.65,60.65,60.6,60.6,3,693
FPZU,5,20250710,150500,60.71,60.71,60.71,60.71,1,695
FPZU,5,20250710,151500,60.55,60.55,60.55,60.55,1,696
FPZU,5,20250710,152000,60.55,60.55,60.55,60.55,1,696
FPZU,5,20250710,152500,60.54,60.54,60.31,60.32,16,698
FPZU,5,20250710,153000,60.39,60.4,60.39,60.4,3,697
FPZU,5,20250710,153500,60.4,60.4,60.4,60.4,1,700
FPZU,5,20250710,154500,60.4,60.4,60.4,60.4,3,700
FPZU,5,20250710,155000,60.26,60.29,60.24,60.29,6,703
FPZU,5,20250710,155500,60.32,60.32,60.32,60.32,6,703
FPZU,5,20250710,160000,60.2,60.2,60.09,60.1,20,699
FPZU,5,20250710,163500,60.19,60.19,60.19,60.19,1,695
FPZU,5,20250710,164500,60.24,60.24,60.1,60.1,11,697
FPZU,5,20250711,090000,60.47,60.6,60.47,60.53,40,697
FPZU,5,20250711,090500,60.66,60.66,60.66,60.66,4,698
FPZU,5,20250711,093000,60.5,60.5,60.5,60.5,4,698
FPZU,5,20250711,094500,60.4,60.4,60.37,60.37,16,697
FPZU,5,20250711,095000,60.45,60.45,60.45,60.45,4,697
FPZU,5,20250711,100000,60.38,60.47,60.38,60.47,12,698
FPZU,5,20250711,102000,60.35,60.35,60.35,60.35,8,698
FPZU,5,20250711,102500,60.35,60.35,60.35,60.35,4,698
FPZU,5,20250711,104500,60.29,60.29,60.29,60.29,4,697
FPZU,5,20250711,105000,60.24,60.24,60.24,60.24,16,695
FPZU,5,20250711,110000,60.15,60.15,60.06,60.06,8,696
FPZU,5,20250711,111000,60.05,60.05,60.05,60.05,4,696
FPZU,5,20250711,112000,60,60,60,60,8,696
FPZU,5,20250711,113500,60.02,60.1,60.02,60.1,16,698
FPZU,5,20250711,123000,60.2,60.2,60.2,60.2,4,695
FPZU,5,20250711,124000,60.29,60.29,60.29,60.29,4,695
FPZU,5,20250711,124500,60.39,60.39,60.39,60.39,4,695
FPZU,5,20250711,130500,60.38,60.38,60.38,60.38,4,694
FPZU,5,20250711,132000,60.4,60.4,60.4,60.4,8,693
FPZU,5,20250711,140500,60.39,60.39,60.39,60.39,4,692
FPZU,5,20250711,141500,60.25,60.25,60.25,60.25,4,692
FPZU,5,20250711,143500,60.4,60.45,60.4,60.45,6,692
FPZU,5,20250711,144000,60.35,60.45,60.35,60.45,6,692
FPZU,5,20250711,145500,60.44,60.44,60.44,60.44,4,692
FPZU,5,20250711,153500,60.4,60.4,60.39,60.39,6,692
FPZU,5,20250711,154000,60.4,60.4,60.4,60.4,4,692
FPZU,5,20250711,155000,60.35,60.35,60.35,60.35,4,692
FPZU,5,20250711,160000,60.4,60.4,60.4,60.4,4,692
FPZU,5,20250711,161000,60.45,60.47,60.45,60.46,6,692
FPZU,5,20250711,163000,60.53,60.53,60.53,60.53,8,692
FPZU,5,20250711,164500,60.67,60.68,60.67,60.68,20,57
FPZU,5,20250714,084500,60.58,60.58,60.58,60.58,1,703
FPZU,5,20250714,090500,60.58,60.58,60.48,60.5,13,703
FPZU,5,20250714,092000,60.25,60.25,60.25,60.25,1,700
FPZU,5,20250714,093500,60.25,60.25,60.25,60.25,3,699
FPZU,5,20250714,094000,60.55,60.58,60.55,60.58,3,700
FPZU,5,20250714,095000,60.59,60.59,60.59,60.59,1,700
FPZU,5,20250714,103500,60.59,60.59,60.59,60.59,1,699
FPZU,5,20250714,104500,60.6,60.6,60.6,60.6,2,699
FPZU,5,20250714,110000,60.4,60.4,60.39,60.39,4,699
FPZU,5,20250714,115500,60.4,60.4,60.4,60.4,1,700
FPZU,5,20250714,133000,60.41,60.41,60.39,60.39,4,700
FPZU,5,20250714,135500,60.31,60.31,60.31,60.31,1,701
FPZU,5,20250714,140000,60.27,60.27,60.27,60.27,2,701
FPZU,5,20250714,153000,60.28,60.28,60.28,60.28,1,701
FPZU,5,20250714,154500,60.36,60.36,60.36,60.36,1,701
FPZU,5,20250714,160000,60.3,60.3,60.3,60.3,2,700
FPZU,5,20250714,161000,60.38,60.39,60.38,60.39,2,701
FPZU,5,20250714,161500,60.37,60.37,60.35,60.35,3,704
FPZU,5,20250714,162000,60.3,60.34,60.3,60.34,3,707
FPZU,5,20250714,163000,60.27,60.27,60.27,60.27,3,708
FPZU,5,20250714,164000,60.42,60.42,60.42,60.42,1,708
FPZU,5,20250714,164500,60.52,60.52,60.51,60.51,8,712
FPZU,5,20250715,090500,60.72,60.74,60.72,60.74,3,712
FPZU,5,20250715,091500,60.85,60.85,60.84,60.84,6,713
FPZU,5,20250715,092000,60.7,60.7,60.61,60.66,5,715
FPZU,5,20250715,092500,60.61,60.61,60.61,60.61,1,717
FPZU,5,20250715,093500,60.75,60.75,60.75,60.75,3,718
