<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPZUH26,5,20250709,164500,59.39,59.39,59.39,59.39,1,4
FPZUH26,5,20250710,115000,57.92,57.92,57.92,57.92,1,5
FPZUH26,5,20250715,164500,58.23,58.23,58.23,58.23,2,5
FPZUH26,5,20250716,164000,58.2,58.2,58.2,58.2,1,6
FPZUH26,5,20250716,164500,58.2,58.2,58.2,58.2,1,7
FPZUH26,5,20250721,164500,60.3,60.3,60.3,60.3,1,8
FPZUH26,5,20250729,161500,60.3,60.3,60.3,60.3,1,9
FPZUH26,5,20250729,164500,60.1,60.1,60.1,60.1,2,8
FPZUH26,5,20250730,084500,60,60,60,60,1,9
FPZUH26,5,20250730,141000,60.3,60.3,60.3,60.3,1,8
FPZUH26,5,20250804,164500,60,60,60,60,1,9
FPZUH26,5,20250806,162500,61,61,61,61,1,9
FPZUH26,5,20250807,121000,63.3,63.3,63.3,63.3,1,9
FPZUH26,5,20250807,164500,63.1,63.1,63.1,63.1,2,9
FPZUH26,5,20250808,104000,62.9,62.9,62.9,62.9,1,11
FPZUH26,5,20250811,115000,63.52,63.52,63.52,63.52,1,11
FPZUH26,5,20250811,164500,62.36,62.36,62.36,62.36,1,11
FPZUH26,5,20250812,131500,64,64,64,64,1,11
FPZUH26,5,20250812,160500,63.85,63.85,63.85,63.85,1,12
FPZUH26,5,20250813,084500,63.25,63.25,63.25,63.25,1,12
FPZUH26,5,20250813,145000,62,62,62,62,1,12
FPZUH26,5,20250814,091000,61.65,61.65,61.65,61.65,5,11
FPZUH26,5,20250814,163500,61.75,61.75,61.75,61.75,1,16
FPZUH26,5,20250818,142000,63.3,63.3,63.3,63.3,1,16
FPZUH26,5,20250818,164500,62.56,62.56,62.56,62.56,1,16
FPZUH26,5,20250818,165500,62.65,62.65,62.65,62.65,2,18
FPZUH26,5,20250822,163500,60.59,60.59,60.59,60.59,1,19
FPZUH26,5,20250822,164000,59.6,59.6,59.6,59.6,1,20
