<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTENU25,5,20250707,092000,83.5,83.5,83.5,83.5,10,695
FTENU25,5,20250707,092500,83.7,83.7,83.7,83.7,5,690
FTENU25,5,20250707,131000,84.09,84.6,84.09,84.6,3,683
FTENU25,5,20250708,144500,84.49,84.49,84.49,84.49,2,683
FTENU25,5,20250709,090000,82.8,82.8,82.44,82.44,10,681
FTENU25,5,20250709,114500,83.02,83.02,83.02,83.02,11,691
FTENU25,5,20250709,124500,82.8,83,82.8,83,11,672
FTENU25,5,20250709,125000,83,83,83,83,5,671
FTENU25,5,20250709,125500,83,83,83,83,14,656
FTENU25,5,20250709,130000,83,83,83,83,1,652
FTENU25,5,20250709,144500,82.5,82.5,82.5,82.5,1,652
FTENU25,5,20250709,145000,82.5,82.5,82.5,82.5,9,651
FTENU25,5,20250709,164500,82.5,82.5,82.5,82.5,5,642
FTENU25,5,20250710,091000,82.5,82.6,82.5,82.6,6,642
FTENU25,5,20250710,092000,82.21,82.21,82.21,82.21,2,640
FTENU25,5,20250710,092500,82.2,82.2,82.2,82.2,2,639
FTENU25,5,20250710,093000,82.3,82.51,81.3,81.3,26,638
FTENU25,5,20250710,115500,82.4,82.4,82.4,82.4,1,646
FTENU25,5,20250710,120500,82.5,82.6,82.5,82.6,20,642
FTENU25,5,20250710,122000,82.66,82.7,82.66,82.7,6,643
FTENU25,5,20250710,122500,82.7,82.7,82.7,82.7,5,648
FTENU25,5,20250710,124500,81.5,81.5,81.5,81.5,10,653
FTENU25,5,20250710,131000,83,83.11,83,83.11,17,653
FTENU25,5,20250710,132500,82.2,82.2,82.2,82.2,20,653
FTENU25,5,20250710,133500,82.3,82.3,82.3,82.3,15,653
FTENU25,5,20250710,160000,83.7,83.84,83.7,83.84,16,653
FTENU25,5,20250710,164000,83,83,83,83,4,653
FTENU25,5,20250711,104000,83.2,83.2,83.2,83.2,40,653
FTENU25,5,20250714,090500,83.5,83.5,83.5,83.5,4,653
FTENU25,5,20250714,093000,83.6,83.6,83.6,83.6,6,657
FTENU25,5,20250714,112000,83.01,83.01,83.01,83.01,10,663
FTENU25,5,20250716,140000,83.4,83.4,83.4,83.4,1,663
FTENU25,5,20250716,140500,83.5,83.5,83.5,83.5,9,668
FTENU25,5,20250716,152000,83.43,83.5,83.43,83.5,5,673
FTENU25,5,20250722,090000,81,81,81,81,10,678
FTENU25,5,20250722,090500,81.1,81.1,80.99,80.99,5,664
FTENU25,5,20250723,092000,80.65,80.65,80.4,80.4,10,656
FTENU25,5,20250724,093500,81.3,81.3,81.3,81.3,2,657
FTENU25,5,20250724,100500,81,81,81,81,2,658
FTENU25,5,20250724,143000,80.7,80.7,80.7,80.7,7,660
FTENU25,5,20250724,144000,80.7,80.7,80.7,80.7,3,660
FTENU25,5,20250725,100000,80.1,80.1,80.1,80.1,1,660
FTENU25,5,20250725,110500,79.95,79.95,79.95,79.95,1,660
FTENU25,5,20250725,121500,80.65,80.65,80.65,80.65,1,659
FTENU25,5,20250725,122000,80.65,80.65,80.35,80.35,4,655
FTENU25,5,20250725,122500,80.35,80.45,80.35,80.45,3,652
FTENU25,5,20250804,124000,79.75,79.75,79.75,79.75,3,651
FTENU25,5,20250804,125500,79.6,79.6,79.6,79.6,1,648
FTENU25,5,20250804,135000,80.15,80.15,80.15,80.15,3,648
FTENU25,5,20250804,144500,80.55,80.55,80.55,80.55,1,651
FTENU25,5,20250812,110000,80.5,80.5,80.5,80.5,1,652
FTENU25,5,20250814,132500,80.1,80.1,80.1,80.1,3,653
FTENU25,5,20250814,143000,79.35,79.35,79.35,79.35,5,656
FTENU25,5,20250818,090500,78.15,78.15,78.15,78.15,1,656
FTENU25,5,20250818,092500,79.12,79.12,79.12,79.12,10,656
FTENU25,5,20250818,112000,78.95,78.95,78.95,78.95,5,656
FTENU25,5,20250818,120000,78.5,78.5,78.5,78.5,3,656
FTENU25,5,20250818,145500,79.4,79.4,79.4,79.4,1,656
FTENU25,5,20250826,103000,82.3,82.3,82.3,82.3,1,657
FTENU25,5,20250826,125500,84.9,84.9,84.9,84.9,5,657
FTENU25,5,20250826,144000,84.9,84.9,84.9,84.9,1,662
FTENU25,5,20250826,153500,85.5,85.5,85.5,85.5,1,662
FTENU25,5,20250828,102500,85.85,85.91,85.85,85.91,12,663
FTENU25,5,20250828,110000,85,85,85,85,1,663
FTENU25,5,20250828,110500,85,85,85,85,1,663
FTENU25,5,20250828,121000,84.6,84.6,84.6,84.6,30,663
FTENU25,5,20250828,134500,84.6,84.6,84.6,84.6,1,663
FTENU25,5,20250828,140500,84.6,84.6,84.6,84.6,17,653
FTENU25,5,20250828,145500,84.3,84.3,84.3,84.3,11,653
FTENU25,5,20250828,153500,84.3,84.3,84.3,84.3,11,653
FTENU25,5,20250828,160000,84.4,84.4,84.4,84.4,11,653
FTENU25,5,20250901,091000,83.6,83.6,83.6,83.6,1,653
FTENU25,5,20250901,134500,83.6,83.6,83.6,83.6,12,653
FTENU25,5,20250901,135000,83.7,83.7,83.7,83.7,6,653
FTENU25,5,20250901,141000,83.6,83.6,83.6,83.6,3,653
FTENU25,5,20250901,142500,83.62,83.62,83.62,83.62,11,653
FTENU25,5,20250901,143000,83.62,83.62,83.62,83.62,13,653
FTENU25,5,20250901,144000,83.62,83.62,83.62,83.62,16,653
FTENU25,5,20250901,145000,83.62,83.62,83.62,83.62,5,653
FTENU25,5,20250901,151000,83.62,83.62,83.62,83.62,5,653
FTENU25,5,20250901,151500,83.62,83.62,83.62,83.62,6,653
FTENU25,5,20250901,152500,83.62,83.62,83.62,83.62,28,653
FTENU25,5,20250901,161500,83.43,83.43,83.43,83.43,5,653
FTENU25,5,20250901,164500,83.38,83.43,83.38,83.4,54,658
FTENU25,5,20250902,094500,82.73,82.95,82.73,82.95,21,652
FTENU25,5,20250902,095000,82.95,82.95,82.95,82.95,9,652
FTENU25,5,20250902,114500,83.3,83.3,83.3,83.3,30,652
FTENU25,5,20250902,120000,83.3,83.3,83.3,83.3,11,652
FTENU25,5,20250902,122500,83.3,83.3,83.3,83.3,39,652
FTENU25,5,20250902,142500,84.1,84.1,84.1,84.1,1,613
FTENU25,5,20250903,162000,84.3,84.3,84.3,84.3,1,612
FTENU25,5,20250904,134500,84.8,84.8,84.8,84.8,1,0
FTENU25,5,20250905,160500,84.5,84.5,84.5,84.5,3,611
FTENU25,5,20250908,091500,84.6,84.6,84.6,84.6,10,611
FTENU25,5,20250908,092000,84.6,84.6,84.6,84.6,16,611
FTENU25,5,20250908,093500,84.6,84.6,84.6,84.6,3,611
FTENU25,5,20250908,094000,84.6,84.6,84.6,84.6,4,611
FTENU25,5,20250908,095500,84.6,84.6,84.6,84.6,4,611
FTENU25,5,20250908,104500,83.81,83.81,83.81,83.81,5,611
FTENU25,5,20250910,093500,83.2,83.2,83.2,83.2,2,611
FTENU25,5,20250910,103000,83.2,83.2,83,83,29,587
FTENU25,5,20250911,101000,83.6,83.6,83.6,83.6,5,587
FTENU25,5,20250911,163000,83.3,83.3,83.3,83.3,5,587
FTENU25,5,20250912,090000,83.2,83.2,83.2,83.2,1,592
FTENU25,5,20250915,125000,83.7,83.7,83.7,83.7,16,592
FTENU25,5,20250915,125500,83.7,83.7,83.7,83.7,5,592
FTENU25,5,20250915,130000,83.7,83.7,83.7,83.7,9,592
FTENU25,5,20250916,090000,84.2,84.2,84.2,84.2,1,592
FTENU25,5,20250916,124500,83.8,83.8,83.8,83.8,5,592
FTENU25,5,20250917,153500,83,83,83,83,5,592
FTENU25,5,20250918,092500,83,83,83,83,4,592
FTENU25,5,20250918,104500,83.3,83.3,83.3,83.3,1,588
FTENU25,5,20250918,105500,83.3,83.3,83.3,83.3,4,586
FTENU25,5,20250918,110500,83.3,83.3,83.3,83.3,2,583
FTENU25,5,20250918,111000,83.3,83.3,83.3,83.3,22,581
FTENU25,5,20250918,120000,83.5,83.5,83.5,83.5,5,581
FTENU25,5,20250918,143000,84.38,84.38,84.38,84.38,1,576
FTENU25,5,20250919,092500,84.1,84.1,84.1,84.1,1,575
FTENU25,5,20250919,093000,84,84,84,84,2,574
FTENU25,5,20250919,094000,83.89,83.89,83.89,83.89,27,574
FTENU25,5,20250919,095500,84.5,84.5,84.5,84.5,2,574
FTENU25,5,20250919,102000,84.2,84.2,84.2,84.2,2,0
FTENU25,5,20250919,120500,84.5,84.5,84.5,84.5,7,0
FTENU25,5,20250919,141500,85.7,85.8,85.7,85.8,21,537
FTENU25,5,20250919,160000,84.2,84.2,84,84,12,526
