<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FZABH26,5,20250806,093500,21.92,21.92,21.92,21.92,1,10
FZABH26,5,20250806,094000,21.92,21.92,21.92,21.92,1,11
FZABH26,5,20250825,114500,23,23,23,23,1,12
FZABH26,5,20250917,164500,22,22,22,22,1,13
FZABH26,5,20251003,144000,22.5,22.5,22.5,22.5,5,13
FZABH26,5,20251103,140000,21.67,21.67,21.65,21.65,10,13
FZABH26,5,20251103,140500,21.65,21.65,21.65,21.65,1,13
FZABH26,5,20251113,150500,22.962,22.962,22.962,22.962,5,14
FZABH26,5,20251114,125500,23.173,23.173,23.173,23.173,1,18
FZABH26,5,20251117,091500,23.742,23.742,23.742,23.742,1,19
FZABH26,5,20251118,092500,23.96,23.96,23.96,23.96,1,20
FZABH26,5,20251118,095000,23.889,23.889,23.889,23.889,1,19
FZABH26,5,20251118,095500,23.849,23.879,23.849,23.879,2,18
FZABH26,5,20251118,115500,24.049,24.049,24.049,24.049,1,18
FZABH26,5,20251119,092500,23.999,23.999,23.999,23.999,1,18
FZABH26,5,20251119,124000,24.099,24.099,24.099,24.099,1,18
FZABH26,5,20251119,125500,24.1,24.1,24.1,24.1,1,18
FZABH26,5,20251121,113500,24.003,24.003,24.003,24.003,1,18
FZABH26,5,20251124,120000,24.1,24.1,24.1,24.1,11,0
FZABH26,5,20251127,135000,23.388,23.388,23.388,23.388,1,7
