<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FZABU25,5,20250707,090000,21.93,21.93,21.93,21.93,2,508
FZABU25,5,20250707,092500,22.02,22.02,22.02,22.02,2,506
FZABU25,5,20250707,095500,22.109,22.109,22.109,22.109,2,506
FZABU25,5,20250707,104500,21.88,21.88,21.88,21.88,2,508
FZABU25,5,20250707,161500,21.95,21.95,21.94,21.94,3,506
FZABU25,5,20250707,163000,21.88,21.88,21.88,21.88,3,509
FZABU25,5,20250707,164500,22.029,22.029,21.8,21.8,4,509
FZABU25,5,20250708,090500,22.1,22.1,22.09,22.09,2,509
FZABU25,5,20250708,091500,22.11,22.115,22.11,22.115,2,509
FZABU25,5,20250708,095500,22.035,22.035,22.035,22.035,1,510
FZABU25,5,20250708,103500,21.9,21.9,21.9,21.9,1,510
FZABU25,5,20250708,115000,21.88,21.88,21.88,21.88,1,510
FZABU25,5,20250708,115500,21.87,21.87,21.87,21.87,1,510
FZABU25,5,20250708,120000,21.849,21.849,21.849,21.849,1,510
FZABU25,5,20250708,121000,21.8,21.8,21.78,21.78,10,511
FZABU25,5,20250708,123500,21.69,21.69,21.69,21.69,1,516
FZABU25,5,20250708,132500,21.69,21.69,21.677,21.677,3,516
FZABU25,5,20250708,133000,21.689,21.689,21.689,21.689,3,517
FZABU25,5,20250708,134500,21.608,21.608,21.604,21.604,3,520
FZABU25,5,20250708,140500,21.508,21.508,21.504,21.504,2,522
FZABU25,5,20250708,141500,21.43,21.43,21.404,21.404,2,521
FZABU25,5,20250708,142500,21.38,21.38,21.38,21.38,2,520
FZABU25,5,20250708,143000,21.409,21.409,21.28,21.28,7,522
FZABU25,5,20250708,143500,21.204,21.289,21.204,21.289,3,524
FZABU25,5,20250708,145000,21.289,21.289,21.24,21.24,4,524
FZABU25,5,20250708,152000,21.26,21.26,21.26,21.26,2,522
FZABU25,5,20250708,152500,21.25,21.259,21.25,21.259,4,526
FZABU25,5,20250708,153000,21.28,21.28,21.14,21.14,4,530
FZABU25,5,20250708,153500,21.03,21.06,21.03,21.06,3,529
FZABU25,5,20250708,154500,21.13,21.13,21.13,21.13,2,528
FZABU25,5,20250708,155000,21.13,21.13,21.13,21.13,8,525
FZABU25,5,20250708,155500,21.24,21.24,21.24,21.24,2,523
FZABU25,5,20250708,161500,21.1,21.11,21.07,21.11,3,524
FZABU25,5,20250708,162000,21.11,21.11,21.11,21.11,2,525
FZABU25,5,20250708,163500,21.049,21.05,21.048,21.048,7,527
FZABU25,5,20250708,164500,21.051,21.051,21.051,21.051,2,529
FZABU25,5,20250709,084500,21.1,21.1,21.1,21.1,5,530
FZABU25,5,20250709,090000,21.13,21.135,21.022,21.022,4,529
FZABU25,5,20250709,092500,21.021,21.021,20.84,20.84,4,530
FZABU25,5,20250709,093000,20.804,20.804,20.804,20.804,1,531
FZABU25,5,20250709,093500,21.009,21.009,21.009,21.009,2,531
FZABU25,5,20250709,094500,20.94,20.94,20.94,20.94,1,531
FZABU25,5,20250709,095000,21.109,21.109,21.109,21.109,1,531
FZABU25,5,20250709,104000,21.07,21.07,21.07,21.07,1,531
FZABU25,5,20250709,104500,21.07,21.07,21.01,21.01,3,533
FZABU25,5,20250709,111000,20.95,20.95,20.95,20.95,10,536
FZABU25,5,20250709,122500,21.159,21.16,21.159,21.16,4,545
FZABU25,5,20250709,123000,21.12,21.12,21.12,21.12,2,549
FZABU25,5,20250709,123500,21.139,21.139,21.139,21.139,2,551
FZABU25,5,20250709,124000,21.239,21.239,21.239,21.239,1,551
FZABU25,5,20250709,124500,21.229,21.229,21.229,21.229,1,551
FZABU25,5,20250709,130000,21.35,21.375,21.35,21.375,2,551
FZABU25,5,20250709,131000,21.375,21.375,21.375,21.375,1,550
FZABU25,5,20250709,131500,21.395,21.395,21.395,21.395,1,550
FZABU25,5,20250709,132000,21.415,21.49,21.415,21.49,3,551
FZABU25,5,20250709,134000,21.729,21.729,21.729,21.729,2,551
FZABU25,5,20250709,135000,21.73,21.73,21.68,21.68,6,553
FZABU25,5,20250709,135500,21.62,21.62,21.62,21.62,1,551
FZABU25,5,20250709,141000,21.609,21.609,21.609,21.609,1,550
FZABU25,5,20250709,143000,21.4,21.4,21.4,21.4,2,551
FZABU25,5,20250709,150500,21.52,21.52,21.52,21.52,1,549
FZABU25,5,20250709,151500,21.5,21.52,21.5,21.52,4,552
FZABU25,5,20250709,153000,21.548,21.548,21.548,21.548,1,552
FZABU25,5,20250709,154500,21.54,21.54,21.54,21.54,2,552
FZABU25,5,20250709,162000,21.587,21.587,21.587,21.587,1,552
