<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MWIG40TRLV,5,20250707,090000,19758.6,19806.45,19741.9,19765.39,129979,0
MWIG40TRLV,5,20250707,090500,19774.66,19788.59,19738.89,19740.13,53996,0
MWIG40TRLV,5,20250707,091000,19743.49,19743.49,19643.02,19643.02,65377,0
MWIG40TRLV,5,20250707,091500,19636.35,19666.82,19630.99,19645.11,47875,0
MWIG40TRLV,5,20250707,092000,19649.46,19675.01,19627.62,19631.02,33700,0
MWIG40TRLV,5,20250707,092500,19638.92,19647.14,19592.27,19596.4,38779,0
MWIG40TRLV,5,20250707,093000,19595.89,19639.65,19595.89,19612.49,50076,0
MWIG40TRLV,5,20250707,093500,19620.74,19654.6,19599.92,19647.33,85903,0
MWIG40TRLV,5,20250707,094000,19660.63,19663.96,19649.17,19663.04,45341,0
MWIG40TRLV,5,20250707,094500,19640.35,19663.61,19624.29,19644.51,71254,0
MWIG40TRLV,5,20250707,095000,19638.89,19644.57,19591.57,19612.23,57098,0
MWIG40TRLV,5,20250707,095500,19607.03,19643.87,19603.76,19620.77,51551,0
MWIG40TRLV,5,20250707,100000,19622.26,19697.6,19609.31,19688.97,106297,0
MWIG40TRLV,5,20250707,100500,19687,19747.08,19681.86,19693.7,51341,0
MWIG40TRLV,5,20250707,101000,19699.19,19710.99,19667.64,19676.81,40803,0
MWIG40TRLV,5,20250707,101500,19682.46,19682.97,19664.06,19671.58,64148,0
MWIG40TRLV,5,20250707,102000,19670.72,19673.2,19648.92,19666.66,41731,0
MWIG40TRLV,5,20250707,102500,19649.14,19677.61,19646.73,19670.75,78826,0
MWIG40TRLV,5,20250707,103000,19665.23,19686.81,19641.71,19671.61,140713,0
MWIG40TRLV,5,20250707,103500,19673.77,19679.83,19645.02,19658.5,64060,0
MWIG40TRLV,5,20250707,104000,19651.04,19659.77,19592.75,19616.58,79034,0
MWIG40TRLV,5,20250707,104500,19629.21,19649.17,19606.49,19608.14,96604,0
MWIG40TRLV,5,20250707,105000,19620.42,19620.61,19590.68,19617.21,100511,0
MWIG40TRLV,5,20250707,105500,19615.28,19615.28,19590.3,19590.3,32161,0
MWIG40TRLV,5,20250707,110000,19594.49,19615.79,19586.69,19586.69,130026,0
MWIG40TRLV,5,20250707,110500,19591.64,19591.64,19557.27,19586.43,41370,0
MWIG40TRLV,5,20250707,111000,19586.34,19640.95,19583.99,19633.97,51512,0
MWIG40TRLV,5,20250707,111500,19635.59,19669.58,19631.94,19662.47,81708,0
MWIG40TRLV,5,20250707,112000,19659.45,19666.18,19643.21,19655.77,58740,0
MWIG40TRLV,5,20250707,112500,19654.19,19664.47,19638.67,19638.67,40147,0
MWIG40TRLV,5,20250707,113000,19629.15,19638.22,19613.91,19613.91,74137,0
MWIG40TRLV,5,20250707,113500,19613.76,19646.54,19583.64,19642.06,102668,0
MWIG40TRLV,5,20250707,114000,19645.9,19655.61,19622.71,19655.61,95844,0
MWIG40TRLV,5,20250707,114500,19654.88,19719.94,19652.57,19719.94,189538,0
MWIG40TRLV,5,20250707,115000,19723.78,19785.54,19723.78,19777.86,118139,0
MWIG40TRLV,5,20250707,115500,19774.12,19824.89,19773.35,19811.18,122737,0
MWIG40TRLV,5,20250707,120000,19795.54,19795.54,19744.03,19763.9,67871,0
MWIG40TRLV,5,20250707,120500,19759.8,19773.96,19746.19,19748.16,102069,0
MWIG40TRLV,5,20250707,121000,19762.53,19801,19752,19799.47,47930,0
MWIG40TRLV,5,20250707,121500,19803.22,19826.16,19787.1,19799.66,58081,0
MWIG40TRLV,5,20250707,122000,19800.2,19811.09,19782.11,19783.64,34084,0
MWIG40TRLV,5,20250707,122500,19783.1,19803.69,19780.65,19802.07,32800,0
MWIG40TRLV,5,20250707,123000,19808.39,19825.02,19800.23,19805.5,82721,0
MWIG40TRLV,5,20250707,123500,19796.84,19799.5,19771.1,19799.5,34060,0
MWIG40TRLV,5,20250707,124000,19802.11,19802.11,19778.62,19789.76,29219,0
MWIG40TRLV,5,20250707,124500,19793.57,19826.23,19785.86,19788.33,63298,0
MWIG40TRLV,5,20250707,125000,19789.09,19811.85,19785.25,19793.41,48033,0
MWIG40TRLV,5,20250707,125500,19793.13,19809.09,19786.62,19792.21,45171,0
MWIG40TRLV,5,20250707,130000,19808.26,19839.62,19799.69,19839.62,31223,0
MWIG40TRLV,5,20250707,130500,19842.22,19858.09,19821.78,19858.09,54072,0
MWIG40TRLV,5,20250707,131000,19853.26,19892.65,19853.26,19884.81,40422,0
MWIG40TRLV,5,20250707,131500,19885.13,19889.41,19858.66,19865.86,29277,0
MWIG40TRLV,5,20250707,132000,19858.56,19858.56,19828.92,19840.13,38575,0
MWIG40TRLV,5,20250707,132500,19827.5,19831.21,19811.82,19813.94,116284,0
MWIG40TRLV,5,20250707,133000,19813.94,19821.85,19812.14,19816.86,17428,0
MWIG40TRLV,5,20250707,133500,19821.59,19839.65,19821.59,19822.26,108413,0
MWIG40TRLV,5,20250707,134000,19820.96,19836.44,19817.34,19827.08,50702,0
MWIG40TRLV,5,20250707,134500,19822.16,19832.51,19809.37,19816.7,39533,0
MWIG40TRLV,5,20250707,135000,19818.64,19845.11,19804.46,19845.11,33265,0
MWIG40TRLV,5,20250707,135500,19834.79,19852.66,19820.77,19820.77,19582,0
MWIG40TRLV,5,20250707,140000,19821.78,19829.59,19805.41,19808.52,40698,0
MWIG40TRLV,5,20250707,140500,19809.63,19843.14,19798.46,19843.14,49884,0
MWIG40TRLV,5,20250707,141000,19842.63,19846.5,19823.91,19845.17,32295,0
MWIG40TRLV,5,20250707,141500,19837.17,19863.83,19837.17,19863.83,137242,0
MWIG40TRLV,5,20250707,142000,19871.1,19871.1,19830.95,19846.22,52358,0
MWIG40TRLV,5,20250707,142500,19840.06,19864.37,19833.08,19864.37,30674,0
MWIG40TRLV,5,20250707,143000,19864.02,19870.72,19838.76,19839.46,48966,0
MWIG40TRLV,5,20250707,143500,19839.24,19840.03,19824.54,19827.37,56266,0
MWIG40TRLV,5,20250707,144000,19827.91,19843.08,19816.61,19843.05,40153,0
MWIG40TRLV,5,20250707,144500,19842.6,19857.71,19817.15,19824.99,43892,0
MWIG40TRLV,5,20250707,145000,19817.56,19825.94,19802.23,19807.37,75665,0
MWIG40TRLV,5,20250707,145500,19804.04,19804.2,19772.85,19772.85,96997,0
MWIG40TRLV,5,20250707,150000,19776.31,19830.73,19774.88,19818.48,100149,0
MWIG40TRLV,5,20250707,150500,19826.89,19831.46,19806.23,19808.74,57521,0
MWIG40TRLV,5,20250707,151000,19803.22,19803.22,19785.92,19788.4,53547,0
MWIG40TRLV,5,20250707,151500,19785.79,19791.35,19736.38,19746.57,75878,0
MWIG40TRLV,5,20250707,152000,19763.93,19765.26,19741.21,19754.63,33957,0
MWIG40TRLV,5,20250707,152500,19749.46,19782.84,19744.51,19778.91,62701,0
MWIG40TRLV,5,20250707,153000,19768.91,19791.6,19768.91,19772.59,80778,0
MWIG40TRLV,5,20250707,153500,19770.53,19770.53,19734.6,19754.57,36106,0
MWIG40TRLV,5,20250707,154000,19741.59,19779.96,19741.59,19779.96,62119,0
MWIG40TRLV,5,20250707,154500,19781.38,19819.47,19751.33,19811.31,95543,0
MWIG40TRLV,5,20250707,155000,19811.56,19822.61,19775.04,19782.3,65392,0
MWIG40TRLV,5,20250707,155500,19776.5,19788.4,19757.26,19765.83,47946,0
MWIG40TRLV,5,20250707,160000,19764.15,19788.37,19757.77,19773.77,62752,0
MWIG40TRLV,5,20250707,160500,19764.28,19785.89,19764.28,19766.94,65552,0
MWIG40TRLV,5,20250707,161000,19766.82,19771.1,19749.17,19758.34,32472,0
MWIG40TRLV,5,20250707,161500,19757.3,19762.53,19738.03,19742.6,93938,0
MWIG40TRLV,5,20250707,162000,19741.68,19767.77,19741.68,19766.91,50642,0
MWIG40TRLV,5,20250707,162500,19768.44,19771.23,19742.48,19753.71,143599,0
MWIG40TRLV,5,20250707,163000,19754,19771.93,19746.95,19769.99,91903,0
MWIG40TRLV,5,20250707,163500,19769.96,19808.04,19769.96,19779.83,126305,0
MWIG40TRLV,5,20250707,164000,19780.56,19844.95,19780.56,19809.82,161301,0
MWIG40TRLV,5,20250707,164500,19812.71,19847.68,19787.29,19847.68,961426,0
MWIG40TRLV,5,20250708,090000,19840.11,19941.68,19840.11,19889.93,211494,0
MWIG40TRLV,5,20250708,090500,19870.72,19908.78,19863.92,19863.92,91829,0
MWIG40TRLV,5,20250708,091000,19861.06,19863.76,19782.72,19862.65,59645,0
