<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG20TRSHT,5,20250707,090000,2753.06,2762.25,2753.06,2760,133090,0
WIG20TRSHT,5,20250707,090500,2760,2770.4,2757.04,2770.15,102350,0
WIG20TRSHT,5,20250707,091000,2768.81,2769.58,2766.82,2766.82,77437,0
WIG20TRSHT,5,20250707,091500,2767.43,2767.66,2765.53,2766.33,54563,0
WIG20TRSHT,5,20250707,092000,2766.73,2766.84,2763.62,2763.62,58095,0
WIG20TRSHT,5,20250707,092500,2763.27,2764.64,2762.08,2764.64,66509,0
WIG20TRSHT,5,20250707,093000,2764.63,2766.53,2763.78,2763.78,54094,0
WIG20TRSHT,5,20250707,093500,2763.61,2763.74,2756.17,2756.17,79632,0
WIG20TRSHT,5,20250707,094000,2756.25,2756.54,2755.06,2756.38,37475,0
WIG20TRSHT,5,20250707,094500,2756.23,2757.02,2756.01,2756.45,68823,0
WIG20TRSHT,5,20250707,095000,2756.3,2757.58,2756.13,2756.69,43303,0
WIG20TRSHT,5,20250707,095500,2756.41,2756.41,2754.74,2755.38,42927,0
WIG20TRSHT,5,20250707,100000,2755.2,2755.3,2752.8,2753.68,50528,0
WIG20TRSHT,5,20250707,100500,2753.48,2757.75,2753.21,2757.75,57447,0
WIG20TRSHT,5,20250707,101000,2758.11,2760.91,2758.11,2759.15,194588,0
WIG20TRSHT,5,20250707,101500,2758.96,2761.21,2758.96,2760.54,96536,0
WIG20TRSHT,5,20250707,102000,2760.76,2762.05,2760.32,2760.32,50854,0
WIG20TRSHT,5,20250707,102500,2759.88,2759.88,2757.13,2757.38,56681,0
WIG20TRSHT,5,20250707,103000,2757.49,2757.53,2756.99,2757.25,42792,0
WIG20TRSHT,5,20250707,103500,2757.19,2757.19,2754.2,2754.45,115885,0
WIG20TRSHT,5,20250707,104000,2754.52,2759.65,2754.52,2759.5,70762,0
WIG20TRSHT,5,20250707,104500,2759.32,2761.01,2759.32,2761.01,34032,0
WIG20TRSHT,5,20250707,105000,2761.31,2762.21,2761.31,2762.13,48148,0
WIG20TRSHT,5,20250707,105500,2762.07,2762.08,2761.12,2762.08,40012,0
WIG20TRSHT,5,20250707,110000,2761.93,2763.65,2761.86,2763.65,37670,0
WIG20TRSHT,5,20250707,110500,2763.4,2763.67,2762.6,2763.67,33822,0
WIG20TRSHT,5,20250707,111000,2763.86,2763.98,2758.79,2758.92,56723,0
WIG20TRSHT,5,20250707,111500,2758.65,2759.3,2757.86,2757.86,96957,0
WIG20TRSHT,5,20250707,112000,2757.79,2758.63,2757.79,2758.51,45673,0
WIG20TRSHT,5,20250707,112500,2758.22,2759.47,2758.22,2759.09,46195,0
WIG20TRSHT,5,20250707,113000,2758.62,2760.55,2758.41,2759.97,96293,0
WIG20TRSHT,5,20250707,113500,2760,2760,2758.55,2758.61,50982,0
WIG20TRSHT,5,20250707,114000,2758.82,2759.1,2757.07,2757.12,53969,0
WIG20TRSHT,5,20250707,114500,2756.82,2757.24,2755.01,2755.21,117324,0
WIG20TRSHT,5,20250707,115000,2755.09,2755.09,2751.04,2753.65,180486,0
WIG20TRSHT,5,20250707,115500,2753.44,2754.54,2752.38,2752.39,88135,0
WIG20TRSHT,5,20250707,120000,2752.39,2753.58,2752.39,2753.49,49174,0
WIG20TRSHT,5,20250707,120500,2753.5,2753.77,2753.06,2753.4,53251,0
WIG20TRSHT,5,20250707,121000,2753.49,2753.49,2747.38,2747.91,123620,0
WIG20TRSHT,5,20250707,121500,2747.95,2751.35,2747.95,2750.22,83513,0
WIG20TRSHT,5,20250707,122000,2750.2,2750.3,2749.59,2750.3,30958,0
WIG20TRSHT,5,20250707,122500,2750.28,2751.56,2750.28,2751.22,46935,0
WIG20TRSHT,5,20250707,123000,2750.78,2751.32,2750.74,2751.32,59204,0
WIG20TRSHT,5,20250707,123500,2750.94,2751.54,2750.82,2751.2,34860,0
WIG20TRSHT,5,20250707,124000,2751.22,2751.93,2750.59,2750.59,59374,0
WIG20TRSHT,5,20250707,124500,2750.47,2751.47,2750.18,2750.94,109743,0
WIG20TRSHT,5,20250707,125000,2751.08,2751.46,2749.81,2750.08,54096,0
WIG20TRSHT,5,20250707,125500,2750.33,2750.33,2748.96,2750.26,116666,0
WIG20TRSHT,5,20250707,130000,2748.67,2749.58,2747.89,2749.27,44283,0
WIG20TRSHT,5,20250707,130500,2749.38,2750.85,2749.38,2750.84,75591,0
WIG20TRSHT,5,20250707,131000,2750.45,2751.42,2750.36,2751.13,52219,0
WIG20TRSHT,5,20250707,131500,2751.17,2751.63,2750.85,2750.85,44159,0
WIG20TRSHT,5,20250707,132000,2750.67,2751.27,2750.34,2751.12,37067,0
WIG20TRSHT,5,20250707,132500,2751.35,2752.5,2751.35,2752.18,59493,0
WIG20TRSHT,5,20250707,133000,2752.03,2753.23,2751.79,2753.22,69442,0
WIG20TRSHT,5,20250707,133500,2753.44,2753.62,2752.88,2753.35,46537,0
